0.117,0.144,0.517,0.555,0.658,0.863,0.949,1.255,1.352,1.469,1.503,1.955,2.203,2.416,2.68,3.004,3.319,3.364,3.481,3.549,4.161,4.635,4.835,4.974,5.271,5.399,5.557,5.605,5.667,5.795,5.906,6.118,6.292,6.366,6.884,7.523,7.732,8.0,8.187,8.253,8.289,8.35,8.486,8.817,8.957,8.978,9.024,9.089,9.128,9.347,9.8,9.879,10.32,10.358,10.402,10.543,10.823,11.264,12.11,12.26,12.57,12.615,12.639,12.692,12.879,13.154,13.188,13.317,13.55,13.715,13.766,13.853,13.958,14.87,14.983,15.236,15.298,15.738,15.895,15.961,16.059,16.133,16.334,16.585,16.615,16.827,16.86,17.073,17.11,17.126,17.315,17.422,17.676,17.709,17.78,17.799,17.873,18.236,18.557,18.96,19.076,19.109,19.441,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219,0.493,0.706,0.879,0.923,1.065,1.155,1.177,1.808,1.851,2.359,2.504,2.559,2.64,2.869,3.368,3.511,3.741,3.801,4.04,4.257,4.654,4.732,4.838,4.935,5.001,5.021,5.391,5.836,5.992,6.277,6.68,6.705,6.984,7.406,7.951,8.18,8.44,8.569,8.609,8.705,8.77,8.922,9.23,9.558,10.028,10.112,10.387,10.63,10.986,11.557,11.694,12.188,12.287,12.411,12.475,12.953,13.113,13.219,13.47,14.63,14.903,15.489,15.646,15.864,15.888,15.96,16.029,16.292,16.364,16.407,16.517,16.623,16.745,17.008,17.038,17.178,17.417,17.59,17.637,18.204,18.251,18.336,19.008,19.055,19.453,19.541,19.663,19.709,19.861,19.913,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.41,0.477,0.928,0.99,1.01,1.096,1.14,1.292,1.441,1.853,2.018,2.375,2.45,2.501,2.587,2.899,2.952,3.128,3.318,3.604,3.848,4.595,4.632,4.845,4.993,5.197,5.234,5.399,5.43,5.464,5.505,6.129,6.222,6.26,6.511,7.026,7.063,7.326,7.806,8.217,8.281,8.456,8.636,8.666,8.841,8.888,9.181,9.288,9.315,9.584,9.644,10.196,10.464,10.493,10.579,11.003,11.313,11.586,11.652,11.736,11.959,12.005,12.176,12.384,12.518,12.586,12.656,12.74,12.795,12.829,13.09,13.148,13.242,13.567,13.714,13.971,14.151,14.384,14.808,14.98,15.18,15.294,15.77,16.182,16.221,16.268,16.339,16.385,16.438,16.522,16.89,16.977,17.293,17.394,17.458,17.511,17.594,17.864,17.955,18.475,19.506,19.693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.129,0.263,0.473,0.776,0.831,0.952,1.025,1.113,1.218,1.454,1.554,1.715,1.774,1.86,1.892,2.094,2.127,2.211,2.387,2.558,2.803,2.972,3.246,3.289,3.882,4.026,4.063,4.106,4.225,4.294,4.376,4.552,4.624,4.765,4.833,4.964,4.986,5.069,5.419,5.509,5.756,5.829,6.005,6.073,6.36,6.483,6.832,6.86,7.003,7.61,7.759,7.821,7.87,8.282,8.423,8.629,8.794,8.967,9.036,9.097,9.667,9.736,9.873,9.984,10.059,10.148,10.202,10.782,11.202,11.464,12.079,12.212,12.355,12.483,12.551,12.612,13.004,13.168,13.235,13.448,13.555,13.734,14.086,14.415,14.705,15.03,15.088,15.211,15.299,15.661,15.784,15.814,15.929,16.076,16.154,16.219,16.524,17.042,17.116,17.262,17.32,17.4,17.686,17.783,17.968,18.296,18.409,18.449,18.564,18.756,18.842,19.054,19.309,19.779,19.899,19.924,nan,nan
0.204,0.384,0.507,0.609,0.647,0.741,0.814,0.883,1.027,1.181,1.354,1.724,1.88,2.18,2.24,3.254,3.426,3.726,4.019,4.09,4.471,4.521,4.562,4.586,4.657,4.726,4.873,4.993,5.056,5.088,5.143,5.502,5.653,5.89,5.92,6.045,6.108,6.344,6.568,6.85,6.967,7.719,7.961,8.232,8.272,8.388,8.648,8.72,8.771,8.975,9.059,9.087,9.475,9.709,10.619,11.228,11.47,11.503,11.626,11.865,12.393,12.649,12.718,12.77,12.833,13.042,13.195,13.223,13.295,13.432,13.518,13.826,13.973,14.255,14.342,14.619,14.69,14.809,15.12,15.221,15.421,15.738,15.805,15.866,15.925,15.952,16.1,16.24,16.282,16.434,16.546,16.761,16.789,16.92,17.256,17.355,17.43,17.537,17.931,17.973,18.018,18.032,18.086,18.202,18.428,18.53,18.923,19.907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.77,0.981,1.056,1.451,1.497,1.65,1.75,1.863,2.207,2.357,2.732,3.033,3.154,3.271,3.669,3.708,4.042,4.168,4.294,4.321,4.512,4.552,4.588,4.907,5.07,5.378,5.444,5.515,5.583,5.992,6.076,6.581,6.83,6.978,7.06,7.268,7.378,7.62,7.764,7.88,7.958,8.156,8.452,8.48,8.548,8.632,8.894,9.017,9.051,9.112,9.368,9.585,9.886,10.638,10.772,10.856,11.412,11.469,11.672,11.864,11.985,12.14,12.367,12.414,12.684,12.785,12.969,13.019,13.114,13.242,13.779,13.821,13.861,13.879,13.961,14.102,14.587,14.997,15.515,15.867,15.942,16.132,16.198,16.301,16.357,16.713,17.3,17.419,17.457,17.473,17.691,18.309,18.365,18.647,18.747,19.17,19.519,19.82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.109,0.171,0.352,0.408,0.773,0.842,0.922,0.997,1.034,1.07,1.109,1.47,1.639,1.716,1.898,1.931,1.985,2.206,2.33,2.584,2.972,3.514,3.664,4.311,4.427,4.768,4.804,4.975,5.038,5.142,5.246,5.357,5.499,5.528,5.586,5.755,6.022,6.108,6.205,6.262,6.312,6.599,6.816,6.849,6.982,7.343,7.419,7.671,7.749,7.872,7.952,7.98,8.113,8.754,8.79,8.823,8.929,9.006,9.211,9.543,9.685,9.705,9.78,9.98,10.012,10.113,10.978,11.159,11.389,11.575,11.611,11.731,12.03,12.309,12.626,12.777,12.885,12.962,13.007,13.068,13.122,13.415,13.932,13.981,14.284,14.481,14.821,14.93,15.06,15.264,15.332,15.688,15.745,15.802,16.016,16.277,16.409,16.467,16.659,16.737,16.923,16.982,17.092,17.634,17.827,18.054,18.14,18.178,18.415,18.475,18.973,19.109,19.248,nan,nan,nan,nan,nan
0.196,0.377,0.591,0.726,0.76,0.838,0.872,1.092,1.127,1.26,1.303,1.408,1.738,1.908,2.16,2.598,2.725,3.113,3.758,3.873,3.957,4.087,4.156,4.237,4.314,4.49,4.617,4.706,4.916,4.94,4.994,5.019,5.421,5.442,5.493,5.608,6.056,6.328,6.524,6.614,6.675,6.975,7.281,7.609,7.687,7.846,7.915,7.942,8.033,8.209,8.314,8.348,8.44,8.476,8.534,8.629,8.714,8.8,8.944,8.973,9.097,9.151,9.297,9.384,9.437,9.618,9.667,10.238,10.325,10.643,11.154,11.513,11.598,11.874,12.051,12.213,12.405,12.757,12.784,12.85,12.975,13.006,13.182,13.302,13.336,13.359,13.681,13.804,13.842,13.984,14.636,15.332,15.682,15.919,16.005,16.086,16.243,16.368,16.455,16.908,16.943,17.147,17.374,17.43,17.71,17.739,17.774,17.985,18.036,18.105,18.195,18.243,18.562,nan,nan,nan,nan,nan
0.12,0.198,0.488,0.585,0.656,0.879,0.916,0.955,1.133,1.293,1.476,1.617,1.773,2.006,2.578,2.772,2.845,2.941,3.208,3.663,3.785,4.109,4.249,4.493,4.626,4.739,4.928,5.108,5.385,5.448,5.698,5.737,5.787,5.816,6.223,6.406,6.848,7.011,7.17,7.299,7.392,7.649,7.888,7.951,8.1,8.462,8.763,8.999,9.295,9.375,9.732,9.808,9.9,10.12,10.287,10.431,10.6,10.846,10.965,11.124,11.316,11.758,11.933,12.01,12.173,12.243,12.331,12.381,12.721,13.188,13.296,13.338,13.92,14.086,14.744,15.31,15.8,16.371,16.414,16.74,16.884,16.985,17.112,17.229,17.267,17.302,17.403,17.626,18.214,18.369,18.562,18.786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.051,0.699,0.734,1.105,1.305,1.421,1.482,1.579,1.666,1.804,1.996,2.105,2.582,2.68,2.831,3.546,3.665,3.856,3.977,3.995,4.045,4.302,4.458,4.497,4.574,4.609,4.761,4.983,5.022,5.083,5.124,5.277,5.45,5.705,5.744,5.937,6.028,6.073,6.188,6.488,6.813,7.198,7.374,7.877,7.95,8.022,8.147,8.25,8.299,8.358,8.504,8.612,8.656,8.906,8.987,9.034,9.372,9.45,9.536,9.559,9.581,9.692,9.807,10.4,10.59,10.897,10.932,11.102,11.553,11.722,11.78,11.826,11.912,11.953,12.226,12.27,12.621,12.763,13.073,13.098,13.322,13.505,14.035,14.211,14.328,14.415,14.682,14.899,15.108,15.235,15.463,15.658,15.874,15.967,16.213,16.506,16.593,16.781,16.861,16.917,17.003,17.072,17.179,17.328,17.459,17.575,17.648,17.698,17.795,17.935,18.396,18.486,18.551,18.805,18.839,19.391,nan,nan
