0.442,1.039,1.303,1.429,1.552,1.673,1.979,2.714,2.958,3.315,3.413,3.928,4.063,4.327,4.632,5.068,5.144,5.213,5.28,5.419,5.591,5.645,5.949,6.093,6.346,6.567,7.192,7.398,7.889,8.04,8.278,8.393,9.104,9.514,9.587,9.818,10.034,10.175,10.301,10.896,11.36,11.499,11.542,11.604,11.8,11.911,11.963,12.075,12.165,12.61,12.654,12.697,13.094,13.569,13.949,14.067,14.174,14.191,14.723,14.882,15.344,15.573,15.724,16.113,16.691,16.917,16.945,17.353,17.622,18.152,18.28,18.324,18.389,18.59,18.652,18.724,18.765,18.926,19.039,19.186,19.266,19.648,19.775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.168,0.203,0.304,0.535,1.427,2.009,2.077,2.183,2.238,2.419,2.488,2.904,2.96,3.045,3.584,3.697,3.779,4.058,4.604,4.64,4.924,4.958,5.182,5.347,5.374,5.539,5.831,6.187,6.5,7.026,7.157,7.504,7.546,7.643,7.785,8.085,8.256,8.304,8.72,8.788,8.911,9.161,9.417,9.583,9.955,10.039,10.242,10.341,10.541,10.625,10.676,10.945,10.99,11.139,11.568,11.683,12.143,12.182,12.263,12.423,12.471,12.585,12.998,13.4,13.546,13.69,13.715,14.046,14.405,14.429,14.564,15.004,15.157,15.441,15.534,15.576,15.703,15.748,15.991,16.202,16.241,16.387,16.473,17.176,17.494,17.649,17.901,18.125,18.211,18.229,18.478,18.635,18.814,18.938,19.076,19.107,19.632,19.972,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.174,0.577,1.454,1.496,1.666,1.953,2.057,2.149,2.179,2.203,2.295,2.372,2.407,2.467,2.764,3.189,3.678,3.862,4.347,4.379,4.428,4.709,4.745,4.807,5.331,5.45,5.645,5.965,5.993,6.11,6.442,6.466,6.624,6.966,7.092,7.133,7.49,7.554,7.645,7.96,8.321,8.743,8.869,9.063,9.151,9.491,9.539,9.59,10.199,10.587,10.633,10.803,11.172,11.244,11.277,11.423,11.565,11.811,11.828,11.908,12.126,12.189,12.404,12.564,12.836,12.955,13.505,13.666,13.761,13.842,14.061,14.323,14.684,14.902,14.959,15.022,15.106,15.308,15.758,16.014,16.03,16.068,16.441,16.511,16.878,17.021,17.203,17.587,17.899,18.234,18.587,18.626,18.651,18.813,18.861,18.952,19.122,19.2,19.283,19.533,19.629,19.719,19.851,19.899,19.983,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.092,0.17,0.81,0.917,1.002,1.518,1.804,2.009,2.355,2.501,2.714,2.76,3.126,3.227,3.404,3.955,4.064,4.118,4.163,4.277,5.003,5.126,5.158,5.286,5.569,5.923,5.958,6.317,6.495,6.658,7.097,7.171,7.287,7.775,8.012,8.041,8.085,8.283,8.981,9.216,9.364,9.825,9.946,9.994,10.012,10.033,10.071,10.189,10.24,10.3,10.383,10.576,10.711,10.815,10.896,11.15,11.254,11.284,11.446,11.464,11.806,12.05,12.091,12.418,12.541,12.636,12.757,12.897,13.474,13.5,13.886,14.209,14.451,14.517,14.596,14.797,14.993,15.327,15.408,15.484,15.508,15.626,15.835,16.047,16.105,16.241,16.434,16.502,16.719,16.881,17.007,17.085,17.191,17.443,17.647,17.69,17.913,18.017,18.163,18.194,18.78,18.962,19.013,19.59,19.793,19.835,19.865,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.131,0.415,0.943,1.014,1.077,1.355,1.508,1.658,1.736,2.265,2.436,2.737,2.912,3.101,3.816,4.071,4.684,4.746,5.171,5.422,5.627,5.918,6.217,6.492,6.613,6.73,7.257,7.348,7.396,7.492,7.581,7.697,7.909,8.593,9.053,9.367,9.468,9.509,9.636,9.903,10.035,10.686,10.911,10.946,11.141,11.172,11.278,11.568,12.04,12.254,12.372,12.445,12.622,12.693,12.789,13.721,13.755,13.789,13.805,13.881,13.963,14.062,14.238,14.357,14.467,14.504,14.564,15.151,15.357,15.621,15.838,16.438,16.785,16.883,17.36,17.474,17.818,18.431,18.849,18.933,19.041,19.377,19.51,19.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.12,0.227,0.651,0.844,0.904,1.105,1.336,1.382,1.488,1.674,2.094,2.155,2.442,2.532,3.346,3.429,4.194,4.254,4.288,4.351,4.579,4.644,4.739,4.816,4.92,5.232,5.341,5.39,5.429,5.672,5.724,6.162,6.205,6.262,6.375,6.696,6.929,6.981,7.043,7.266,7.692,7.841,7.913,8.195,8.228,8.434,8.751,8.822,8.867,9.319,9.408,9.84,10.229,10.347,10.68,10.952,11.051,11.61,11.882,11.92,11.989,12.376,12.423,12.509,12.58,12.624,12.663,12.895,13.007,13.025,13.472,13.813,13.837,13.958,14.019,14.059,14.094,14.318,14.445,14.648,14.669,14.809,15.141,15.434,15.541,15.608,16.069,16.241,16.282,16.33,16.426,16.614,16.718,16.801,16.92,17.256,17.505,17.525,17.946,18.299,18.5,18.552,18.746,18.963,19.295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.169,0.359,0.576,0.749,0.892,1.14,1.361,1.625,2.048,2.266,2.613,2.8,3.202,3.384,3.529,3.632,3.909,4.348,4.474,4.568,5.0,5.263,5.352,5.555,5.71,5.825,5.889,6.073,6.133,6.315,6.368,6.808,7.524,7.663,7.685,7.736,7.841,7.921,8.003,8.06,8.575,8.7,8.937,9.041,9.198,9.354,9.476,9.533,9.575,9.888,10.098,10.227,10.446,10.602,10.795,10.848,10.978,11.108,11.205,11.284,11.521,11.679,11.806,12.069,12.14,12.474,12.558,12.593,12.641,13.06,13.194,13.243,13.653,13.705,13.788,13.857,13.934,13.961,14.085,14.128,14.224,14.34,14.485,14.646,14.896,14.928,15.015,15.079,15.214,15.534,15.568,15.642,16.302,16.359,16.441,16.49,16.587,16.7,16.747,17.056,17.113,17.274,17.61,17.896,18.792,18.845,19.303,19.449,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.238,0.343,0.808,0.887,1.135,1.396,1.577,1.775,2.332,2.387,2.462,3.098,3.365,3.679,3.867,4.572,4.726,4.946,5.19,5.227,5.409,6.144,6.529,6.563,6.704,6.794,6.907,6.937,7.39,7.544,7.912,7.996,8.246,8.297,8.437,8.769,9.02,9.172,9.428,9.525,9.57,9.633,9.889,10.169,10.205,10.22,10.693,10.857,11.126,11.209,11.472,11.506,11.569,11.655,11.87,11.976,12.22,12.672,12.736,12.947,13.127,13.256,13.402,13.766,14.228,14.336,14.573,14.708,14.807,14.842,15.089,15.281,15.369,15.656,15.75,15.86,16.019,16.235,16.309,16.383,16.892,17.159,17.407,17.503,17.652,18.077,18.321,18.52,18.846,19.479,19.636,19.664,19.865,19.948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.219,0.54,1.129,1.316,1.447,1.522,1.568,1.684,1.712,2.552,2.633,2.74,2.84,2.978,3.594,3.776,3.875,4.154,4.248,4.411,4.716,4.766,4.88,5.027,5.125,5.331,5.584,5.631,5.681,5.982,6.437,6.508,6.605,6.821,7.412,7.446,7.541,7.777,8.282,8.5,9.133,9.207,9.664,9.727,9.782,10.008,10.243,10.354,10.408,10.612,10.779,10.98,11.011,11.11,11.426,11.522,11.665,11.93,11.989,12.327,12.38,12.605,13.148,13.3,13.533,13.721,13.956,14.375,14.577,14.691,15.088,15.277,15.324,15.375,15.795,15.843,15.916,15.962,16.185,16.382,16.467,16.72,16.856,16.941,17.038,17.653,17.905,18.346,18.51,18.566,18.908,19.104,19.246,19.375,19.415,19.458,19.569,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.159,0.986,1.238,1.431,1.474,1.576,1.79,2.011,2.06,2.11,2.265,2.563,2.82,3.168,3.368,3.4,3.433,3.462,3.618,3.688,4.121,4.359,4.457,4.707,4.77,4.806,4.853,4.901,5.088,5.132,5.178,5.378,5.457,5.554,6.079,6.181,6.492,6.549,6.784,6.908,7.22,7.257,7.362,7.805,7.854,8.301,9.046,9.307,9.465,9.519,9.966,10.034,10.193,10.232,10.584,10.766,11.212,11.51,11.684,11.911,12.002,12.06,12.168,12.345,12.679,12.836,12.938,13.037,13.104,13.157,13.493,13.715,13.906,13.981,14.522,14.609,14.898,15.009,15.076,15.305,15.367,15.805,15.946,16.082,16.131,16.206,16.434,16.583,17.407,17.486,17.514,17.604,17.656,17.797,18.07,18.28,18.758,18.86,18.907,18.964,19.03,19.193,19.464,19.514,19.754,19.956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.097,0.665,0.735,0.803,1.053,1.089,1.17,1.781,2.098,2.215,2.465,2.521,2.781,3.229,3.312,3.455,3.66,3.739,3.788,4.205,4.703,4.785,4.962,5.189,5.429,5.513,5.614,5.675,5.739,5.791,6.276,6.682,6.845,6.9,7.156,7.391,7.44,7.575,7.652,7.758,7.861,8.652,8.705,8.808,9.029,9.168,9.323,9.413,10.25,10.274,10.32,10.795,11.87,11.947,12.03,12.084,12.256,12.426,12.461,12.589,13.205,13.247,13.346,13.551,13.813,14.141,14.239,14.331,14.621,14.702,14.777,14.812,15.04,15.121,15.258,15.922,16.156,16.476,16.744,16.861,16.932,17.505,17.765,18.098,18.145,18.747,18.814,18.94,19.073,19.155,19.476,19.685,19.762,19.958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.727,0.78,0.802,1.173,1.309,1.558,1.826,2.061,2.433,2.566,2.623,2.863,2.944,3.009,3.046,3.136,3.189,3.205,3.714,3.856,4.041,4.058,4.245,4.31,4.429,4.586,4.646,5.09,5.323,5.638,5.934,5.985,6.15,6.214,6.29,6.597,6.633,6.742,7.276,7.759,7.816,8.412,8.514,8.695,8.849,8.91,8.996,9.034,9.213,9.328,9.424,9.766,9.923,10.001,10.226,10.286,10.474,10.617,10.734,10.761,11.162,11.565,11.616,11.774,11.863,11.996,12.091,12.264,12.611,13.26,13.51,13.869,14.079,14.433,14.601,14.639,14.755,14.803,14.931,15.016,15.204,15.287,15.528,16.303,16.617,16.898,17.272,17.466,17.668,17.746,17.816,18.102,18.346,18.417,18.662,18.692,18.952,19.101,19.253,19.536,19.769,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.123,0.698,0.9,0.985,1.023,1.106,1.139,1.157,1.267,1.42,1.732,2.318,2.358,2.57,2.81,2.954,3.136,3.463,3.536,4.54,4.924,5.243,5.547,5.687,5.737,5.793,5.862,6.056,6.317,6.424,6.572,6.642,7.444,7.611,8.374,8.562,8.639,8.812,9.512,9.846,9.973,10.031,10.8,11.109,11.292,11.348,12.012,12.112,12.151,12.308,12.438,12.752,13.231,13.422,13.805,13.958,14.334,14.407,15.454,15.644,16.158,16.188,16.432,16.969,17.09,17.258,17.333,17.4,17.438,17.554,17.717,18.144,18.221,18.323,19.032,19.156,19.217,19.399,19.732,19.956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
