0.441,0.521,0.663,1.003,1.039,1.081,1.181,1.301,1.428,1.551,1.672,1.979,2.714,2.96,3.317,3.414,3.928,4.063,4.326,4.574,4.631,4.857,5.067,5.142,5.212,5.279,5.418,5.59,5.638,5.949,6.093,6.568,7.194,7.399,7.89,8.04,8.277,8.392,8.805,9.103,9.513,9.587,9.818,10.034,10.175,10.302,11.361,11.543,11.605,11.801,11.911,12.075,12.164,12.609,12.652,12.696,13.093,13.315,13.405,13.455,13.568,13.86,13.949,14.07,14.18,14.723,15.574,15.725,16.113,16.691,16.916,16.945,17.17,17.352,17.622,17.903,18.152,18.28,18.325,18.39,18.591,18.653,18.765,18.927,19.19,19.268,19.775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.168,0.203,0.259,0.304,0.534,0.668,0.774,1.425,1.632,1.822,2.009,2.078,2.183,2.239,2.489,3.584,3.698,3.779,4.058,4.343,4.603,4.638,4.756,4.922,4.957,5.169,5.342,5.373,5.538,5.83,6.187,6.501,7.027,7.162,7.506,7.547,7.644,7.785,8.085,8.256,8.303,8.718,8.787,8.907,9.021,9.152,9.404,9.582,9.955,10.039,10.243,10.626,10.678,10.991,11.14,11.568,12.143,12.181,12.259,12.422,12.47,12.58,12.997,13.399,13.545,13.69,13.714,14.046,14.406,14.429,14.578,15.006,15.158,15.442,15.541,15.578,15.703,15.749,15.991,16.202,16.24,16.385,16.472,16.717,17.175,17.209,17.351,17.493,17.648,17.808,17.901,18.125,18.211,18.229,18.479,18.815,18.966,19.087,19.633,19.972,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.174,0.569,0.696,0.797,1.453,1.493,1.666,1.953,2.057,2.149,2.192,2.406,2.467,2.772,3.189,3.862,4.347,4.378,4.427,4.709,4.744,4.805,5.329,5.398,5.45,5.644,5.965,5.993,6.11,6.458,7.092,7.492,7.555,7.646,7.961,8.32,8.739,8.868,9.062,9.15,9.378,9.49,9.538,9.589,10.199,10.588,10.633,10.803,11.173,11.245,11.279,11.566,11.811,11.908,12.126,12.188,12.402,12.477,12.563,12.624,12.774,12.835,12.954,13.274,13.504,13.665,13.76,13.842,14.061,14.323,14.684,14.904,14.96,15.027,15.108,15.758,16.014,16.03,16.068,16.44,16.51,16.849,16.879,17.02,17.197,17.342,17.585,17.898,18.235,18.589,18.647,18.815,18.862,19.123,19.202,19.283,19.534,19.63,19.721,19.852,19.899,19.984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.084,0.169,0.589,0.809,0.915,1.0,1.047,1.124,1.517,1.804,2.009,2.715,2.762,3.127,3.406,3.955,4.064,4.118,4.162,4.276,5.002,5.053,5.125,5.157,5.284,5.317,5.568,5.922,5.958,6.318,6.496,6.66,7.098,7.176,7.288,8.012,8.041,8.085,8.283,8.676,8.841,8.98,9.166,9.215,9.36,9.825,9.946,9.994,10.012,10.033,10.071,10.189,10.241,10.3,10.577,10.714,10.816,10.898,11.175,11.254,11.284,11.448,11.806,12.05,12.091,12.417,12.53,12.634,12.756,12.891,13.42,13.474,13.5,13.886,14.209,14.452,14.598,14.798,14.995,15.328,15.485,15.51,15.627,15.835,16.047,16.104,16.24,16.259,16.427,16.501,16.718,16.879,16.953,17.006,17.084,17.19,17.311,17.441,17.646,17.69,17.913,18.017,18.163,18.194,18.794,18.964,19.591,19.793,19.836,19.866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.131,0.414,0.665,0.942,1.013,1.075,1.355,1.419,1.507,1.657,1.717,2.265,2.437,2.738,2.914,3.102,3.816,4.071,4.676,4.74,5.17,5.421,5.627,5.917,6.217,6.614,7.258,7.359,7.494,7.582,7.697,7.909,8.592,8.958,9.052,9.366,9.466,9.508,9.636,9.902,10.035,10.687,10.912,10.947,11.142,11.174,11.569,12.04,12.252,12.37,12.444,12.622,12.691,12.789,12.825,13.116,13.721,13.754,13.789,13.804,13.88,13.963,14.062,14.239,14.358,14.503,14.585,15.153,15.622,15.838,16.438,16.785,16.881,17.247,17.358,17.472,17.709,17.817,18.431,18.851,19.042,19.378,19.51,19.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.119,0.216,0.237,0.65,0.843,0.894,0.951,1.084,1.109,1.255,1.335,1.38,1.487,1.668,2.095,2.156,2.443,2.542,3.347,3.43,4.194,4.253,4.287,4.35,4.579,4.643,4.674,4.738,4.814,4.918,5.045,5.231,5.252,5.34,5.389,5.429,5.561,5.671,5.723,6.163,6.207,6.262,6.376,6.697,6.983,7.043,7.267,7.692,7.841,7.913,8.194,8.227,8.434,8.701,8.75,8.821,8.866,9.093,9.317,9.408,9.637,9.791,9.84,10.229,10.347,10.681,11.611,11.882,11.989,12.375,12.422,12.508,12.579,12.623,12.662,12.894,13.001,13.02,13.395,13.471,13.812,13.837,13.958,14.019,14.06,14.095,14.319,14.446,14.649,14.67,14.811,15.435,15.543,15.609,16.068,16.24,16.281,16.33,16.425,16.612,16.707,16.8,16.919,17.255,17.504,17.525,17.946,18.299,18.501,18.965,19.295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.1,0.168,0.358,0.422,0.575,0.748,0.891,1.132,1.36,1.522,1.624,2.048,2.615,2.81,3.385,3.534,3.634,3.909,4.348,4.473,4.568,4.671,4.999,5.262,5.351,5.554,5.71,5.816,5.888,6.073,6.133,6.369,6.809,7.526,7.671,7.736,7.841,7.921,8.003,8.059,8.401,8.448,8.574,8.699,8.92,8.956,9.04,9.197,9.353,9.475,9.533,9.574,9.887,10.228,10.796,10.849,10.98,11.109,11.522,11.679,11.806,12.069,12.14,12.473,12.557,12.592,12.638,12.828,13.059,13.193,13.242,13.282,13.652,13.704,13.787,13.857,13.934,13.961,14.085,14.129,14.225,14.34,14.486,14.898,15.215,15.535,15.643,16.302,16.358,16.441,16.489,16.523,16.586,16.699,16.745,17.055,17.112,17.273,17.609,17.641,17.896,18.845,19.304,19.451,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.238,0.342,0.414,0.669,0.806,0.881,1.059,1.133,1.222,1.294,1.395,1.577,1.774,2.463,3.099,3.366,3.867,4.248,4.571,4.605,4.722,4.945,5.188,5.215,5.378,5.41,5.549,6.144,6.536,6.908,6.939,7.407,7.544,7.912,7.996,8.245,8.297,8.435,8.768,9.019,9.171,9.427,9.524,9.569,9.631,9.889,10.169,10.205,10.221,10.858,11.127,11.473,11.507,11.57,11.655,11.976,12.214,12.466,12.671,12.735,12.946,12.992,13.119,13.222,13.256,13.401,13.476,13.766,14.228,14.575,14.842,15.282,15.37,15.657,15.751,15.86,16.019,16.234,16.306,16.382,16.891,17.157,17.405,17.448,17.502,17.651,18.077,18.321,19.479,19.652,19.868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.198,0.539,0.722,1.128,1.238,1.314,1.447,1.52,1.567,1.683,1.711,2.552,2.741,3.595,3.777,3.875,4.154,4.247,4.409,4.715,4.765,4.879,5.026,5.123,5.148,5.33,5.429,5.583,5.63,5.68,5.982,6.438,6.533,6.606,7.413,7.452,7.777,8.281,8.499,8.854,9.131,9.206,9.33,9.663,9.726,9.781,10.008,10.243,10.355,10.409,10.613,10.781,10.981,11.012,11.111,11.525,11.989,12.326,12.379,12.604,13.147,13.299,13.532,13.719,13.748,13.956,14.606,15.278,15.338,15.795,15.844,15.916,15.962,16.185,16.381,16.466,16.542,16.648,16.72,16.748,16.855,16.94,16.979,17.037,17.653,17.905,18.347,18.511,18.567,18.91,19.106,19.248,19.376,19.417,19.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.159,0.323,0.653,0.983,1.225,1.339,1.429,1.473,1.575,1.789,2.011,2.06,2.11,2.564,2.822,3.17,3.396,3.433,3.619,3.689,4.116,4.359,4.457,4.706,4.769,4.805,4.825,4.854,4.889,5.079,5.131,5.177,5.306,5.377,5.456,5.553,5.584,6.079,6.181,6.493,6.785,6.913,7.221,7.258,7.363,7.805,7.855,8.3,8.444,8.6,9.045,9.306,9.464,9.519,9.966,10.034,10.193,10.232,10.775,11.214,11.511,11.684,11.912,12.002,12.06,12.167,12.345,12.675,12.813,12.859,12.936,13.035,13.102,13.156,13.481,13.506,13.561,13.714,13.905,13.981,14.524,14.611,14.903,15.01,15.306,15.368,15.805,15.947,16.082,16.131,16.206,16.433,16.582,16.999,17.405,17.444,17.486,17.513,17.603,17.655,17.796,18.07,18.281,18.759,18.861,18.908,19.031,19.193,19.956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
