0.094,0.124,0.14,0.235,0.351,0.499,0.612,0.696,0.824,0.974,1.04,1.159,1.19,1.219,1.234,1.317,1.346,1.366,1.398,1.452,1.568,1.619,1.657,1.695,1.729,1.78,1.856,1.951,2.031,2.061,2.151,2.27,2.308,2.36,2.39,2.492,2.515,2.582,2.656,2.677,2.705,2.813,2.973,3.031,3.125,3.253,3.316,3.417,3.47,3.672,3.706,3.916,3.993,4.108,4.137,4.173,4.22,4.267,4.309,4.359,4.484,4.515,4.559,4.6,4.642,4.754,4.787,4.881,4.911,4.935,5.055,5.078,5.102,5.119,5.171,5.209,5.236,5.284,5.308,5.335,5.449,5.478,5.564,5.646,5.685,5.728,5.8,5.873,5.906,5.937,6.072,6.214,6.259,6.567,6.61,6.644,6.744,6.777,6.826,6.948,7.199,7.238,7.306,7.511,7.638,7.748,7.825,7.867,7.895,7.939,7.968,8.036,8.23,8.273,8.362,8.426,8.451,8.531,8.607,8.673,8.811,8.907,8.934,8.962,9.005,9.036,9.123,9.184,9.219,9.267,9.31,9.336,9.429,9.46,9.479,9.528,9.647,9.673,9.725,9.808,9.904,9.947,9.966,9.998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.042,0.071,0.1,0.128,0.171,0.209,0.237,0.273,0.318,0.381,0.476,0.532,0.583,0.66,0.849,0.975,1.001,1.07,1.097,1.129,1.151,1.187,1.228,1.265,1.296,1.334,1.361,1.418,1.442,1.46,1.492,1.598,1.672,1.771,1.79,1.886,1.974,2.073,2.123,2.197,2.253,2.302,2.451,2.598,2.811,3.142,3.287,3.357,3.462,3.503,3.526,3.653,3.697,3.759,3.781,3.806,3.826,3.945,3.985,4.014,4.097,4.14,4.212,4.249,4.33,4.361,4.431,4.458,4.609,4.675,4.753,4.961,5.087,5.159,5.256,5.285,5.343,5.503,5.569,5.654,5.715,5.756,5.814,5.846,5.87,5.903,6.01,6.228,6.31,6.338,6.414,6.474,6.767,6.808,6.831,6.958,7.082,7.162,7.227,7.368,7.406,7.719,7.744,7.913,7.947,7.988,8.073,8.091,8.157,8.216,8.275,8.333,8.433,8.463,8.537,8.588,8.633,8.646,8.67,8.766,8.809,8.859,8.879,8.963,8.998,9.067,9.086,9.119,9.202,9.24,9.295,9.311,9.381,9.447,9.463,9.479,9.507,9.547,9.603,9.638,9.658,9.712,9.753,9.855,9.922,9.967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.085,0.216,0.26,0.329,0.397,0.411,0.521,0.556,0.591,0.673,0.715,0.796,0.836,0.865,0.949,1.025,1.085,1.116,1.182,1.202,1.413,1.465,1.532,1.597,1.62,1.7,1.816,1.846,1.89,2.031,2.048,2.093,2.252,2.298,2.325,2.411,2.546,2.582,2.613,2.764,2.796,3.025,3.123,3.231,3.244,3.469,3.494,3.516,3.589,3.672,3.801,3.847,3.888,3.924,3.953,4.062,4.086,4.143,4.185,4.395,4.425,4.449,4.544,4.591,4.642,4.76,4.913,4.952,5.062,5.113,5.154,5.195,5.245,5.263,5.282,5.316,5.363,5.437,5.474,5.534,5.569,5.598,5.707,5.738,5.76,5.817,5.881,5.899,5.956,5.991,6.103,6.2,6.282,6.356,6.57,6.635,6.725,6.755,6.95,6.988,7.029,7.144,7.166,7.393,7.426,7.475,7.608,7.637,7.685,7.962,7.994,8.172,8.198,8.23,8.333,8.396,8.409,8.468,8.526,8.633,8.654,8.683,8.716,8.826,8.855,8.878,8.966,9.01,9.045,9.093,9.145,9.226,9.259,9.334,9.382,9.442,9.604,9.741,9.798,9.837,9.875,9.894,9.934,9.959,9.992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054,0.085,0.118,0.246,0.274,0.297,0.349,0.416,0.435,0.563,0.587,0.62,0.68,0.7,0.73,0.83,0.915,0.959,1.003,1.038,1.091,1.159,1.18,1.253,1.288,1.391,1.45,1.543,1.607,1.728,1.748,1.774,1.818,1.86,1.907,2.143,2.383,2.431,2.491,2.624,2.68,2.776,3.179,3.204,3.537,3.56,3.707,3.729,3.89,4.084,4.169,4.205,4.279,4.329,4.358,4.417,4.441,4.536,4.581,4.626,4.655,4.686,4.794,4.898,4.927,4.997,5.021,5.041,5.074,5.115,5.168,5.228,5.486,5.544,5.657,5.692,5.728,5.816,5.853,5.882,5.969,6.005,6.101,6.404,6.456,6.499,6.678,6.781,6.838,6.996,7.086,7.212,7.25,7.322,7.392,7.454,7.541,7.627,7.654,7.723,7.771,7.828,7.901,7.93,7.981,8.05,8.116,8.198,8.418,8.707,8.733,8.888,8.936,8.992,9.066,9.103,9.167,9.192,9.215,9.31,9.334,9.419,9.51,9.546,9.58,9.695,9.827,9.966,9.996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.075,0.136,0.291,0.352,0.543,0.591,0.732,0.771,0.797,0.848,0.907,0.978,1.073,1.135,1.247,1.289,1.31,1.39,1.405,1.481,1.503,1.605,1.665,1.691,1.724,1.826,1.853,2.034,2.124,2.195,2.32,2.364,2.389,2.452,2.474,2.549,2.599,2.885,3.064,3.173,3.247,3.305,3.477,3.611,3.648,3.672,3.86,3.912,3.959,4.026,4.045,4.088,4.113,4.148,4.203,4.25,4.275,4.324,4.395,4.5,4.673,4.695,4.744,4.863,4.887,4.915,4.977,5.045,5.078,5.174,5.224,5.245,5.299,5.358,5.389,5.434,5.462,5.532,5.597,5.621,5.68,5.763,5.798,5.87,5.954,6.015,6.105,6.218,6.285,6.315,6.35,6.438,6.502,6.524,6.59,6.794,6.857,6.89,7.071,7.108,7.28,7.417,7.465,7.561,7.799,7.882,7.92,7.958,8.073,8.174,8.2,8.252,8.286,8.378,8.45,8.471,8.568,8.586,8.611,8.663,8.714,8.8,8.835,8.859,8.922,8.973,9.0,9.044,9.087,9.131,9.23,9.295,9.328,9.382,9.427,9.458,9.501,9.614,9.633,9.684,9.707,9.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.077,0.101,0.147,0.201,0.222,0.252,0.27,0.288,0.351,0.392,0.427,0.635,0.686,0.732,0.775,0.834,0.847,0.857,0.879,0.914,0.968,1.026,1.099,1.142,1.153,1.189,1.276,1.291,1.407,1.432,1.512,1.556,1.643,1.741,1.851,1.895,1.952,1.988,2.088,2.148,2.167,2.21,2.254,2.292,2.513,2.743,2.866,2.888,3.047,3.076,3.113,3.226,3.344,3.501,3.656,3.689,3.728,3.878,3.959,3.982,4.022,4.078,4.097,4.142,4.161,4.177,4.205,4.237,4.261,4.276,4.346,4.402,4.452,4.557,4.615,4.661,4.748,4.8,4.827,4.844,4.894,4.932,4.953,5.05,5.072,5.259,5.387,5.429,5.477,5.528,5.581,5.628,5.653,5.696,5.737,5.807,5.871,5.904,5.941,5.971,6.037,6.052,6.272,6.313,6.37,6.393,6.447,6.533,6.566,6.63,6.651,6.667,6.715,7.035,7.248,7.534,7.566,7.586,7.652,7.669,7.7,7.795,7.844,7.872,7.95,8.028,8.081,8.167,8.254,8.283,8.345,8.384,8.448,8.462,8.493,8.597,8.666,8.699,8.786,8.948,9.026,9.047,9.106,9.134,9.174,9.216,9.243,9.286,9.329,9.379,9.434,9.505,9.561,9.596,9.621,9.704,9.83,nan,nan
0.074,0.09,0.121,0.301,0.438,0.503,0.553,0.616,0.691,0.768,0.817,0.867,0.953,1.071,1.096,1.239,1.31,1.321,1.349,1.454,1.568,1.606,1.624,1.685,1.935,1.991,2.037,2.13,2.175,2.309,2.335,2.356,2.4,2.445,2.534,2.608,2.682,2.731,2.878,2.898,2.969,3.081,3.187,3.333,3.504,3.569,3.698,3.743,3.823,3.879,3.909,3.939,3.968,4.032,4.119,4.153,4.278,4.331,4.392,4.419,4.443,4.496,4.545,4.631,4.831,4.854,4.892,4.918,4.942,5.039,5.077,5.121,5.203,5.225,5.266,5.333,5.364,5.404,5.46,5.505,5.667,5.814,5.896,5.936,5.998,6.062,6.102,6.155,6.307,6.408,6.526,6.557,6.769,7.254,7.469,7.7,7.775,7.803,7.829,7.85,7.913,7.963,7.997,8.027,8.096,8.114,8.162,8.271,8.346,8.412,8.479,8.515,8.557,8.582,8.787,8.844,8.894,9.005,9.085,9.117,9.138,9.201,9.35,9.454,9.493,9.553,9.59,9.701,9.734,9.814,9.905,9.942,9.973,9.991,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065,0.11,0.161,0.181,0.266,0.371,0.425,0.471,0.511,0.544,0.57,0.63,0.734,0.893,0.93,1.001,1.093,1.177,1.228,1.281,1.324,1.41,1.478,1.519,1.586,1.637,1.656,1.727,1.75,1.851,1.906,2.057,2.078,2.086,2.159,2.344,2.46,2.564,2.686,2.853,2.872,2.916,3.004,3.023,3.134,3.15,3.191,3.316,3.461,3.503,3.621,3.704,3.786,3.826,4.004,4.024,4.087,4.208,4.297,4.322,4.366,4.426,4.473,4.493,4.555,4.6,4.715,4.795,4.833,4.864,4.935,4.976,4.994,5.017,5.057,5.091,5.164,5.214,5.23,5.328,5.362,5.398,5.432,5.45,5.67,5.697,5.783,5.819,5.837,5.88,5.908,6.045,6.156,6.233,6.291,6.377,6.482,6.502,6.551,6.695,6.788,6.847,6.885,6.893,6.919,6.984,7.012,7.09,7.438,7.486,7.534,7.669,7.691,7.744,7.789,7.876,7.956,8.007,8.055,8.149,8.175,8.186,8.235,8.328,8.471,8.504,8.601,8.673,8.717,8.816,8.877,8.891,8.927,8.953,9.007,9.042,9.118,9.165,9.259,9.288,9.325,9.45,9.473,9.512,9.576,9.634,9.683,9.71,9.758,9.994,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.16,0.284,0.325,0.357,0.4,0.537,0.576,0.639,0.672,0.742,0.793,0.815,0.844,0.872,0.918,0.95,1.056,1.081,1.118,1.149,1.19,1.199,1.219,1.263,1.287,1.304,1.321,1.39,1.487,1.611,1.652,1.675,1.723,1.834,1.869,2.013,2.117,2.21,2.252,2.37,2.601,2.684,2.868,2.925,3.016,3.056,3.184,3.275,3.304,3.396,3.486,3.53,3.606,3.643,3.875,3.923,4.175,4.256,4.313,4.357,4.498,4.524,4.581,4.64,4.736,4.804,4.851,4.974,5.01,5.207,5.424,5.514,5.539,5.657,5.689,5.706,5.753,5.985,6.019,6.064,6.143,6.28,6.36,6.386,6.452,6.5,6.587,6.631,6.679,6.761,7.028,7.063,7.097,7.307,7.348,7.369,7.425,7.466,7.537,7.728,7.751,7.766,7.896,7.972,8.009,8.04,8.062,8.085,8.138,8.202,8.27,8.283,8.354,8.397,8.419,8.496,8.533,8.569,8.6,8.648,8.781,8.812,8.84,8.898,8.959,8.99,9.029,9.078,9.12,9.141,9.231,9.285,9.305,9.426,9.455,9.487,9.59,9.624,9.657,9.752,9.825,9.853,9.865,9.953,9.973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.129,0.328,0.343,0.4,0.525,0.544,0.568,0.632,0.7,0.778,0.873,0.931,0.962,0.984,1.006,1.021,1.11,1.158,1.261,1.301,1.377,1.408,1.44,1.47,1.557,1.586,1.606,1.65,1.745,1.757,1.807,1.835,1.931,1.971,2.005,2.11,2.2,2.34,2.475,2.519,2.685,2.761,2.89,2.919,3.027,3.131,3.252,3.413,3.609,3.629,3.67,3.829,4.11,4.152,4.215,4.248,4.267,4.317,4.359,4.371,4.409,4.486,4.518,4.623,4.65,4.721,4.84,4.857,4.924,4.976,4.996,5.038,5.097,5.144,5.196,5.228,5.29,5.32,5.348,5.436,5.479,5.508,5.775,5.8,5.914,6.099,6.219,6.281,6.325,6.376,6.423,6.781,6.978,7.1,7.134,7.162,7.227,7.3,7.312,7.357,7.41,7.63,7.651,7.726,7.797,7.857,7.894,7.906,7.922,7.972,8.046,8.072,8.14,8.173,8.234,8.27,8.3,8.314,8.339,8.404,8.456,8.519,8.544,8.712,8.791,8.838,8.91,8.935,9.019,9.074,9.101,9.209,9.229,9.272,9.314,9.334,9.384,9.433,9.45,9.556,9.604,9.719,9.795,9.899,9.916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
