0.106,0.161,0.257,0.304,0.35,0.535,0.629,0.65,0.848,0.973,1.035,1.241,1.287,1.461,1.494,1.524,1.572,1.631,1.7,1.719,1.854,1.886,1.905,1.94,2.006,2.053,2.072,2.118,2.165,2.186,2.281,2.429,2.564,2.645,2.818,2.864,2.902,2.933,2.965,3.043,3.091,3.117,3.266,3.383,3.433,3.586,3.7,3.723,3.808,3.834,3.862,4.037,4.148,4.19,4.363,4.405,4.444,4.486,4.578,4.667,4.7,4.783,4.938,4.971,4.988,5.034,5.067,5.132,5.254,5.293,5.348,5.404,5.422,5.451,5.492,5.516,5.561,5.578,5.608,5.711,5.757,5.8,5.842,5.946,5.982,6.031,6.1,6.22,6.252,6.31,6.419,6.442,6.495,6.59,6.641,6.699,6.779,6.815,6.84,7.017,7.121,7.2,7.429,7.513,7.543,7.576,7.594,7.668,7.798,7.872,7.937,8.018,8.111,8.266,8.287,8.307,8.356,8.419,8.444,8.462,8.508,8.594,8.677,8.695,8.726,8.778,8.84,9.016,9.184,9.45,9.479,9.709,9.749,9.935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.032,0.103,0.203,0.249,0.315,0.361,0.442,0.48,0.575,0.603,0.651,0.7,0.741,0.772,0.932,1.09,1.137,1.176,1.222,1.266,1.336,1.427,1.477,1.558,1.608,1.652,1.673,1.727,1.752,1.782,1.886,1.905,1.924,1.947,2.024,2.055,2.115,2.152,2.316,2.47,2.564,2.626,2.732,2.805,2.859,2.896,2.924,2.954,3.053,3.227,3.238,3.293,3.515,3.632,3.645,3.727,3.764,3.796,3.855,3.919,3.957,4.108,4.174,4.268,4.3,4.344,4.381,4.503,4.563,4.593,4.623,4.669,4.71,4.805,5.071,5.101,5.143,5.173,5.192,5.214,5.309,5.341,5.365,5.515,5.599,5.705,5.794,5.883,5.905,5.964,6.015,6.106,6.198,6.239,6.275,6.335,6.412,6.434,6.455,6.618,6.652,6.767,6.786,6.845,6.866,6.909,6.956,7.003,7.063,7.096,7.169,7.26,7.327,7.432,7.468,7.502,7.539,7.639,7.751,7.777,7.843,7.885,8.095,8.267,8.303,8.386,8.447,8.496,8.588,8.612,8.645,8.745,8.801,8.884,8.972,9.08,9.149,9.266,9.361,9.476,9.535,9.635,9.674,9.713,9.74,9.813,9.843,9.901,9.947,nan,nan,nan,nan,nan,nan
0.063,0.136,0.23,0.267,0.44,0.497,0.61,0.655,0.819,0.938,1.026,1.056,1.093,1.205,1.331,1.377,1.419,1.475,1.52,1.582,1.664,1.717,1.789,1.829,1.887,1.975,1.998,2.029,2.091,2.114,2.143,2.188,2.275,2.35,2.419,2.48,2.509,2.612,2.731,2.778,2.817,2.868,2.921,2.992,3.049,3.187,3.228,3.288,3.304,3.443,3.501,3.619,3.677,3.768,3.808,3.965,4.017,4.172,4.226,4.256,4.275,4.377,4.414,4.476,4.581,4.653,4.705,4.768,4.879,4.921,5.111,5.19,5.221,5.276,5.303,5.353,5.478,5.523,5.559,5.685,5.835,5.861,5.879,5.903,6.001,6.026,6.07,6.092,6.184,6.22,6.251,6.277,6.402,6.556,6.634,6.666,6.699,6.835,6.867,6.946,7.012,7.122,7.185,7.253,7.348,7.415,7.467,7.537,7.6,7.619,7.678,7.742,7.771,7.964,8.036,8.059,8.09,8.335,8.367,8.444,8.508,8.62,8.699,8.739,8.762,8.789,8.822,8.871,8.93,9.077,9.118,9.192,9.241,9.294,9.327,9.455,9.654,9.702,9.72,9.746,9.832,9.953,9.98,9.998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.144,0.185,0.419,0.518,0.653,0.687,0.838,0.88,0.926,1.017,1.057,1.087,1.124,1.151,1.186,1.223,1.25,1.388,1.437,1.453,1.492,1.544,1.661,1.835,1.91,1.927,1.939,1.967,2.039,2.118,2.223,2.231,2.366,2.396,2.437,2.62,2.663,2.739,2.779,2.804,2.852,2.885,2.932,2.952,2.981,3.016,3.096,3.142,3.187,3.218,3.366,3.382,3.414,3.589,3.68,3.738,3.79,3.812,3.984,4.007,4.191,4.258,4.355,4.469,4.543,4.668,4.727,4.779,4.886,4.93,5.099,5.133,5.167,5.222,5.299,5.343,5.46,5.526,5.637,5.793,5.822,5.87,5.972,6.002,6.031,6.092,6.12,6.25,6.297,6.331,6.372,6.417,6.467,6.556,6.575,6.596,6.696,6.765,6.801,6.815,6.902,6.92,7.03,7.097,7.339,7.534,7.557,7.601,7.65,7.69,7.749,7.787,7.811,7.986,8.039,8.149,8.316,8.36,8.565,8.627,8.746,8.945,8.979,9.087,9.182,9.276,9.358,9.415,9.451,9.584,9.65,9.685,9.743,9.803,9.89,9.91,9.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.049,0.088,0.125,0.222,0.28,0.31,0.443,0.477,0.504,0.542,0.588,0.759,0.843,0.876,0.893,0.906,0.988,1.045,1.093,1.128,1.217,1.244,1.343,1.409,1.521,1.533,1.563,1.61,1.692,1.75,1.783,1.845,2.064,2.208,2.229,2.311,2.327,2.486,2.534,2.625,2.684,2.705,2.864,2.941,2.971,3.079,3.187,3.292,3.378,3.429,3.485,3.517,3.571,3.685,3.73,3.771,3.847,3.976,4.017,4.035,4.085,4.109,4.16,4.182,4.235,4.439,4.477,4.515,4.571,4.692,4.811,4.875,4.97,5.036,5.087,5.126,5.196,5.26,5.295,5.365,5.395,5.519,5.602,5.675,5.751,5.827,5.975,6.052,6.201,6.275,6.36,6.661,6.8,6.909,6.951,7.037,7.079,7.321,7.333,7.408,7.529,7.605,7.634,7.673,7.702,7.735,7.755,7.921,7.962,8.026,8.067,8.122,8.232,8.257,8.3,8.364,8.655,8.817,8.875,8.91,8.941,9.014,9.072,9.12,9.201,9.247,9.268,9.303,9.337,9.501,9.555,9.644,9.686,9.761,9.771,9.78,9.923,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.031,0.07,0.152,0.189,0.221,0.284,0.322,0.46,0.585,0.598,0.782,0.803,0.837,0.885,0.998,1.08,1.154,1.271,1.314,1.472,1.508,1.552,1.591,1.631,1.779,1.804,1.838,1.911,1.965,1.988,2.026,2.049,2.166,2.23,2.326,2.384,2.501,2.518,2.583,2.609,2.659,2.731,2.833,2.901,2.948,3.017,3.032,3.327,3.406,3.445,3.528,3.553,3.598,3.7,3.785,3.838,3.886,3.995,4.039,4.218,4.271,4.299,4.396,4.412,4.46,4.482,4.526,4.549,4.628,4.67,4.905,5.019,5.088,5.155,5.318,5.378,5.446,5.535,5.714,5.73,5.775,5.828,5.888,5.995,6.039,6.161,6.325,6.375,6.406,6.478,6.513,6.603,6.696,6.747,6.831,6.856,6.886,6.971,7.007,7.045,7.13,7.311,7.341,7.428,7.495,7.6,7.639,7.71,7.752,7.857,7.89,7.994,8.026,8.076,8.216,8.252,8.284,8.304,8.337,8.388,8.43,8.527,8.563,8.602,8.62,8.777,8.804,8.838,8.923,8.997,9.066,9.124,9.17,9.271,9.306,9.457,9.514,9.721,9.899,9.965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.078,0.097,0.171,0.301,0.316,0.369,0.4,0.42,0.461,0.634,0.737,0.805,0.844,0.885,0.971,1.029,1.082,1.126,1.155,1.214,1.272,1.332,1.426,1.459,1.548,1.592,1.734,1.75,1.838,2.028,2.073,2.136,2.159,2.194,2.227,2.342,2.382,2.409,2.543,2.82,2.945,3.038,3.126,3.306,3.428,3.46,3.52,3.535,3.62,3.675,3.729,3.761,3.816,3.855,3.961,4.001,4.068,4.145,4.211,4.275,4.386,4.418,4.573,4.645,4.811,4.848,4.958,5.0,5.052,5.066,5.304,5.336,5.44,5.454,5.543,5.64,5.662,5.732,5.784,5.825,5.867,5.976,6.087,6.168,6.223,6.268,6.29,6.341,6.4,6.498,6.55,6.616,6.788,6.929,6.956,7.0,7.056,7.103,7.224,7.261,7.376,7.412,7.437,7.455,7.502,7.552,7.643,7.704,7.898,7.942,8.097,8.211,8.373,8.465,8.5,8.715,8.734,8.842,9.007,9.028,9.078,9.133,9.211,9.322,9.371,9.474,9.524,9.632,9.659,9.677,9.711,9.859,9.896,9.916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.123,0.189,0.273,0.325,0.353,0.39,0.493,0.583,0.639,0.73,0.897,1.003,1.37,1.627,1.703,1.879,1.932,1.963,2.029,2.061,2.245,2.287,2.339,2.519,2.555,2.619,2.718,2.768,2.863,2.901,2.992,3.044,3.067,3.119,3.252,3.353,3.419,3.468,3.667,3.75,3.781,3.853,3.923,3.95,4.047,4.205,4.296,4.329,4.465,4.544,4.583,4.615,4.674,4.702,4.734,4.777,4.807,4.84,4.875,4.946,5.006,5.084,5.194,5.228,5.315,5.45,5.489,5.542,5.585,5.613,5.636,5.671,5.696,5.786,5.88,5.915,5.944,6.026,6.065,6.186,6.293,6.334,6.418,6.442,6.471,6.633,6.657,6.684,6.757,6.944,7.025,7.067,7.268,7.396,7.466,7.485,7.519,7.602,7.63,7.687,7.829,8.018,8.056,8.078,8.132,8.155,8.332,8.367,8.429,8.471,8.741,8.867,8.944,9.183,9.204,9.417,9.456,9.473,9.609,9.688,9.718,9.763,9.805,9.829,9.903,9.933,9.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022,0.087,0.151,0.18,0.365,0.435,0.46,0.51,0.605,0.665,0.747,0.828,0.867,0.988,1.015,1.061,1.09,1.141,1.206,1.356,1.424,1.487,1.517,1.663,1.706,1.743,1.77,1.857,1.91,1.987,2.028,2.116,2.187,2.345,2.423,2.486,2.55,2.59,2.662,2.722,2.914,2.959,3.001,3.025,3.099,3.139,3.198,3.288,3.342,3.394,3.484,3.749,3.817,3.854,3.982,4.078,4.126,4.183,4.293,4.31,4.506,4.539,4.63,4.726,4.762,4.814,5.062,5.079,5.102,5.188,5.266,5.366,5.444,5.499,5.538,5.591,5.65,5.722,5.798,5.828,6.038,6.089,6.234,6.271,6.312,6.474,6.542,6.597,6.657,6.757,6.796,6.878,6.952,6.973,7.039,7.069,7.083,7.249,7.276,7.522,7.566,7.597,7.636,7.718,7.839,7.935,7.95,8.066,8.131,8.15,8.274,8.297,8.347,8.442,8.614,8.787,8.948,8.983,9.059,9.13,9.17,9.34,9.375,9.418,9.633,9.682,9.731,9.836,9.934,9.976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.082,0.1,0.111,0.165,0.201,0.297,0.357,0.483,0.529,0.565,0.599,0.628,0.781,0.805,0.865,0.937,0.955,1.031,1.141,1.159,1.429,1.472,1.589,1.727,1.809,1.871,1.901,1.976,2.044,2.118,2.339,2.394,2.432,2.531,2.55,2.603,2.735,2.809,2.929,2.965,3.05,3.171,3.206,3.27,3.292,3.329,3.364,3.438,3.505,3.547,3.665,3.769,3.796,3.923,3.967,4.042,4.08,4.121,4.155,4.279,4.334,4.355,4.371,4.445,4.491,4.518,4.571,4.61,4.65,4.701,4.752,4.801,4.938,4.958,5.036,5.401,5.462,5.493,5.509,5.606,5.647,5.8,5.905,5.961,6.046,6.15,6.176,6.24,6.377,6.444,6.484,6.544,6.74,6.759,6.801,7.094,7.197,7.242,7.319,7.336,7.36,7.433,7.489,7.584,7.681,7.728,7.825,7.886,7.952,8.052,8.078,8.183,8.258,8.288,8.432,8.512,8.612,8.678,8.749,8.783,8.914,8.951,9.055,9.124,9.149,9.207,9.223,9.259,9.292,9.324,9.37,9.427,9.587,9.702,9.77,9.811,9.86,9.918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
