0.114,0.468,0.677,0.769,0.979,1.199,1.311,1.74,1.771,1.87,1.987,2.079,2.494,2.671,2.979,3.138,3.389,3.522,3.575,3.91,3.983,4.354,4.409,4.628,4.695,4.864,5.004,5.409,5.479,6.119,6.289,6.523,6.732,6.755,6.935,6.989,7.017,7.247,7.402,7.451,7.57,7.656,7.728,7.778,8.751,9.16,9.375,9.483,9.539,9.56,9.623,9.639,9.776,9.884,9.918,9.982,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.076,0.232,0.373,0.58,0.624,0.674,0.761,1.029,1.256,1.377,1.718,1.767,1.811,1.949,1.975,2.12,2.342,2.48,2.544,2.623,2.694,2.746,3.127,3.574,3.615,4.008,4.244,4.417,4.465,4.587,4.809,5.131,5.2,5.249,5.66,5.938,6.085,6.161,6.185,6.472,6.568,6.63,6.666,6.717,6.776,6.964,7.096,7.152,7.648,8.15,8.249,8.438,8.813,9.17,9.375,9.669,9.892,nan,nan,nan,nan,nan,nan,nan,nan
0.154,0.349,0.396,0.505,0.865,1.065,1.263,1.37,1.557,1.648,1.735,1.885,1.959,2.237,2.909,3.206,3.309,3.503,3.906,4.02,4.12,4.373,4.701,4.947,5.002,5.055,5.332,5.519,5.935,6.377,6.474,6.512,7.046,7.284,7.316,7.573,7.619,7.947,8.07,8.153,8.38,8.416,8.598,8.638,8.782,8.864,8.896,9.754,9.853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.478,0.666,0.877,0.918,1.028,1.234,1.467,1.997,2.076,2.286,2.8,3.392,3.563,3.824,4.106,4.539,4.714,5.101,5.378,5.497,5.748,5.955,6.361,6.54,6.582,6.637,7.246,7.627,7.686,8.098,8.479,8.574,8.947,9.055,9.36,9.491,9.763,9.857,9.937,9.995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.149,0.199,0.422,0.626,0.894,1.008,1.235,1.488,1.96,2.125,2.188,2.323,3.172,3.3,3.394,3.776,3.949,3.996,4.278,4.446,4.492,4.617,5.066,5.19,5.394,5.551,5.986,6.23,6.331,6.482,6.77,7.132,7.426,7.58,7.858,8.006,8.226,8.377,8.587,8.687,9.117,9.136,9.615,9.837,9.884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.064,0.312,0.495,0.58,1.008,1.257,1.582,2.243,2.441,2.568,2.682,2.782,2.949,3.309,3.653,3.718,3.967,4.02,4.092,4.158,4.186,4.309,4.43,4.554,4.62,4.671,4.984,5.112,5.187,5.628,6.018,6.093,6.364,6.448,6.576,6.65,6.83,7.094,7.215,7.286,7.405,7.577,7.835,7.928,8.547,8.765,8.788,8.888,8.942,8.974,9.583,9.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.043,0.183,0.311,0.736,1.088,1.125,1.249,1.698,1.764,1.843,1.927,2.357,2.431,2.804,2.977,3.071,3.129,3.195,3.378,3.49,3.531,3.596,3.938,4.113,4.881,5.099,5.481,5.741,5.816,5.945,6.41,6.583,7.012,7.125,7.167,7.417,7.517,8.178,8.331,8.665,9.059,9.196,9.437,9.552,9.608,9.736,9.798,9.877,9.935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.336,0.651,0.7,0.753,1.029,1.113,1.146,1.514,1.924,2.023,2.419,2.546,2.578,2.73,3.196,3.291,3.346,3.427,3.514,3.602,3.74,3.834,4.071,4.123,4.264,4.318,4.426,4.654,4.71,4.953,5.153,5.2,5.246,5.336,5.5,5.582,5.657,5.749,5.96,6.251,6.296,6.367,6.629,6.874,6.944,7.14,7.312,7.459,7.562,7.692,7.86,8.304,8.664,8.869,9.242,9.282,9.439,9.562,9.844,nan,nan,nan,nan,nan,nan
0.106,0.214,0.267,0.373,0.499,0.6,0.669,0.726,0.861,0.951,0.983,1.316,1.35,1.379,1.712,1.94,2.277,2.491,2.543,2.744,2.8,2.918,2.964,3.006,3.16,3.847,3.908,3.962,4.055,4.153,4.342,4.435,4.612,4.633,5.059,5.566,5.718,5.784,6.349,6.869,7.676,7.729,7.831,7.851,7.98,8.069,8.445,8.589,8.643,8.698,8.747,9.226,9.27,9.31,9.458,9.513,9.616,9.81,9.979,nan,nan,nan,nan,nan,nan
0.082,0.149,0.414,0.476,0.812,0.872,1.02,1.469,1.761,1.786,1.935,2.304,2.349,2.698,3.236,3.438,3.496,3.951,4.111,4.212,4.301,4.479,4.567,4.815,4.851,5.041,5.113,5.174,5.644,5.732,5.884,6.074,6.413,6.532,6.578,6.624,6.804,7.143,7.307,7.503,7.56,7.592,7.732,8.026,8.515,8.65,8.978,9.218,9.78,9.932,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
