0.037,0.094,0.159,0.263,0.332,0.366,0.412,0.496,0.533,0.55,0.576,0.598,0.647,0.724,0.766,0.798,0.828,0.897,0.913,0.953,0.989,1.074,1.111,1.147,1.305,1.468,1.491,1.515,1.542,1.682,1.761,1.855,1.911,1.986,2.007,2.082,2.286,2.307,2.447,2.803,2.929,2.985,3.062,3.122,3.202,3.308,3.373,3.431,3.466,3.537,3.562,3.623,3.908,3.948,3.969,4.006,4.036,4.071,4.139,4.22,4.382,4.405,4.448,4.462,4.497,4.574,4.733,4.866,4.903,4.952,4.99,5.034,5.18,5.217,5.264,5.311,5.383,5.456,5.507,5.545,5.583,5.607,5.785,5.893,5.942,5.989,6.027,6.235,6.272,6.33,6.357,6.526,6.556,6.647,6.722,6.815,7.02,7.072,7.25,7.371,7.393,7.499,7.554,7.606,7.629,7.917,8.012,8.033,8.077,8.122,8.154,8.215,8.238,8.283,8.307,8.367,8.393,8.409,8.452,8.52,8.545,8.613,8.715,8.732,8.778,8.81,8.835,8.872,8.894,8.931,8.949,8.986,9.045,9.057,9.115,9.203,9.32,9.343,9.382,9.42,9.446,9.533,9.581,9.679,9.711,9.835,9.868,9.893,9.972,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.12,0.142,0.273,0.316,0.367,0.393,0.412,0.444,0.474,0.548,0.576,0.615,0.649,0.683,0.738,0.78,0.813,0.83,0.879,0.921,1.118,1.182,1.209,1.228,1.364,1.411,1.438,1.544,1.665,1.694,1.713,1.762,1.817,1.855,1.912,1.962,2.056,2.076,2.112,2.16,2.204,2.272,2.348,2.533,2.556,2.701,2.801,2.897,3.105,3.19,3.44,3.539,3.707,3.793,3.85,3.9,3.934,3.982,4.03,4.083,4.171,4.189,4.273,4.336,4.361,4.386,4.433,4.479,4.511,4.589,4.634,4.723,4.809,4.835,4.937,4.968,5.03,5.133,5.182,5.234,5.291,5.385,5.414,5.442,5.502,5.529,5.591,5.698,5.748,5.785,5.92,5.939,6.06,6.19,6.248,6.292,6.336,6.48,6.536,6.585,6.683,6.818,6.852,6.88,6.999,7.127,7.189,7.289,7.376,7.483,7.616,7.732,7.78,7.842,7.896,7.936,7.989,8.026,8.092,8.126,8.302,8.328,8.382,8.437,8.588,8.603,8.644,8.671,8.759,8.879,8.931,8.959,9.055,9.068,9.088,9.277,9.309,9.348,9.412,9.451,9.569,9.589,9.648,9.689,9.719,9.789,9.878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.168,0.219,0.269,0.369,0.391,0.445,0.63,0.691,0.735,0.758,0.828,1.122,1.139,1.195,1.226,1.274,1.403,1.455,1.502,1.663,1.691,1.769,1.987,2.257,2.343,2.56,2.639,2.713,2.737,2.786,2.844,2.863,2.948,3.011,3.093,3.179,3.312,3.359,3.441,3.482,3.588,3.63,3.801,3.969,3.996,4.112,4.14,4.22,4.252,4.302,4.436,4.462,4.492,4.52,4.536,4.637,4.659,4.726,4.769,4.908,4.934,4.99,5.135,5.177,5.208,5.233,5.261,5.354,5.438,5.511,5.672,5.704,5.782,5.854,5.872,5.952,5.979,6.161,6.338,6.381,6.444,6.494,6.678,6.763,6.833,6.883,7.069,7.112,7.148,7.171,7.212,7.267,7.334,7.363,7.422,7.466,7.509,7.794,7.899,8.022,8.048,8.101,8.293,8.352,8.392,8.422,8.468,8.523,8.687,8.726,8.802,8.844,8.881,9.049,9.1,9.136,9.214,9.303,9.329,9.359,9.405,9.465,9.515,9.664,9.68,9.901,9.927,9.966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.144,0.178,0.266,0.306,0.382,0.428,0.491,0.599,0.668,0.732,0.846,0.876,0.899,0.984,1.042,1.162,1.21,1.383,1.433,1.445,1.48,1.607,1.643,1.842,1.865,1.909,2.015,2.095,2.207,2.264,2.296,2.363,2.473,2.595,2.627,2.836,2.86,2.888,2.946,2.972,3.005,3.025,3.184,3.407,3.535,3.572,3.726,3.763,3.837,3.979,4.052,4.083,4.161,4.192,4.223,4.284,4.329,4.362,4.482,4.573,4.697,4.728,4.749,4.839,4.871,4.912,4.931,4.971,4.988,5.045,5.133,5.233,5.324,5.384,5.439,5.516,5.559,5.65,5.674,5.746,5.787,5.835,5.93,5.954,6.034,6.177,6.201,6.362,6.399,6.426,6.604,6.629,6.654,6.753,6.824,7.051,7.177,7.252,7.302,7.357,7.426,7.497,7.51,7.523,7.549,7.632,7.718,7.744,7.807,7.875,7.939,7.972,8.048,8.127,8.19,8.267,8.313,8.388,8.48,8.521,8.541,8.606,8.649,8.667,8.782,8.803,8.833,8.907,9.105,9.195,9.315,9.471,9.536,9.591,9.618,9.708,9.735,9.794,9.837,9.875,9.893,9.96,9.988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.057,0.084,0.125,0.175,0.279,0.395,0.424,0.52,0.603,0.648,0.68,0.773,0.862,0.933,1.002,1.065,1.092,1.145,1.204,1.259,1.372,1.572,1.751,1.789,1.84,1.988,2.124,2.212,2.24,2.268,2.289,2.309,2.442,2.465,2.752,3.041,3.305,3.383,3.415,3.435,3.453,3.501,3.653,3.691,3.714,3.814,3.981,4.043,4.102,4.153,4.183,4.235,4.286,4.348,4.496,4.54,4.613,4.633,4.652,4.707,4.883,4.934,5.001,5.022,5.089,5.124,5.176,5.222,5.259,5.303,5.32,5.405,5.451,5.688,5.712,5.738,5.782,5.802,6.009,6.056,6.075,6.165,6.236,6.377,6.533,6.592,6.706,6.827,7.001,7.178,7.213,7.27,7.413,7.611,7.734,7.87,7.958,7.998,8.035,8.075,8.21,8.242,8.264,8.311,8.396,8.483,8.502,8.53,8.578,8.599,8.624,8.682,8.718,8.749,8.783,8.833,8.866,8.917,8.946,9.057,9.082,9.103,9.118,9.203,9.264,9.293,9.319,9.464,9.488,9.519,9.584,9.613,9.645,9.753,9.824,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.073,0.115,0.163,0.209,0.305,0.428,0.471,0.628,0.679,0.695,0.776,0.835,0.865,0.933,1.087,1.115,1.204,1.264,1.283,1.448,1.491,1.556,1.608,1.702,1.793,1.865,1.885,2.102,2.151,2.236,2.316,2.422,2.442,2.496,3.102,3.176,3.229,3.549,3.597,3.666,3.703,3.854,4.021,4.09,4.178,4.229,4.325,4.351,4.365,4.468,4.492,4.526,4.577,4.644,4.714,4.735,4.796,4.846,4.944,4.983,5.003,5.107,5.145,5.236,5.302,5.34,5.432,5.459,5.506,5.544,5.581,5.671,5.697,5.742,5.773,6.014,6.042,6.088,6.148,6.301,6.349,6.495,6.528,6.605,6.656,6.713,6.754,6.903,6.991,7.064,7.145,7.164,7.224,7.404,7.461,7.724,7.797,7.837,7.914,7.93,7.978,8.103,8.162,8.189,8.242,8.263,8.322,8.372,8.41,8.436,8.469,8.555,8.651,8.718,8.747,8.853,8.878,8.92,9.198,9.243,9.272,9.321,9.37,9.396,9.427,9.477,9.544,9.598,9.616,9.729,9.755,9.88,9.905,9.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.092,0.176,0.19,0.29,0.432,0.493,0.551,0.67,0.815,0.886,1.004,1.041,1.083,1.106,1.142,1.168,1.219,1.258,1.316,1.464,1.545,1.578,1.656,1.681,1.721,1.737,1.766,1.82,1.917,1.947,2.037,2.142,2.181,2.216,2.295,2.337,2.368,2.495,2.574,2.629,2.67,2.733,2.846,3.02,3.048,3.205,3.345,3.476,3.588,3.626,3.853,3.975,4.022,4.079,4.109,4.137,4.283,4.407,4.483,4.505,4.616,4.702,4.746,4.791,4.83,4.878,4.941,5.051,5.115,5.236,5.341,5.399,5.539,5.62,5.718,5.796,5.835,5.906,6.031,6.111,6.145,6.253,6.322,6.464,6.604,6.654,6.737,6.798,6.955,6.974,7.124,7.141,7.478,7.548,7.635,7.704,7.717,7.949,8.023,8.06,8.081,8.192,8.21,8.348,8.394,8.427,8.475,8.497,8.535,8.573,8.647,8.682,8.721,8.813,8.883,8.934,8.961,9.007,9.029,9.063,9.161,9.2,9.229,9.298,9.357,9.394,9.534,9.666,9.697,9.871,9.915,9.975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056,0.1,0.155,0.23,0.266,0.302,0.357,0.414,0.458,0.488,0.513,0.533,0.576,0.639,0.694,0.826,0.848,0.934,0.978,1.025,1.046,1.082,1.149,1.176,1.208,1.264,1.355,1.372,1.428,1.474,1.503,1.612,1.645,1.672,1.714,1.803,1.832,1.912,2.046,2.129,2.154,2.2,2.278,2.453,2.644,2.666,2.738,2.788,2.83,2.873,2.973,3.061,3.101,3.149,3.208,3.235,3.31,3.351,3.509,3.564,3.612,3.648,3.687,3.825,3.955,3.992,4.058,4.109,4.199,4.275,4.318,4.442,4.485,4.61,4.657,4.682,4.814,4.96,5.025,5.065,5.18,5.262,5.306,5.335,5.376,5.44,5.45,5.486,5.527,5.561,5.66,5.74,5.766,5.854,5.886,5.96,6.081,6.13,6.309,6.439,6.477,6.515,6.591,6.672,6.765,6.898,7.055,7.161,7.266,7.342,7.358,7.392,7.483,7.528,7.545,7.662,7.778,7.866,7.911,7.928,8.014,8.053,8.067,8.134,8.207,8.236,8.268,8.428,8.474,8.515,8.566,8.641,8.665,8.761,8.806,8.99,9.067,9.102,9.187,9.317,9.408,9.43,9.474,9.511,9.595,9.618,9.655,9.686,9.708,9.921,9.962,9.998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.049,0.073,0.166,0.224,0.347,0.457,0.483,0.551,0.601,0.689,0.72,0.792,0.823,0.885,0.961,1.01,1.061,1.138,1.169,1.296,1.41,1.436,1.482,1.555,1.647,1.759,1.864,1.919,1.999,2.029,2.063,2.11,2.152,2.176,2.223,2.283,2.383,2.436,2.531,2.559,2.583,2.66,2.736,2.798,2.862,3.172,3.239,3.277,3.31,3.366,3.44,3.469,3.563,3.628,3.692,3.745,3.766,3.823,3.865,3.973,4.055,4.149,4.172,4.2,4.266,4.364,4.377,4.457,4.605,4.675,4.743,4.82,4.853,4.927,4.949,4.997,5.041,5.087,5.168,5.214,5.277,5.442,5.496,5.532,5.614,5.707,5.726,5.761,5.793,5.893,6.134,6.165,6.228,6.272,6.345,6.369,6.43,6.708,6.77,6.963,7.102,7.122,7.156,7.223,7.379,7.42,7.64,7.663,7.724,7.746,7.823,7.993,8.035,8.064,8.199,8.228,8.307,8.349,8.471,8.497,8.516,8.6,8.647,8.775,8.795,8.81,8.836,8.91,8.944,9.005,9.074,9.118,9.201,9.216,9.25,9.399,9.437,9.498,9.588,9.685,9.825,9.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02,0.042,0.213,0.24,0.324,0.387,0.484,0.561,0.58,0.636,0.662,0.707,0.723,0.831,0.842,0.932,1.013,1.058,1.11,1.147,1.195,1.24,1.27,1.29,1.367,1.411,1.451,1.538,1.554,1.793,1.836,1.873,1.952,2.057,2.289,2.394,2.493,2.545,2.581,2.632,2.754,2.885,2.98,3.205,3.239,3.332,3.527,3.663,3.714,3.78,4.095,4.135,4.171,4.23,4.319,4.36,4.38,4.428,4.575,4.597,4.663,4.684,4.699,4.765,4.789,4.847,4.952,4.97,5.029,5.067,5.1,5.124,5.174,5.312,5.331,5.369,5.421,5.438,5.457,5.486,5.514,5.541,5.566,5.592,5.766,5.791,5.809,5.85,5.898,5.972,6.105,6.233,6.286,6.363,6.438,6.514,6.588,6.806,6.856,6.887,6.963,7.016,7.071,7.184,7.219,7.389,7.779,7.805,7.832,7.853,7.894,8.017,8.057,8.166,8.227,8.277,8.383,8.401,8.507,8.552,8.623,8.672,8.776,8.819,8.882,9.057,9.094,9.147,9.236,9.273,9.317,9.432,9.498,9.535,9.555,9.58,9.601,9.837,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
