0.254,0.294,0.322,0.376,0.419,0.591,0.627,0.705,0.738,0.766,0.793,0.825,0.843,0.894,0.937,0.977,1.013,1.108,1.206,1.225,1.251,1.364,1.395,1.416,1.45,1.524,1.617,1.691,2.129,2.235,2.258,2.292,2.347,2.361,2.59,2.788,2.819,2.901,2.985,3.007,3.073,3.115,3.227,3.281,3.302,3.399,3.428,3.464,3.501,3.541,3.67,3.719,3.784,3.808,3.92,3.983,4.014,4.192,4.248,4.299,4.383,4.404,4.481,4.606,4.626,4.648,4.68,4.73,4.834,4.863,4.912,4.958,5.077,5.131,5.171,5.266,5.316,5.364,5.386,5.45,5.514,5.54,5.673,5.721,5.79,5.857,5.88,5.919,5.96,5.99,6.017,6.164,6.202,6.285,6.346,6.453,6.715,6.735,6.899,6.95,6.987,7.044,7.229,7.305,7.336,7.379,7.448,7.464,7.485,7.533,7.594,7.721,7.753,7.808,7.837,7.865,7.91,7.988,8.05,8.112,8.133,8.218,8.26,8.304,8.381,8.4,8.484,8.579,8.647,8.687,8.715,8.753,8.788,8.837,8.907,8.955,9.033,9.162,9.192,9.226,9.284,9.37,9.391,9.472,9.508,9.664,9.743,9.766,9.799,9.844,9.981,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.154,0.309,0.377,0.444,0.574,0.632,0.713,0.823,0.919,0.947,0.965,1.019,1.04,1.199,1.225,1.245,1.486,1.527,1.551,1.581,1.706,1.768,2.101,2.202,2.223,2.33,2.396,2.483,2.512,2.544,2.613,2.788,2.954,2.996,3.08,3.155,3.287,3.452,3.523,3.691,3.853,3.881,3.972,4.07,4.108,4.154,4.191,4.298,4.321,4.486,4.515,4.574,4.638,4.691,4.745,4.796,4.866,4.916,5.031,5.083,5.127,5.149,5.333,5.524,5.549,5.575,5.592,5.657,5.679,5.75,5.86,5.914,5.954,6.009,6.107,6.14,6.395,6.473,6.836,6.876,7.133,7.339,7.36,7.398,7.504,7.637,7.747,7.983,8.115,8.134,8.26,8.298,8.449,8.521,8.643,8.708,8.769,8.871,8.962,9.053,9.143,9.18,9.288,9.343,9.355,9.404,9.432,9.459,9.519,9.565,9.596,9.611,9.725,9.777,9.81,9.87,9.885,9.913,9.984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.033,0.078,0.104,0.13,0.251,0.314,0.557,0.654,0.67,0.694,0.742,0.804,0.995,1.011,1.032,1.059,1.13,1.162,1.223,1.241,1.27,1.319,1.335,1.401,1.421,1.474,1.531,1.564,1.585,1.627,1.689,1.82,1.874,1.997,2.025,2.107,2.153,2.195,2.205,2.309,2.439,2.559,2.624,2.667,2.767,2.908,2.978,3.025,3.09,3.193,3.291,3.318,3.397,3.438,3.588,3.679,3.773,3.908,3.966,4.009,4.074,4.112,4.139,4.182,4.267,4.281,4.321,4.431,4.456,4.542,4.574,4.589,4.653,4.704,4.795,4.863,4.882,4.914,5.014,5.179,5.267,5.301,5.346,5.394,5.448,5.486,5.52,5.571,5.734,5.8,5.846,5.889,5.927,5.962,6.001,6.037,6.09,6.117,6.213,6.258,6.336,6.592,6.632,6.697,6.744,6.799,6.867,6.893,7.083,7.165,7.204,7.268,7.383,7.447,7.533,7.569,7.686,7.754,7.79,7.897,7.966,8.094,8.226,8.265,8.336,8.38,8.463,8.524,8.553,8.574,8.661,8.75,8.774,8.805,8.942,8.967,9.098,9.24,9.276,9.373,9.447,9.548,9.571,9.593,9.616,9.664,9.711,9.726,9.76,9.779,9.813,9.848,9.88,9.93,9.989,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.029,0.058,0.131,0.328,0.362,0.399,0.426,0.463,0.515,0.672,0.704,0.725,0.749,0.777,0.792,0.804,0.858,0.923,0.971,1.028,1.048,1.089,1.157,1.238,1.285,1.342,1.389,1.441,1.47,1.492,1.742,1.765,1.872,1.914,2.014,2.048,2.085,2.13,2.272,2.365,2.387,2.468,2.494,2.675,2.716,2.814,2.852,2.932,2.956,3.084,3.104,3.244,3.336,3.395,3.429,3.475,3.737,3.798,3.872,3.958,4.126,4.196,4.238,4.307,4.369,4.393,4.516,4.553,4.692,4.774,4.835,5.016,5.049,5.09,5.127,5.226,5.279,5.304,5.388,5.448,5.517,5.551,5.65,5.755,5.885,5.931,5.993,6.019,6.196,6.21,6.247,6.271,6.377,6.432,6.497,6.573,6.634,6.651,6.736,6.764,6.992,7.061,7.359,7.412,7.435,7.504,7.58,7.783,7.869,7.923,7.953,7.982,8.013,8.088,8.137,8.187,8.205,8.248,8.268,8.292,8.391,8.424,8.476,8.59,8.627,8.705,8.746,8.953,9.012,9.089,9.223,9.254,9.401,9.435,9.493,9.583,9.608,9.745,9.8,9.831,9.884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.09,0.141,0.202,0.275,0.326,0.365,0.403,0.446,0.528,0.576,0.688,0.761,0.782,0.838,0.928,0.946,0.97,1.142,1.165,1.269,1.298,1.367,1.401,1.446,1.542,1.562,1.633,1.654,1.722,1.773,1.836,1.87,1.902,1.919,2.016,2.106,2.288,2.553,2.612,2.692,2.776,2.921,2.972,3.123,3.193,3.266,3.406,3.53,3.664,3.742,3.802,3.87,3.927,3.957,3.979,4.035,4.079,4.254,4.291,4.319,4.347,4.383,4.414,4.51,4.574,4.681,4.828,4.872,4.902,5.033,5.068,5.094,5.146,5.258,5.316,5.401,5.451,5.513,5.589,5.62,5.664,5.706,5.746,5.83,5.86,6.006,6.046,6.143,6.322,6.345,6.367,6.412,6.441,6.467,6.743,6.796,6.853,6.873,6.984,7.031,7.164,7.254,7.33,7.403,7.428,7.472,7.572,7.691,7.938,8.083,8.165,8.208,8.244,8.311,8.339,8.394,8.444,8.508,8.524,8.6,8.639,8.672,8.776,8.828,8.887,8.91,8.963,9.066,9.112,9.18,9.24,9.288,9.45,9.484,9.56,9.66,9.693,9.757,9.798,9.872,9.937,9.956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039,0.156,0.291,0.505,0.537,0.628,0.659,0.705,0.755,0.838,0.901,0.93,0.973,1.007,1.051,1.071,1.105,1.13,1.341,1.389,1.463,1.551,1.611,1.649,1.879,1.919,1.936,1.97,2.034,2.108,2.15,2.167,2.191,2.226,2.248,2.334,2.376,2.591,2.728,2.957,3.057,3.15,3.243,3.432,3.456,3.602,3.7,3.827,3.88,3.929,3.993,4.112,4.129,4.158,4.19,4.212,4.283,4.418,4.465,4.534,4.767,4.79,4.833,4.865,4.887,4.942,4.963,5.001,5.163,5.258,5.322,5.43,5.448,5.549,5.589,5.636,5.755,5.775,5.804,5.825,5.871,5.911,5.99,6.006,6.067,6.101,6.126,6.178,6.251,6.29,6.361,6.609,6.631,6.782,6.81,6.932,7.027,7.106,7.129,7.195,7.444,7.688,7.75,7.809,7.861,7.947,7.969,8.044,8.091,8.118,8.286,8.34,8.4,8.433,8.456,8.52,8.597,8.723,8.77,8.831,9.005,9.035,9.112,9.211,9.24,9.319,9.391,9.441,9.479,9.504,9.519,9.55,9.723,9.812,9.963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.148,0.168,0.233,0.328,0.384,0.498,0.53,0.579,0.666,0.689,0.762,0.837,0.864,0.906,0.989,1.033,1.059,1.15,1.24,1.281,1.349,1.387,1.454,1.858,1.926,1.945,1.994,2.121,2.187,2.219,2.257,2.57,2.652,2.686,2.728,2.768,2.933,3.067,3.196,3.389,3.449,3.473,3.532,3.599,3.639,3.671,3.783,3.804,3.909,4.074,4.102,4.155,4.182,4.199,4.258,4.354,4.423,4.438,4.462,4.493,4.523,4.546,4.608,4.742,4.76,4.822,4.866,4.92,4.982,5.035,5.054,5.08,5.223,5.26,5.288,5.306,5.357,5.525,5.625,5.686,5.73,5.815,5.854,5.969,6.154,6.268,6.437,6.464,6.588,6.618,6.741,6.782,6.834,6.913,7.002,7.153,7.202,7.377,7.466,7.533,7.628,7.759,7.82,7.859,7.956,7.99,8.014,8.053,8.066,8.11,8.188,8.215,8.258,8.394,8.478,8.523,8.554,8.596,8.614,8.659,8.801,8.826,8.853,8.868,8.917,8.959,8.985,9.012,9.047,9.077,9.113,9.158,9.196,9.265,9.314,9.353,9.435,9.473,9.687,9.731,9.783,9.832,9.893,9.925,9.954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.028,0.058,0.123,0.162,0.313,0.357,0.466,0.504,0.636,0.769,0.833,0.926,1.024,1.069,1.187,1.229,1.263,1.332,1.387,1.448,1.482,1.514,1.573,1.639,1.655,1.882,1.915,2.027,2.06,2.13,2.195,2.232,2.281,2.343,2.396,2.442,2.536,2.582,2.665,2.708,2.83,3.186,3.236,3.274,3.426,3.474,3.523,3.551,3.578,3.789,3.806,3.836,3.857,3.905,4.017,4.081,4.195,4.276,4.291,4.328,4.353,4.401,4.458,4.497,4.637,4.674,4.702,4.752,4.79,4.811,4.844,4.884,4.916,4.948,4.962,5.018,5.096,5.128,5.169,5.217,5.25,5.275,5.355,5.422,5.454,5.493,5.537,5.687,5.724,5.772,5.839,5.993,6.029,6.182,6.306,6.356,6.389,6.556,6.612,6.9,6.953,7.007,7.068,7.335,7.431,7.682,7.722,7.765,7.786,7.953,7.99,8.061,8.087,8.117,8.18,8.285,8.402,8.495,8.536,8.564,8.635,8.676,8.706,8.867,9.02,9.1,9.149,9.199,9.295,9.328,9.358,9.378,9.415,9.489,9.52,9.543,9.571,9.772,9.869,9.956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.198,0.307,0.37,0.405,0.432,0.495,0.607,0.662,0.686,0.774,0.856,0.938,1.147,1.215,1.238,1.296,1.327,1.36,1.391,1.45,1.491,1.519,1.564,1.638,1.673,1.737,1.763,1.793,1.873,1.952,2.013,2.042,2.145,2.231,2.311,2.361,2.43,2.481,2.647,2.687,2.803,2.872,2.9,3.128,3.15,3.176,3.316,3.373,3.433,3.571,3.613,3.765,3.878,3.938,3.994,4.099,4.139,4.262,4.284,4.342,4.366,4.416,4.463,4.484,4.513,4.61,4.642,4.699,4.749,4.776,4.828,4.878,4.916,4.94,4.969,5.016,5.07,5.091,5.164,5.222,5.292,5.386,5.426,5.466,5.491,5.608,5.691,5.723,5.814,5.836,5.912,5.943,6.069,6.106,6.128,6.245,6.399,6.57,6.693,6.71,6.815,6.84,6.979,7.128,7.178,7.239,7.271,7.3,7.503,7.546,7.642,7.706,7.745,7.835,7.997,8.013,8.036,8.072,8.124,8.158,8.231,8.255,8.392,8.426,8.482,8.525,8.607,8.661,8.696,8.728,8.977,9.064,9.093,9.198,9.224,9.26,9.272,9.302,9.318,9.353,9.437,9.763,9.832,9.866,9.923,9.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056,0.083,0.118,0.159,0.356,0.377,0.416,0.524,0.709,0.77,0.808,0.866,0.892,0.966,0.989,1.04,1.075,1.116,1.235,1.283,1.348,1.36,1.467,1.53,1.564,1.704,1.819,1.904,1.959,1.976,2.049,2.069,2.251,2.284,2.336,2.387,2.581,2.599,2.622,2.691,2.714,2.751,2.815,2.9,3.018,3.066,3.193,3.206,3.334,3.407,3.53,3.744,3.877,3.955,3.991,4.045,4.056,4.075,4.122,4.214,4.371,4.509,4.628,4.656,4.741,4.808,4.83,4.848,4.961,5.004,5.125,5.158,5.176,5.218,5.28,5.372,5.448,5.484,5.541,5.588,5.626,5.698,5.775,5.812,5.837,5.858,5.94,6.063,6.102,6.19,6.242,6.47,6.809,6.846,6.902,6.956,7.113,7.232,7.265,7.409,7.483,7.713,7.764,7.791,7.84,7.953,7.999,8.085,8.147,8.177,8.212,8.3,8.47,8.649,8.701,8.759,8.786,8.876,8.901,8.964,9.164,9.197,9.318,9.335,9.4,9.434,9.542,9.747,9.769,9.837,9.901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
