0.072,0.152,0.233,0.274,0.357,0.429,0.457,0.622,0.69,0.739,0.816,0.905,0.953,0.98,0.998,1.015,1.052,1.093,1.133,1.163,1.176,1.258,1.284,1.321,1.575,1.607,1.663,1.692,1.721,1.825,1.925,1.968,1.998,2.035,2.087,2.121,2.153,2.173,2.273,2.304,2.357,2.51,2.658,2.758,2.845,2.933,2.972,2.997,3.126,3.173,3.217,3.3,3.365,3.504,3.665,3.715,3.765,3.856,3.963,4.009,4.096,4.191,4.276,4.409,4.447,4.532,4.616,4.682,4.716,4.749,4.922,4.973,5.024,5.17,5.278,5.3,5.365,5.379,5.403,5.422,5.45,5.501,5.524,5.541,5.627,5.658,5.683,5.712,5.838,5.851,5.9,5.917,6.052,6.15,6.175,6.278,6.366,6.423,6.615,6.684,6.718,6.784,6.845,6.945,7.244,7.401,7.496,7.545,7.742,7.778,7.883,7.936,8.041,8.149,8.197,8.247,8.293,8.348,8.37,8.468,8.537,8.582,8.605,8.627,8.657,8.73,8.774,8.89,8.944,9.091,9.184,9.253,9.295,9.368,9.488,9.507,9.621,9.677,9.714,9.764,9.925,9.958,9.975,9.993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.049,0.174,0.203,0.262,0.3,0.348,0.374,0.407,0.481,0.638,0.685,0.833,0.884,0.909,0.937,0.955,0.995,1.03,1.284,1.316,1.373,1.4,1.454,1.481,1.514,1.592,1.638,1.669,1.703,1.736,1.783,1.87,1.919,1.944,1.983,2.057,2.112,2.136,2.174,2.189,2.209,2.243,2.281,2.379,2.4,2.638,2.783,2.818,2.841,2.936,3.071,3.122,3.215,3.501,3.85,3.905,3.945,3.96,3.989,4.011,4.038,4.075,4.247,4.315,4.329,4.358,4.424,4.467,4.591,4.619,4.65,4.763,4.809,4.881,5.05,5.138,5.31,5.367,5.436,5.466,5.559,5.689,5.747,5.998,6.049,6.24,6.272,6.295,6.349,6.367,6.443,6.565,6.665,6.769,6.806,6.931,7.186,7.306,7.34,7.395,7.461,7.51,7.557,7.647,7.661,7.815,7.931,8.074,8.251,8.283,8.336,8.413,8.445,8.516,8.631,8.704,8.73,8.758,8.893,8.978,9.037,9.097,9.115,9.147,9.23,9.245,9.335,9.391,9.427,9.474,9.506,9.566,9.638,9.761,9.837,9.867,9.937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.079,0.151,0.188,0.326,0.401,0.578,0.626,0.719,0.76,0.781,0.868,0.981,1.086,1.125,1.145,1.165,1.2,1.284,1.359,1.402,1.489,1.614,1.822,1.943,2.129,2.235,2.249,2.318,2.447,2.471,2.825,2.877,3.02,3.094,3.278,3.537,3.658,3.756,3.798,3.836,3.892,4.02,4.19,4.277,4.351,4.402,4.458,4.484,4.533,4.644,4.669,4.693,4.749,4.785,4.872,4.889,4.917,5.006,5.033,5.112,5.175,5.214,5.228,5.294,5.309,5.349,5.376,5.431,5.539,5.609,5.645,5.704,5.8,5.836,5.942,6.006,6.09,6.105,6.238,6.27,6.338,6.752,7.058,7.082,7.108,7.22,7.408,7.443,7.468,7.491,7.721,7.823,7.839,7.896,7.943,7.971,8.142,8.163,8.198,8.308,8.37,8.452,8.514,8.592,8.628,8.716,8.8,8.828,8.898,9.167,9.247,9.284,9.474,9.512,9.598,9.678,9.707,9.816,9.863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022,0.046,0.08,0.111,0.144,0.197,0.229,0.3,0.384,0.475,0.511,0.529,0.62,0.645,0.668,0.716,0.747,0.762,0.837,0.932,0.973,1.01,1.046,1.075,1.15,1.175,1.294,1.35,1.464,1.495,1.62,1.777,1.831,1.859,1.887,1.973,2.006,2.023,2.102,2.123,2.189,2.284,2.345,2.382,2.441,2.565,2.643,2.69,2.905,2.987,3.024,3.105,3.133,3.171,3.209,3.277,3.292,3.408,3.435,3.508,3.646,3.696,3.886,3.906,4.006,4.055,4.118,4.143,4.173,4.235,4.287,4.37,4.429,4.555,4.659,4.695,4.729,4.76,4.787,4.829,4.875,4.972,5.144,5.182,5.205,5.245,5.374,5.39,5.46,5.541,5.576,5.596,5.634,5.703,5.754,5.887,5.952,6.236,6.256,6.314,6.358,6.406,6.484,6.512,6.535,6.619,6.676,6.808,6.912,7.077,7.141,7.241,7.273,7.427,7.462,7.515,7.753,7.795,7.822,7.864,7.974,8.018,8.095,8.336,8.358,8.414,8.436,8.503,8.539,8.659,8.721,8.744,8.805,8.827,8.932,9.005,9.03,9.064,9.089,9.106,9.233,9.264,9.299,9.373,9.5,9.559,9.634,9.66,9.69,9.872,9.898,9.914,nan,nan,nan,nan,nan,nan
0.054,0.122,0.167,0.258,0.316,0.369,0.39,0.421,0.463,0.549,0.6,0.703,0.758,0.785,0.819,0.871,0.918,0.954,1.01,1.052,1.097,1.123,1.15,1.216,1.238,1.277,1.31,1.388,1.419,1.546,1.57,1.606,1.644,1.695,1.769,1.829,1.963,2.024,2.129,2.17,2.192,2.207,2.222,2.265,2.314,2.365,2.461,2.605,2.694,2.73,3.066,3.166,3.195,3.396,3.477,3.58,3.617,3.888,3.953,4.029,4.053,4.114,4.379,4.523,4.547,4.792,4.874,4.905,4.922,4.99,5.098,5.146,5.279,5.332,5.356,5.418,5.438,5.507,5.53,5.549,5.581,5.6,5.637,5.799,5.865,5.965,6.126,6.174,6.231,6.317,6.442,6.468,6.583,6.741,6.775,6.817,6.956,7.013,7.046,7.167,7.27,7.462,7.514,7.763,7.807,7.936,8.014,8.2,8.233,8.263,8.29,8.423,8.621,8.668,8.728,8.769,8.877,8.93,8.953,8.987,9.019,9.053,9.165,9.194,9.271,9.335,9.392,9.42,9.456,9.523,9.565,9.615,9.639,9.684,9.822,9.943,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.107,0.219,0.305,0.346,0.502,0.584,0.636,0.687,0.74,0.757,0.807,0.83,0.89,0.927,0.954,0.99,1.042,1.096,1.125,1.148,1.352,1.46,1.509,1.543,1.574,1.602,1.73,1.794,1.884,1.949,2.048,2.066,2.11,2.219,2.249,2.305,2.359,2.574,2.759,2.807,3.147,3.247,3.405,3.435,3.461,3.591,3.636,3.781,3.836,3.975,4.015,4.03,4.046,4.066,4.123,4.211,4.291,4.365,4.408,4.475,4.509,4.581,4.618,4.66,4.681,4.779,4.882,4.994,5.059,5.132,5.292,5.331,5.372,5.39,5.447,5.495,5.522,5.581,5.662,5.704,5.768,5.827,5.842,5.912,5.943,6.015,6.046,6.079,6.221,6.264,6.396,6.487,6.801,6.847,6.877,6.895,7.004,7.034,7.126,7.246,7.294,7.321,7.343,7.368,7.466,7.507,7.536,7.666,7.687,7.813,7.946,8.098,8.176,8.246,8.274,8.324,8.367,8.463,8.498,8.809,8.848,8.887,9.041,9.074,9.103,9.137,9.181,9.226,9.255,9.358,9.439,9.463,9.51,9.597,9.628,9.652,9.73,9.759,9.867,9.895,9.947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.102,0.118,0.193,0.253,0.3,0.326,0.355,0.413,0.552,0.621,0.721,0.783,0.872,0.911,0.951,0.99,1.11,1.302,1.358,1.508,1.548,1.567,1.615,1.64,1.686,1.73,1.771,1.875,1.924,1.961,2.014,2.084,2.158,2.298,2.495,2.52,2.679,2.853,2.9,3.009,3.103,3.22,3.391,3.412,3.557,3.592,3.783,3.886,3.92,3.952,4.024,4.052,4.119,4.168,4.211,4.284,4.311,4.423,4.511,4.531,4.555,4.617,4.638,4.753,4.784,4.849,4.906,4.946,5.027,5.077,5.143,5.173,5.213,5.34,5.407,5.428,5.518,5.586,5.613,5.759,5.805,5.95,6.014,6.048,6.064,6.196,6.358,6.406,6.558,6.617,6.657,6.721,6.838,6.887,6.952,7.054,7.122,7.341,7.406,7.438,7.523,7.579,7.629,7.679,7.757,7.834,7.963,8.031,8.08,8.109,8.176,8.201,8.27,8.322,8.343,8.533,8.566,8.601,8.636,8.661,8.812,8.906,8.922,9.225,9.274,9.463,9.554,9.6,9.629,9.659,9.7,9.712,9.789,9.816,9.876,9.908,9.959,9.986,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.138,0.154,0.175,0.213,0.227,0.4,0.459,0.553,0.625,0.656,0.741,0.817,0.969,1.113,1.133,1.164,1.232,1.307,1.335,1.38,1.432,1.47,1.499,1.532,1.554,1.624,1.697,1.846,1.864,1.95,2.058,2.094,2.132,2.146,2.181,2.29,2.422,2.456,2.491,2.539,2.598,2.662,3.117,3.187,3.379,3.405,3.5,3.559,3.593,3.675,3.752,3.863,3.921,3.943,3.996,4.014,4.109,4.309,4.34,4.421,4.432,4.515,4.545,4.577,4.723,4.769,5.048,5.068,5.167,5.223,5.251,5.299,5.392,5.48,5.535,5.564,5.6,5.741,5.772,5.827,5.852,5.879,5.904,5.918,6.011,6.055,6.074,6.105,6.167,6.235,6.29,6.405,6.549,6.662,6.712,6.744,6.794,6.848,6.917,6.975,7.033,7.088,7.158,7.468,7.481,7.555,7.638,7.693,7.766,7.814,7.891,8.015,8.092,8.149,8.218,8.305,8.346,8.361,8.466,8.541,8.573,8.586,8.606,8.677,8.738,8.789,8.817,8.841,8.881,8.909,8.929,8.981,9.004,9.138,9.16,9.264,9.325,9.354,9.463,9.497,9.553,9.575,9.694,9.738,9.796,9.829,9.856,9.964,9.986,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.081,0.121,0.192,0.252,0.39,0.436,0.499,0.554,0.674,0.749,0.787,0.829,0.992,1.064,1.116,1.144,1.175,1.206,1.237,1.305,1.413,1.461,1.498,1.521,1.554,1.647,1.681,1.905,2.008,2.041,2.092,2.215,2.26,2.303,2.382,2.438,2.602,2.796,2.838,2.947,3.035,3.105,3.192,3.31,3.358,3.42,3.502,3.573,3.616,3.672,3.779,3.825,3.914,3.981,4.041,4.164,4.205,4.325,4.35,4.426,4.492,4.725,4.741,4.768,4.8,4.823,4.962,5.096,5.111,5.14,5.19,5.203,5.243,5.281,5.349,5.505,5.546,5.605,5.69,5.71,5.781,5.814,5.845,5.935,5.99,6.03,6.057,6.124,6.184,6.285,6.577,6.608,6.735,6.77,6.808,6.957,6.994,7.217,7.288,7.438,7.545,7.59,7.613,7.668,7.767,7.825,7.899,7.972,8.115,8.227,8.291,8.411,8.443,8.471,8.538,8.559,8.629,8.678,8.715,8.731,8.759,8.798,8.855,8.877,8.911,8.959,8.999,9.034,9.124,9.198,9.241,9.301,9.425,9.448,9.534,9.626,9.692,9.741,9.771,9.797,9.862,9.906,9.993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.051,0.095,0.185,0.24,0.279,0.327,0.345,0.381,0.422,0.491,0.6,0.65,0.696,0.721,0.742,0.809,0.858,0.925,1.009,1.034,1.12,1.183,1.209,1.404,1.449,1.538,1.57,1.646,1.686,1.892,1.938,1.983,2.138,2.315,2.514,2.541,2.59,2.638,2.679,2.709,2.823,2.892,3.016,3.05,3.112,3.164,3.326,3.374,3.394,3.712,3.732,3.814,3.829,3.92,4.048,4.101,4.127,4.146,4.2,4.286,4.328,4.362,4.429,4.484,4.514,4.585,4.613,4.66,4.686,4.704,4.723,4.759,4.799,4.867,4.894,5.102,5.134,5.165,5.253,5.306,5.358,5.41,5.468,5.558,5.596,5.849,5.869,5.971,6.017,6.112,6.175,6.477,6.604,6.7,6.764,6.792,6.934,6.944,7.071,7.16,7.363,7.61,7.661,7.707,7.768,7.823,7.939,7.962,8.041,8.109,8.138,8.189,8.248,8.319,8.34,8.373,8.466,8.542,8.601,8.757,8.79,8.861,8.889,8.952,8.989,9.015,9.041,9.078,9.104,9.23,9.278,9.458,9.481,9.523,9.622,9.726,9.757,9.881,9.932,9.968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
