0.179,0.237,0.28,0.326,0.387,0.425,0.462,0.507,0.645,0.668,0.747,0.776,0.862,0.896,0.931,1.02,1.052,1.118,1.208,1.26,1.386,1.418,1.512,1.558,1.66,1.68,1.711,1.84,1.99,2.052,2.083,2.123,2.148,2.216,2.346,2.393,2.407,2.434,2.473,2.544,2.601,2.663,2.735,2.876,2.947,3.364,3.435,3.466,3.677,3.736,3.905,3.943,3.986,4.02,4.034,4.094,4.21,4.348,4.396,4.547,4.576,4.622,4.699,4.732,4.745,4.795,4.843,5.015,5.076,5.155,5.212,5.303,5.333,5.361,5.467,5.49,5.514,5.549,5.574,5.603,5.637,5.8,5.859,5.921,5.987,6.053,6.1,6.138,6.223,6.286,6.401,6.511,6.605,6.974,7.145,7.179,7.213,7.288,7.468,7.575,7.598,7.637,7.688,7.717,7.793,7.831,7.864,8.045,8.074,8.104,8.157,8.291,8.314,8.342,8.384,8.4,8.441,8.567,8.608,8.631,8.657,8.705,8.764,8.806,8.858,9.071,9.107,9.136,9.222,9.258,9.327,9.353,9.374,9.467,9.505,9.568,9.602,9.678,9.748,9.769,9.872,9.936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.057,0.076,0.151,0.223,0.249,0.294,0.324,0.392,0.442,0.487,0.524,0.59,0.655,0.718,0.803,0.866,0.982,1.011,1.034,1.067,1.106,1.22,1.313,1.433,1.489,1.559,1.628,1.728,1.754,1.978,2.049,2.102,2.214,2.27,2.369,2.44,2.566,2.584,2.648,2.843,2.937,3.029,3.067,3.113,3.143,3.202,3.232,3.277,3.302,3.384,3.415,3.462,3.52,3.56,3.728,3.778,3.88,3.916,3.935,4.021,4.067,4.115,4.19,4.22,4.313,4.36,4.382,4.472,4.492,4.52,4.565,4.634,4.654,4.715,4.761,4.952,5.05,5.103,5.153,5.175,5.192,5.208,5.242,5.305,5.381,5.478,5.529,5.602,5.67,5.762,5.859,5.994,6.054,6.082,6.114,6.156,6.184,6.26,6.419,6.524,6.56,6.631,6.694,6.778,6.819,6.886,7.035,7.089,7.141,7.174,7.357,7.382,7.401,7.579,7.632,7.664,7.708,7.787,7.88,7.904,7.994,8.035,8.12,8.168,8.243,8.297,8.381,8.417,8.443,8.526,8.576,8.599,8.669,8.705,8.855,8.881,8.95,9.043,9.11,9.173,9.199,9.291,9.41,9.449,9.471,9.546,9.593,9.618,9.8,9.826,9.88,9.99,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.036,0.054,0.083,0.105,0.137,0.158,0.289,0.319,0.371,0.436,0.492,0.505,0.534,0.571,0.607,0.627,0.688,0.768,0.807,0.831,0.879,0.92,0.961,0.985,1.014,1.063,1.262,1.288,1.35,1.427,1.539,1.569,1.585,1.654,1.754,1.781,1.875,1.955,1.991,2.057,2.104,2.233,2.274,2.321,2.375,2.439,2.559,2.646,2.683,2.703,2.729,2.786,3.055,3.119,3.208,3.35,3.42,3.461,3.508,3.557,3.685,3.782,3.904,4.004,4.084,4.181,4.239,4.342,4.396,4.421,4.469,4.62,4.642,4.717,4.778,4.869,4.938,4.959,5.0,5.031,5.067,5.134,5.209,5.237,5.288,5.313,5.331,5.352,5.384,5.444,5.509,5.526,5.58,5.606,5.701,5.724,5.749,5.814,5.827,5.923,5.949,5.994,6.036,6.109,6.155,6.183,6.286,6.422,6.445,6.467,6.609,6.647,6.679,6.786,6.834,6.873,6.915,6.972,7.017,7.095,7.209,7.263,7.417,7.446,7.492,7.531,7.56,7.602,7.636,7.664,7.898,7.937,8.025,8.094,8.192,8.267,8.304,8.379,8.529,8.554,8.641,8.706,8.761,8.839,8.88,8.962,8.991,9.03,9.057,9.111,9.171,9.214,9.236,9.258,9.386,9.509,9.548,9.596,9.627,9.702,9.806,9.83,9.885
0.025,0.039,0.067,0.177,0.219,0.256,0.292,0.414,0.501,0.536,0.593,0.796,0.827,0.855,0.927,0.95,1.007,1.039,1.073,1.1,1.164,1.194,1.246,1.265,1.309,1.341,1.388,1.42,1.452,1.475,1.492,1.551,1.575,1.635,1.669,1.703,1.747,1.833,1.887,2.025,2.047,2.087,2.133,2.162,2.229,2.241,2.401,2.474,2.514,2.572,2.627,2.701,2.751,2.833,2.917,3.25,3.274,3.364,3.421,3.501,3.588,3.667,3.708,3.927,3.944,4.065,4.097,4.15,4.2,4.405,4.459,4.495,4.589,4.711,4.784,4.81,4.85,4.896,4.934,4.997,5.128,5.169,5.206,5.248,5.281,5.316,5.382,5.418,5.447,5.486,5.616,5.649,5.685,5.751,5.776,5.818,5.907,6.06,6.096,6.126,6.181,6.291,6.331,6.345,6.449,6.523,6.545,6.575,6.611,6.755,6.802,6.92,7.14,7.388,7.537,7.575,7.777,7.848,7.92,7.965,7.992,8.171,8.199,8.252,8.345,8.466,8.56,8.633,8.75,8.79,8.864,8.933,8.961,9.059,9.1,9.132,9.174,9.215,9.232,9.321,9.367,9.384,9.433,9.619,9.671,9.734,9.78,9.829,9.849,9.922,9.974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.058,0.158,0.189,0.238,0.472,0.553,0.649,0.715,0.789,0.853,0.903,1.044,1.065,1.111,1.133,1.158,1.285,1.3,1.346,1.371,1.444,1.489,1.543,1.608,1.733,1.806,1.854,1.879,1.963,1.984,2.001,2.031,2.082,2.114,2.18,2.355,2.382,2.498,2.623,2.755,2.834,2.983,3.137,3.207,3.371,3.42,3.486,3.607,3.637,3.803,3.88,3.96,3.989,4.029,4.259,4.276,4.402,4.421,4.488,4.514,4.561,4.586,4.607,4.649,4.82,4.864,4.916,5.014,5.078,5.11,5.17,5.237,5.263,5.365,5.393,5.483,5.538,5.562,5.691,5.804,5.839,5.855,5.92,5.957,6.015,6.105,6.196,6.226,6.263,6.381,6.648,6.764,6.82,6.846,6.986,7.014,7.054,7.151,7.342,7.479,7.551,7.584,7.68,7.707,7.737,7.859,8.077,8.114,8.272,8.301,8.4,8.49,8.517,8.623,8.714,8.743,8.759,8.809,8.894,8.982,9.011,9.081,9.107,9.198,9.216,9.279,9.336,9.36,9.38,9.5,9.552,9.612,9.674,9.786,9.898,9.964,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.027,0.093,0.145,0.172,0.408,0.499,0.562,0.679,0.719,0.801,0.822,0.977,1.002,1.124,1.154,1.176,1.198,1.263,1.354,1.374,1.447,1.513,1.624,1.728,1.839,1.909,1.925,1.951,1.987,2.046,2.113,2.16,2.193,2.311,2.478,2.546,2.676,2.721,2.733,2.787,2.835,3.076,3.097,3.149,3.289,3.581,3.614,3.638,3.684,3.727,3.744,3.767,3.859,3.929,3.974,4.038,4.129,4.154,4.191,4.21,4.244,4.283,4.304,4.325,4.352,4.394,4.477,4.492,4.527,4.553,4.617,4.676,4.766,4.84,4.886,4.971,5.021,5.116,5.147,5.204,5.24,5.261,5.324,5.475,5.499,5.591,5.735,5.757,5.788,5.828,5.858,5.889,6.033,6.125,6.161,6.187,6.275,6.45,6.546,6.568,6.716,6.791,7.049,7.067,7.117,7.216,7.36,7.412,7.534,7.609,7.638,7.692,7.712,7.732,7.773,7.843,7.994,8.035,8.06,8.153,8.235,8.268,8.438,8.491,8.545,8.667,8.788,8.901,8.942,8.956,8.995,9.053,9.108,9.141,9.263,9.293,9.32,9.439,9.737,9.759,9.785,9.874,9.901,9.984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.144,0.212,0.232,0.253,0.271,0.302,0.345,0.478,0.6,0.74,0.959,0.999,1.052,1.16,1.236,1.38,1.436,1.476,1.503,1.587,1.609,1.681,1.772,1.798,1.841,1.884,1.902,2.091,2.161,2.202,2.38,2.455,2.551,2.563,2.688,2.808,2.853,2.889,2.984,3.071,3.1,3.213,3.353,3.405,3.43,3.468,3.545,3.621,3.782,3.94,4.071,4.094,4.149,4.202,4.228,4.286,4.354,4.377,4.428,4.479,4.55,4.58,4.7,4.789,4.847,4.907,4.99,5.05,5.105,5.138,5.203,5.257,5.284,5.368,5.514,5.647,5.676,5.762,5.905,5.926,6.309,6.511,6.572,6.601,6.905,6.97,6.986,7.053,7.082,7.122,7.16,7.202,7.22,7.322,7.579,7.608,7.67,7.72,7.801,7.87,7.894,7.957,7.985,8.068,8.092,8.165,8.258,8.288,8.304,8.438,8.559,8.593,8.642,8.835,8.898,8.924,8.984,9.044,9.125,9.225,9.32,9.335,9.348,9.45,9.553,9.581,9.6,9.784,9.843,9.936,9.968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.047,0.078,0.208,0.259,0.273,0.337,0.371,0.407,0.553,0.572,0.616,0.635,0.679,0.713,0.75,0.884,0.937,0.96,1.055,1.1,1.17,1.208,1.281,1.325,1.389,1.485,1.562,1.627,1.661,1.693,1.705,1.76,1.803,1.829,1.865,1.92,1.934,1.952,2.026,2.155,2.191,2.211,2.31,2.385,2.411,2.467,2.683,2.922,3.015,3.053,3.082,3.103,3.189,3.249,3.274,3.322,3.355,3.389,3.434,3.48,3.52,3.695,3.793,3.865,3.888,3.919,3.977,4.021,4.103,4.12,4.189,4.294,4.346,4.409,4.482,4.498,4.664,4.763,4.847,5.014,5.131,5.283,5.337,5.432,5.479,5.511,5.536,5.577,5.629,5.698,5.73,5.776,5.853,5.878,5.909,5.967,6.015,6.093,6.18,6.32,6.347,6.475,6.518,6.553,6.592,6.693,6.724,6.813,6.925,6.963,6.991,7.027,7.288,7.398,7.421,7.522,7.589,7.653,7.67,7.699,7.731,7.761,7.847,7.871,7.987,8.066,8.096,8.203,8.247,8.301,8.465,8.495,8.547,8.594,8.639,8.687,8.706,8.731,8.758,8.819,8.841,8.949,9.002,9.131,9.236,9.264,9.332,9.409,9.461,9.526,9.673,9.734,9.836,9.882,9.915,9.941,9.958,9.978,nan,nan,nan,nan,nan
0.049,0.136,0.166,0.207,0.22,0.269,0.418,0.535,0.564,0.617,0.642,0.67,0.694,0.744,0.789,0.865,0.899,0.997,1.061,1.132,1.187,1.278,1.363,1.425,1.5,1.525,1.554,1.648,1.677,1.732,1.778,1.815,1.969,2.032,2.102,2.159,2.208,2.246,2.326,2.412,2.488,2.524,2.636,2.676,2.801,2.929,2.952,3.118,3.148,3.282,3.327,3.427,3.609,3.698,3.788,3.842,3.902,3.931,3.957,3.988,4.006,4.107,4.181,4.227,4.246,4.328,4.355,4.399,4.426,4.542,4.605,4.65,4.685,4.706,4.742,4.809,4.892,4.988,5.038,5.091,5.123,5.153,5.194,5.229,5.337,5.362,5.391,5.628,5.654,5.738,5.856,5.928,6.022,6.169,6.27,6.31,6.344,6.374,6.591,6.735,6.834,6.911,6.955,6.976,7.021,7.064,7.101,7.289,7.476,7.497,7.555,7.576,7.611,7.634,7.663,7.796,7.85,7.941,7.976,8.0,8.069,8.129,8.167,8.209,8.312,8.376,8.394,8.438,8.461,8.484,8.506,8.559,8.593,8.669,8.698,8.811,8.857,8.966,9.023,9.08,9.144,9.446,9.51,9.521,9.569,9.663,9.901,9.991,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.083,0.105,0.201,0.285,0.355,0.401,0.454,0.469,0.503,0.555,0.63,0.724,0.816,0.915,1.009,1.073,1.097,1.115,1.142,1.158,1.218,1.265,1.303,1.399,1.468,1.493,1.562,1.642,1.678,1.781,1.827,1.847,1.873,1.927,2.025,2.045,2.156,2.181,2.407,2.523,2.635,2.691,2.787,2.809,2.881,3.019,3.076,3.137,3.161,3.254,3.287,3.311,3.348,3.386,3.44,3.497,3.607,3.702,3.837,3.897,3.99,4.012,4.04,4.072,4.202,4.257,4.286,4.426,4.465,4.507,4.634,4.707,4.767,4.854,4.882,4.97,5.06,5.142,5.187,5.237,5.299,5.38,5.415,5.454,5.495,5.512,5.597,5.657,5.758,5.821,5.841,5.891,5.977,6.113,6.169,6.193,6.245,6.363,6.438,6.522,6.534,6.574,6.682,6.76,6.878,6.952,7.025,7.046,7.154,7.214,7.54,7.599,7.742,7.918,7.979,8.046,8.118,8.186,8.236,8.293,8.417,8.47,8.498,8.584,8.631,8.65,8.751,8.798,8.91,8.929,8.958,8.999,9.126,9.157,9.271,9.377,9.41,9.478,9.507,9.529,9.549,9.605,9.646,9.765,9.784,9.866,9.901,9.924,9.979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
