0.098,0.24,0.422,0.495,0.585,0.758,0.829,1.11,1.336,1.544,1.825,1.976,2.115,2.162,2.332,2.941,3.292,3.396,3.713,4.018,4.054,4.099,4.222,4.255,4.273,4.319,4.535,4.648,4.694,4.757,4.922,5.412,5.674,5.822,6.184,6.412,6.698,6.77,6.995,7.362,7.874,8.161,8.392,8.524,8.626,8.881,9.125,9.306,9.37,9.483,9.827,9.874,9.947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.029,0.12,0.212,0.238,0.605,0.738,0.924,1.137,1.283,1.782,1.982,2.058,2.392,2.436,3.232,3.737,4.148,4.251,4.341,4.537,4.686,4.856,5.169,5.199,5.233,5.279,5.362,5.431,5.544,5.582,5.634,5.844,6.791,6.838,7.063,7.208,7.295,7.957,8.486,8.543,8.596,8.713,8.759,8.785,8.881,8.919,9.106,9.185,9.475,9.511,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.274,0.504,0.563,0.65,0.814,0.887,0.951,1.071,1.105,1.16,1.229,1.291,1.362,1.532,1.682,2.37,2.459,2.645,2.702,3.234,3.49,3.966,4.201,4.412,4.868,5.004,5.213,5.702,5.826,6.009,6.102,6.229,6.291,6.561,6.669,7.135,7.313,7.953,7.993,8.396,8.534,8.85,9.028,9.132,9.205,9.317,9.34,9.559,9.663,9.783,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.523,0.803,1.175,1.449,1.577,1.603,1.628,1.691,1.914,2.027,2.283,2.569,2.755,3.187,3.439,3.806,4.062,4.611,4.657,5.012,5.048,5.165,5.186,5.488,5.736,5.771,5.893,6.084,6.22,6.275,6.328,6.475,6.633,7.957,8.074,8.254,8.369,8.573,8.766,8.852,9.148,9.267,9.311,9.371,9.396,9.538,9.782,9.995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.25,0.309,0.39,0.435,0.771,0.891,1.037,1.299,1.726,2.203,2.277,2.366,2.591,2.627,2.761,3.442,3.459,3.662,4.018,4.204,4.338,4.44,4.566,4.899,4.948,5.711,5.833,6.212,6.953,7.272,7.318,7.621,7.704,7.981,8.215,8.504,8.704,8.745,9.088,9.205,9.308,9.61,9.748,9.834,9.888,9.988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.09,0.186,0.643,0.691,0.774,0.808,0.911,1.18,1.275,1.322,1.525,1.614,2.17,2.303,2.932,2.959,3.573,3.744,4.544,4.667,4.696,4.906,5.273,5.355,5.551,5.592,5.898,6.08,6.124,6.229,6.287,6.589,6.696,6.878,7.383,7.569,7.637,8.154,8.312,8.385,8.499,8.755,8.914,9.044,9.187,9.656,9.735,9.787,9.838,9.931,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.16,0.268,0.874,0.96,1.325,1.355,1.487,1.668,1.687,1.717,2.424,2.51,3.049,3.467,3.926,4.18,4.41,4.465,4.599,4.655,4.765,4.941,5.037,5.157,5.198,5.256,5.279,5.344,5.464,5.846,5.97,6.11,6.366,6.596,7.007,7.228,7.589,7.904,7.943,7.984,8.029,8.251,8.365,8.43,8.457,8.567,8.587,8.62,8.837,8.897,9.143,9.223,9.295,9.407,9.681,9.713,9.842,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.044,0.183,0.237,0.339,0.773,0.822,0.851,0.906,0.954,1.061,1.2,1.275,1.367,1.4,1.439,1.934,2.251,2.5,2.68,2.707,3.254,3.377,3.994,4.04,4.115,4.22,4.262,4.326,4.351,4.479,4.521,4.552,4.674,4.717,4.763,4.855,5.119,5.279,5.296,5.373,5.835,5.913,6.025,6.063,6.464,6.738,6.772,7.461,7.865,7.933,8.039,8.119,8.537,8.613,8.668,8.944,8.967,9.197,9.267,9.561,9.861,nan,nan,nan,nan,nan
0.108,0.157,0.683,0.865,1.055,1.119,1.326,1.61,1.647,1.709,1.776,1.802,1.878,2.362,2.67,2.729,2.857,2.937,3.009,3.031,3.15,4.099,4.242,4.301,4.493,4.57,4.804,4.999,5.069,5.292,5.493,5.671,5.875,5.977,6.009,6.144,6.473,6.708,6.982,7.414,7.495,7.618,7.819,8.044,8.169,8.545,9.416,9.558,9.593,9.844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.221,0.278,0.539,0.697,0.805,1.098,1.194,1.403,1.542,1.592,1.638,1.838,1.898,2.122,2.292,2.637,3.264,4.748,4.774,4.903,5.17,5.305,5.447,5.602,5.639,6.028,6.275,7.014,7.333,7.946,8.032,8.3,8.502,8.551,8.605,8.622,8.683,8.86,9.116,9.211,9.303,9.372,9.503,9.596,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.195,0.3,0.434,0.755,0.795,0.922,0.979,1.051,1.142,1.204,1.385,1.73,1.761,1.833,2.06,2.124,2.6,3.146,3.407,3.478,3.809,4.105,4.189,4.348,4.449,4.574,4.822,4.903,5.001,5.139,5.154,5.198,5.451,5.68,5.758,5.893,6.06,7.034,7.658,7.78,7.919,8.254,8.368,8.416,8.993,9.114,9.298,9.378,9.421,9.47,9.564,9.792,9.898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.124,0.186,0.614,0.671,0.924,1.011,1.473,1.504,1.585,1.608,1.94,2.013,2.87,2.952,3.524,3.843,4.207,4.247,4.494,4.517,4.576,4.687,4.735,4.794,4.847,4.955,5.105,5.234,5.384,5.637,5.703,6.34,6.592,6.978,7.114,7.405,7.509,7.607,7.945,8.64,8.752,8.768,8.923,8.969,9.298,9.561,9.616,9.653,9.703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.166,0.378,0.514,0.69,0.765,0.839,0.905,0.958,1.018,1.094,1.235,1.599,2.065,2.181,2.273,2.541,2.657,2.954,3.099,4.099,4.4,4.545,4.577,4.633,4.676,4.753,4.983,5.152,5.297,5.34,5.455,5.57,5.834,5.99,6.014,6.23,6.315,6.346,6.592,6.68,6.958,7.77,7.949,8.032,8.093,8.436,8.592,8.725,8.874,8.987,9.075,9.136,9.211,9.343,9.447,9.632,9.952,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.098,0.165,0.225,0.269,0.545,0.591,0.701,0.786,0.979,1.024,1.077,1.224,1.372,1.452,1.483,1.687,1.749,1.822,1.901,2.079,2.239,2.357,2.431,2.855,2.927,3.016,3.498,3.737,3.986,4.271,4.341,4.399,4.57,4.586,4.642,4.821,4.913,4.942,5.044,5.165,5.274,5.612,5.686,5.762,5.928,7.25,8.066,8.322,8.575,8.637,8.986,9.029,9.183,9.336,9.405,9.572,9.78,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.297,1.087,1.206,1.253,1.466,1.649,1.805,1.849,1.963,2.0,2.398,2.478,2.94,3.052,3.349,3.565,3.957,4.303,4.338,4.59,4.894,4.989,5.005,5.239,5.328,5.406,5.445,5.488,5.704,5.789,5.841,6.102,7.189,7.46,7.987,8.116,8.444,8.55,8.887,9.181,9.281,9.388,9.451,9.482,9.531,9.764,9.8,9.872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.326,0.55,0.66,0.693,0.719,0.813,1.024,1.108,1.269,1.59,1.609,2.058,2.446,2.516,2.783,3.076,3.131,3.335,3.368,3.848,3.924,4.012,4.044,4.41,4.634,4.713,4.767,4.929,4.956,4.983,5.019,5.247,5.424,5.507,5.612,5.636,5.737,5.897,5.978,6.456,6.761,6.838,7.596,7.806,8.107,8.139,8.393,8.507,8.567,8.76,9.257,9.494,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.048,0.304,0.363,0.601,1.723,1.872,2.137,2.691,2.723,2.824,2.929,3.09,3.165,3.444,3.517,3.618,3.723,3.753,3.854,4.421,4.491,4.598,4.662,4.738,4.762,4.796,4.866,5.004,5.133,5.239,5.271,5.308,5.557,5.664,5.687,5.833,5.912,6.135,6.493,6.614,6.642,6.755,7.22,7.728,7.813,7.983,8.174,8.522,8.714,9.017,9.09,9.212,9.386,9.659,9.793,9.879,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.291,0.568,0.596,0.626,0.655,1.153,1.244,1.27,1.348,1.489,1.535,1.758,2.214,2.421,2.529,2.621,2.93,3.358,3.432,3.758,4.214,4.317,4.573,4.72,4.805,4.852,5.027,5.046,5.083,5.199,5.507,6.091,6.643,7.157,7.182,7.684,7.85,8.286,8.354,8.447,8.496,8.596,8.784,8.925,8.965,9.05,9.192,9.233,9.504,9.587,9.703,9.727,9.96,9.995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.096,0.259,0.327,0.35,0.485,0.746,0.967,1.125,1.375,1.673,1.762,2.272,2.935,3.107,4.077,4.825,5.044,5.088,5.293,5.416,5.444,5.711,5.906,5.977,6.128,6.236,7.011,7.542,7.796,7.849,8.226,8.46,8.56,8.601,8.839,8.99,9.236,9.372,9.496,9.774,9.936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.04,0.148,0.273,0.384,0.407,0.56,0.652,0.844,0.973,1.031,1.136,1.177,1.213,1.322,1.615,1.901,2.605,2.776,3.272,3.439,3.724,3.844,4.03,4.183,4.272,4.52,4.583,4.613,4.803,5.07,5.386,5.497,5.56,5.656,5.773,5.922,5.984,6.093,6.123,6.695,6.754,6.928,6.992,7.405,7.523,7.626,7.737,7.764,7.801,7.831,8.503,8.612,8.905,9.075,9.223,9.272,9.378,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.151,0.359,0.43,0.559,0.611,0.652,0.78,0.852,1.158,1.24,1.257,1.551,1.728,1.794,1.829,1.912,2.007,2.099,2.552,2.71,2.731,2.981,3.738,4.149,4.22,4.448,4.532,4.686,4.912,5.019,5.254,5.336,5.399,5.458,5.705,5.773,5.838,5.952,6.001,6.064,6.717,6.848,7.459,7.509,7.735,8.192,8.286,8.5,8.58,8.652,8.791,8.987,9.124,9.354,9.445,9.822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
