0.235,0.369,0.517,0.683,0.704,0.824,0.959,1.122,1.144,1.675,1.809,1.948,2.131,2.322,2.809,3.682,4.006,4.406,4.435,4.5,4.694,4.866,5.145,5.264,5.378,5.485,5.52,5.757,5.96,6.251,6.457,6.676,7.104,7.176,7.371,7.399,7.488,7.808,7.871,8.122,8.202,8.319,8.358,8.472,8.511,8.577,8.923,8.974,9.002,9.133,9.215,9.348,9.376,9.563,9.742,9.882,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.159,0.693,1.046,1.442,1.955,2.037,2.07,2.353,2.52,2.618,2.688,2.736,2.939,3.376,3.781,3.942,4.107,4.162,4.219,4.269,4.592,4.748,4.978,5.038,5.093,5.43,5.58,5.627,5.79,5.966,6.022,6.111,6.86,7.235,7.436,7.601,7.74,7.801,7.885,8.229,8.397,8.554,8.615,8.732,9.353,9.496,9.517,9.613,9.683,9.839,9.885,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.09,0.217,0.299,0.37,0.651,0.865,1.061,1.138,1.201,1.447,1.577,1.607,2.123,2.331,2.541,2.819,3.269,3.854,4.028,4.24,4.551,4.618,4.79,4.868,4.908,5.131,5.2,5.444,5.533,5.746,5.863,5.911,5.952,6.006,6.078,7.008,7.438,7.465,7.877,7.967,8.242,8.502,8.825,8.847,8.902,9.116,9.503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065,0.148,0.232,0.487,0.716,1.278,1.304,1.386,1.696,1.811,1.871,1.906,2.005,2.271,2.342,2.53,2.603,3.0,3.574,3.791,3.901,4.177,4.291,4.375,4.52,4.848,4.976,5.059,5.157,5.858,5.894,5.922,6.448,6.531,6.568,7.872,7.979,8.053,8.111,8.445,8.552,8.775,8.836,9.103,9.226,9.665,9.904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.256,0.283,0.378,0.44,0.48,0.682,0.777,0.933,1.0,1.047,1.098,1.271,1.432,1.499,1.809,2.194,3.017,3.054,3.135,3.809,3.915,4.308,4.432,4.846,4.957,5.131,6.337,6.545,7.102,7.293,7.575,7.689,7.787,7.83,7.986,8.331,8.438,8.48,8.571,8.737,8.815,8.948,9.115,9.458,9.766,9.821,9.929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.122,0.542,0.639,0.675,0.71,0.964,1.362,1.599,1.648,1.948,2.062,2.15,2.25,2.479,3.007,3.153,4.027,4.065,4.116,4.243,4.398,4.482,4.616,4.658,4.768,4.859,5.001,5.19,5.552,5.591,5.868,6.192,6.233,6.523,6.671,7.583,7.766,7.846,8.254,8.504,8.672,8.717,9.181,9.283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.135,0.484,0.592,0.767,0.916,1.01,1.074,1.371,1.404,1.522,1.738,1.893,1.955,1.994,2.23,2.344,2.632,2.849,3.018,3.163,3.259,3.422,3.576,3.982,4.847,4.873,4.971,5.132,5.584,5.611,5.976,6.302,6.524,7.505,7.94,8.092,8.314,8.493,8.614,8.881,8.906,9.076,9.266,9.41,9.476,9.531,9.738,9.809,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.279,0.323,0.384,0.653,0.768,0.86,1.487,1.624,1.711,1.94,2.03,2.203,2.373,2.411,2.682,3.292,3.47,3.759,3.862,3.976,4.188,4.443,4.901,5.306,5.619,5.807,5.854,5.925,6.123,6.454,7.103,7.547,8.106,8.18,8.37,8.482,8.538,8.616,8.762,8.947,9.021,9.354,9.519,9.609,9.972,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.095,0.182,0.58,0.706,0.774,0.888,1.061,1.1,1.184,1.206,1.63,1.749,1.951,1.99,2.182,2.327,2.386,2.443,2.93,3.108,3.583,3.948,3.975,4.052,4.324,4.397,4.445,4.505,4.532,4.574,4.613,4.824,4.959,5.185,5.287,5.633,5.658,5.686,5.748,6.05,6.228,6.666,6.965,7.567,7.667,7.87,8.016,8.037,8.366,8.592,8.673,9.025,9.091,9.273,9.441,9.501,9.544,9.733,9.859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.35,0.78,0.866,0.899,0.96,1.022,1.076,1.429,1.469,1.587,1.644,1.695,1.892,2.117,2.466,3.01,3.083,3.224,3.271,3.505,4.092,4.557,4.828,4.86,4.883,5.08,5.17,5.617,5.653,5.939,6.725,7.788,7.844,7.997,8.106,8.353,8.487,8.578,8.669,8.733,8.854,8.913,9.066,9.103,9.179,9.216,9.322,9.646,9.816,9.914,9.985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.117,0.152,0.3,0.512,0.615,0.746,1.37,1.619,1.66,1.886,1.961,2.26,2.415,2.605,2.729,2.767,2.908,2.969,3.291,4.119,4.268,4.305,4.498,4.532,4.705,4.748,4.951,4.993,5.31,5.541,5.741,5.909,6.106,6.45,7.418,7.457,7.559,7.983,8.377,8.423,8.464,8.637,8.825,8.933,8.999,9.423,9.538,9.588,9.669,9.704,9.847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.072,0.193,0.351,0.565,0.678,0.907,1.568,1.6,1.869,2.048,2.143,2.293,2.342,2.703,3.246,3.482,3.888,3.934,4.16,4.252,4.706,4.942,5.06,5.281,5.486,5.679,6.007,6.172,6.252,6.279,6.829,7.538,7.596,7.769,7.825,7.911,8.127,8.371,8.536,8.684,8.714,8.894,9.047,9.193,9.314,9.377,9.808,9.857,9.918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.16,0.235,0.78,0.817,0.852,0.924,0.958,1.188,1.242,1.256,1.773,2.234,2.49,3.036,3.898,4.102,4.493,4.608,4.728,4.83,4.933,4.956,5.009,5.051,5.147,5.348,5.403,5.47,5.594,5.686,5.751,5.806,5.851,5.941,6.226,6.254,6.694,6.993,7.078,7.174,7.457,7.788,8.132,8.165,8.259,8.428,8.761,9.28,9.944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.218,0.644,0.733,0.767,0.803,0.837,1.014,1.329,1.433,1.457,1.523,1.669,1.727,1.803,1.88,2.179,2.344,2.495,2.665,2.942,3.031,3.209,3.391,3.736,3.927,3.983,4.476,4.638,4.941,4.987,5.073,5.266,5.369,5.392,6.02,6.285,6.848,7.069,7.085,7.486,7.887,7.928,7.984,8.134,8.181,8.332,8.892,9.006,9.037,9.111,9.221,9.364,9.58,9.803,9.932,9.992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.126,0.229,0.299,0.548,0.942,1.122,1.193,1.259,1.309,1.357,1.458,1.478,1.512,1.639,1.849,1.9,2.035,2.513,3.323,3.761,3.974,4.03,4.114,4.311,4.362,4.525,4.549,4.61,4.789,5.168,5.274,5.571,5.996,6.084,6.13,6.267,6.69,6.977,7.2,7.605,7.819,8.279,8.349,8.474,8.827,9.024,9.065,9.155,9.449,9.471,9.692,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.156,0.516,0.734,1.021,1.044,1.078,1.336,1.54,1.644,1.711,2.025,2.083,2.351,2.584,3.03,3.181,3.364,3.616,3.651,3.764,3.871,4.05,4.145,4.239,4.51,4.608,4.683,4.806,5.191,5.311,5.36,5.44,5.486,5.555,6.251,6.489,6.651,7.766,7.994,8.246,8.451,8.705,8.995,9.207,9.377,9.395,9.47,9.625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.098,0.249,0.428,0.563,0.868,0.948,1.106,1.18,1.216,1.369,1.598,1.651,1.805,1.848,2.397,2.426,2.566,2.893,3.306,3.373,3.433,3.576,3.626,3.819,4.05,4.523,4.563,4.708,4.931,5.091,5.231,5.407,5.508,5.686,5.808,5.872,6.147,6.279,6.514,6.717,6.833,6.948,6.971,7.149,7.451,7.594,7.632,7.961,7.996,8.044,8.084,8.352,8.584,8.843,8.94,8.986,9.19,9.442,9.672,9.707,9.92,nan,nan,nan,nan,nan,nan,nan,nan
