0.179,0.295,0.417,0.599,0.924,1.218,1.574,1.798,2.007,2.046,2.181,2.241,2.977,3.11,3.275,3.361,3.583,3.65,3.841,3.951,4.151,5.079,5.332,5.895,5.945,5.993,6.125,6.429,6.574,6.597,6.75,6.853,7.095,7.173,7.206,7.343,7.684,8.095,8.13,8.639,9.02,9.146,9.324,9.539,9.73,9.789,9.829,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.066,0.136,0.652,0.8,0.845,0.869,0.957,1.04,1.125,1.246,1.355,1.584,1.697,1.991,2.094,2.381,2.446,2.489,3.11,3.153,3.3,3.331,4.05,4.136,4.35,4.534,4.622,4.874,5.135,5.198,5.226,5.442,5.623,5.69,5.882,5.946,6.127,6.408,6.516,6.55,6.586,6.629,6.785,6.87,7.005,7.106,7.19,7.221,7.73,7.844,7.903,8.016,8.225,8.569,8.667,8.916,9.024,9.349,9.647,9.757,9.856,nan,nan
1.352,2.037,2.541,2.79,3.046,3.252,3.316,3.386,3.834,4.0,4.171,4.276,4.35,4.471,4.688,5.022,5.263,5.381,5.88,5.905,6.212,6.453,6.578,6.711,6.838,6.927,7.057,7.136,7.216,7.297,7.724,8.339,8.819,8.913,9.171,9.279,9.326,9.457,9.612,9.935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.081,0.155,0.274,0.325,0.387,0.475,0.547,0.677,0.74,1.105,1.162,1.532,1.61,2.105,2.647,2.683,2.895,3.092,3.111,3.21,3.526,3.584,3.87,3.964,4.203,4.236,4.269,4.339,4.464,4.856,4.98,5.085,5.232,5.329,5.367,5.484,5.676,5.919,5.981,6.265,6.332,6.65,6.698,6.926,7.333,7.442,7.527,7.573,7.719,7.91,8.108,8.239,8.441,8.544,8.664,9.204,9.316,9.477,9.649,9.747,9.788,9.918,nan
0.627,0.825,0.882,0.949,1.049,1.088,1.733,2.062,2.125,2.148,2.176,2.26,2.394,2.502,2.682,2.811,2.939,3.13,3.185,3.39,3.49,3.567,4.172,4.416,4.525,4.666,4.812,5.031,5.102,5.26,5.338,5.464,5.49,5.801,6.158,6.197,6.294,6.784,6.862,7.075,7.218,7.337,7.434,7.512,7.678,7.73,7.921,8.469,8.506,8.987,9.165,9.257,9.285,9.411,9.661,9.99,nan,nan,nan,nan,nan,nan,nan
0.145,0.181,0.277,0.308,0.858,1.365,1.411,1.558,1.916,2.13,2.239,2.533,2.88,2.931,3.485,3.721,3.997,4.043,4.076,4.115,4.181,4.269,4.353,4.549,5.176,5.234,5.358,5.4,5.453,5.726,5.899,5.96,6.081,6.484,6.618,6.661,6.817,7.154,7.694,7.759,8.185,8.29,8.444,8.582,9.041,9.229,9.334,9.461,9.531,9.739,9.842,9.936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.062,0.08,0.168,0.328,0.451,0.59,0.979,1.186,1.268,1.29,1.353,2.611,3.215,3.271,3.388,3.501,3.554,3.638,3.76,3.863,3.885,4.687,4.723,4.904,5.103,5.313,5.65,6.041,6.202,6.415,6.498,6.68,6.793,7.016,7.039,7.096,7.359,7.386,7.996,8.093,8.14,8.308,8.624,8.721,9.284,9.323,9.364,9.387,9.761,9.802,9.958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.074,0.202,0.337,0.387,0.456,0.804,0.976,1.107,1.266,1.38,1.642,1.82,1.872,2.219,2.365,2.989,3.614,3.873,4.047,4.163,4.357,4.665,5.209,5.239,5.527,5.64,5.659,5.85,6.165,6.213,6.276,6.306,6.828,7.031,7.209,8.046,8.102,8.263,8.339,8.823,8.885,8.928,9.038,9.149,9.207,9.35,9.637,9.807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.278,0.41,0.589,0.776,0.965,1.368,1.511,1.744,1.944,2.247,2.53,3.048,3.1,3.542,3.58,4.129,4.404,5.016,5.1,5.184,5.373,5.469,5.761,5.851,5.898,6.197,6.232,6.39,6.461,6.693,6.886,6.946,6.975,7.094,7.287,7.401,7.768,7.892,8.035,8.103,8.423,8.55,9.17,9.281,9.421,9.672,9.704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.05,0.28,0.402,0.647,0.69,0.803,1.076,1.185,1.254,1.322,1.641,1.779,2.344,2.524,2.585,2.605,2.806,2.919,2.988,3.534,3.832,3.965,4.054,4.178,4.819,5.199,5.369,5.412,5.686,5.762,5.988,6.105,6.203,6.492,6.627,6.818,7.002,7.122,7.468,7.541,7.855,7.983,8.206,8.231,8.415,8.437,8.502,8.643,8.713,8.885,9.469,9.607,9.632,9.892,9.927,nan,nan,nan,nan,nan,nan,nan,nan
