0.307,0.487,0.617,0.684,0.826,1.152,1.293,1.51,1.568,1.622,1.832,1.868,2.051,2.171,2.201,2.272,2.627,2.681,2.809,2.959,3.103,3.195,3.323,3.626,3.996,4.291,4.769,4.839,4.873,4.931,5.027,5.27,5.32,5.705,5.778,5.953,6.165,6.281,6.799,7.345,7.662,7.906,9.043,9.426,9.582,9.719,9.81,9.928,9.961,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.207,0.39,0.473,0.646,1.03,1.101,1.477,1.558,2.0,2.272,2.47,2.606,3.131,3.16,3.178,3.393,3.492,3.651,3.682,3.813,3.926,4.398,5.112,5.545,5.714,5.904,5.973,6.013,6.069,6.384,6.55,7.109,7.865,8.228,8.29,8.425,8.548,8.658,9.372,9.502,9.605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.087,0.202,0.319,0.352,0.478,0.577,0.675,0.928,1.504,1.533,1.672,2.269,2.433,2.648,3.096,3.245,3.291,3.329,3.668,3.921,3.944,4.522,4.919,4.965,5.012,5.273,5.325,5.37,5.604,5.709,6.282,6.601,6.862,7.142,7.305,7.399,7.46,8.091,8.343,8.445,8.899,9.387,9.525,9.673,9.742,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.119,0.293,0.631,0.725,0.879,1.033,1.085,1.19,1.281,1.52,1.598,1.624,1.842,2.07,2.104,2.762,2.877,3.103,4.167,4.327,4.485,4.524,4.549,4.625,4.737,4.9,5.34,5.582,5.67,5.877,6.349,6.506,6.682,6.71,6.761,6.808,7.3,7.48,7.53,7.56,7.957,8.028,8.093,8.126,8.217,8.332,8.554,8.584,8.691,8.843,9.028,9.402,9.499,9.63,9.744,9.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.505,0.557,0.745,0.851,0.921,1.09,1.156,1.827,2.103,2.178,2.312,2.443,2.503,2.704,2.846,3.039,3.086,3.374,3.44,3.494,3.775,4.043,4.08,4.173,4.756,4.879,4.951,4.978,5.295,5.797,5.903,6.532,6.702,6.824,6.876,6.984,7.102,7.17,7.46,7.617,7.682,7.821,8.098,8.394,8.694,8.723,8.815,8.882,8.93,9.573,9.664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.171,0.297,0.346,0.403,0.491,0.965,1.129,1.356,1.381,1.492,1.681,1.959,2.029,2.468,2.511,2.546,2.814,2.838,2.885,2.982,3.426,3.602,3.695,3.748,3.948,3.973,4.023,4.097,4.16,4.398,4.418,4.659,4.839,4.898,4.915,5.194,5.68,6.04,6.087,6.227,6.273,6.329,6.443,6.49,6.56,6.661,6.918,7.01,7.069,7.263,7.347,7.525,7.631,7.697,7.882,7.937,8.06,8.123,8.402,8.49,8.716,8.954,9.036,9.319,9.532,9.557
0.048,0.112,0.135,0.72,0.756,0.837,1.16,1.189,1.539,1.84,2.247,2.338,2.399,2.531,2.61,2.888,3.014,3.093,3.207,3.346,3.481,3.549,3.648,3.735,3.939,4.102,4.164,4.379,4.529,4.983,5.044,5.121,5.955,5.994,6.169,6.212,6.476,6.902,7.149,7.24,7.316,7.38,7.539,7.583,7.699,7.913,8.052,8.177,8.265,8.404,8.82,8.866,9.382,9.43,9.483,9.779,9.865,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.031,0.357,0.905,1.535,1.662,1.766,1.841,2.377,3.236,3.334,3.427,3.466,3.659,3.823,3.864,4.387,4.412,4.493,4.537,4.575,4.71,4.832,4.89,4.971,5.067,5.193,5.236,5.271,5.309,5.693,5.917,5.953,6.133,6.667,6.703,6.952,7.08,7.257,7.5,8.135,8.357,8.423,8.74,8.816,8.929,9.053,9.211,9.342,9.845,9.924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.147,0.348,0.413,0.774,0.914,1.137,1.385,1.582,2.175,2.207,2.406,2.474,3.11,3.214,3.373,3.545,3.587,3.757,4.256,4.346,4.82,4.856,4.889,4.996,5.087,5.284,5.381,5.88,6.033,6.334,6.461,6.513,7.001,7.248,7.337,7.441,7.483,7.588,7.696,7.746,7.884,8.067,8.172,8.432,8.658,8.827,8.962,9.088,9.483,9.564,9.625,9.703,9.888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.603,0.679,0.74,0.81,0.897,1.045,1.168,1.255,1.896,2.018,2.077,2.125,2.205,2.569,2.654,2.781,2.877,2.977,3.702,3.969,4.061,4.268,4.677,5.21,5.258,5.557,5.802,5.858,6.459,6.787,7.007,7.312,7.447,7.526,7.568,7.597,7.717,7.836,7.899,8.499,8.628,8.652,8.926,9.057,9.154,9.21,9.395,9.777,9.899,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.072,0.659,0.774,0.917,0.962,1.205,1.37,1.45,1.523,1.644,1.718,1.895,2.712,2.821,2.883,3.12,3.153,3.723,3.901,4.233,4.479,4.625,4.667,4.769,5.283,5.351,5.534,5.658,5.743,5.955,6.01,6.124,6.149,6.456,6.889,7.005,7.087,7.219,7.307,7.458,7.529,7.636,7.88,7.923,8.026,8.327,8.53,8.819,9.19,9.343,9.37,9.488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.063,0.178,0.255,0.424,0.617,0.67,0.804,1.128,1.522,1.765,2.05,2.175,2.619,2.865,2.899,3.251,4.015,4.352,4.429,4.484,4.642,4.762,4.823,4.93,5.275,5.317,5.644,5.792,6.463,6.647,6.747,7.034,7.086,7.328,7.408,7.465,7.527,7.715,8.056,8.422,8.504,9.131,9.325,9.463,9.665,9.873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.054,0.099,0.228,0.319,0.613,0.663,0.823,0.972,1.389,1.443,1.667,1.702,1.868,2.091,2.582,2.825,2.975,3.201,3.227,3.282,3.316,3.543,3.781,4.011,4.269,4.387,4.634,4.683,4.956,5.35,5.651,5.678,5.832,6.305,6.687,6.785,7.075,7.225,7.286,7.428,7.502,7.567,8.064,8.122,8.206,8.471,8.512,8.611,8.686,8.989,9.053,9.313,9.366,9.457,9.77,9.838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.319,0.681,0.822,0.932,0.964,1.038,1.318,1.486,1.787,1.806,1.897,2.12,2.511,3.155,3.209,3.242,3.332,3.617,4.229,4.622,4.659,4.822,5.004,5.256,5.553,5.594,5.979,6.412,6.489,6.561,6.668,6.897,7.013,7.14,7.186,7.33,7.638,7.779,8.036,8.26,8.404,8.527,8.586,9.255,9.363,9.779,9.89,9.947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
