0.125,0.188,0.247,0.295,0.358,0.415,0.463,0.537,0.559,0.651,0.7,0.751,0.815,0.852,0.9,0.926,1.03,1.046,1.103,1.27,1.383,1.411,1.427,1.56,1.659,1.736,1.841,1.892,1.962,2.053,2.182,2.218,2.456,2.49,2.513,2.599,2.676,2.73,2.754,2.783,2.803,3.013,3.135,3.166,3.273,3.334,3.396,3.457,3.497,3.537,3.572,3.616,3.642,3.698,3.742,3.76,3.819,3.921,3.957,4.016,4.033,4.061,4.195,4.25,4.292,4.334,4.351,4.374,4.4,4.492,4.568,4.621,4.762,4.792,4.937,4.986,5.051,5.094,5.162,5.216,5.252,5.301,5.332,5.464,5.516,5.608,5.676,5.7,5.72,5.8,5.818,5.882,5.924,6.058,6.122,6.309,6.33,6.367,6.395,6.437,6.521,6.576,6.619,6.657,6.689,6.963,6.987,7.062,7.161,7.211,7.313,7.359,7.44,7.458,7.498,7.608,7.691,7.716,7.958,8.011,8.046,8.122,8.136,8.216,8.272,8.424,8.448,8.517,8.593,8.61,8.704,8.754,8.768,8.789,8.822,8.855,8.875,8.927,8.964,9.049,9.115,9.174,9.227,9.257,9.276,9.326,9.455,9.492,9.581,9.595,9.71,9.77,9.803,9.838,9.91,9.98
0.041,0.115,0.166,0.205,0.415,0.47,0.501,0.532,0.571,0.63,0.672,0.72,0.817,1.217,1.332,1.485,1.568,1.66,1.734,1.766,1.815,2.005,2.069,2.107,2.162,2.207,2.223,2.307,2.322,2.423,2.453,2.502,2.618,2.666,2.733,2.791,2.812,2.893,2.988,3.078,3.162,3.193,3.299,3.394,3.495,3.523,3.548,3.594,3.625,3.648,3.695,3.748,3.789,3.816,3.956,3.985,4.042,4.124,4.149,4.203,4.26,4.296,4.323,4.351,4.457,4.537,4.691,5.124,5.165,5.206,5.276,5.34,5.374,5.391,5.491,5.545,5.577,5.602,5.686,5.755,5.82,5.935,5.988,6.088,6.137,6.235,6.316,6.37,6.391,6.5,6.635,6.687,6.803,6.856,6.953,6.983,7.144,7.306,7.324,7.379,7.404,7.549,7.668,7.856,7.892,7.936,8.068,8.117,8.153,8.303,8.409,8.43,8.493,8.531,8.557,8.615,8.638,8.762,8.793,8.892,8.967,9.129,9.163,9.211,9.24,9.266,9.356,9.439,9.472,9.677,9.723,9.738,9.772,9.845,9.901,9.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.025,0.151,0.182,0.215,0.332,0.356,0.382,0.418,0.464,0.544,0.716,0.852,0.88,0.916,1.01,1.037,1.081,1.118,1.266,1.307,1.366,1.422,1.466,1.534,1.575,1.686,1.723,1.811,1.989,2.116,2.15,2.349,2.377,2.423,2.449,2.47,2.538,2.575,2.611,2.644,2.754,2.881,2.991,3.093,3.124,3.142,3.163,3.266,3.295,3.372,3.4,3.44,3.532,3.589,3.645,3.746,3.813,3.867,3.894,3.946,4.002,4.134,4.169,4.22,4.433,4.454,4.511,4.708,4.81,4.955,5.186,5.223,5.301,5.378,5.427,5.458,5.616,5.689,5.788,5.837,5.97,6.023,6.09,6.135,6.204,6.222,6.313,6.348,6.445,6.502,6.537,6.562,6.622,6.648,6.676,6.704,6.767,6.793,6.859,6.92,7.208,7.321,7.411,7.454,7.477,7.515,7.561,7.593,7.611,7.633,7.761,7.846,7.899,7.947,7.987,8.054,8.071,8.182,8.276,8.336,8.451,8.558,8.619,8.649,8.758,8.82,8.856,8.883,8.906,9.214,9.279,9.305,9.327,9.369,9.392,9.422,9.476,9.516,9.632,9.686,9.862,9.916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.067,0.143,0.186,0.225,0.31,0.371,0.47,0.541,0.648,0.701,0.774,0.852,0.895,0.959,1.01,1.069,1.162,1.471,1.538,1.591,1.632,1.702,1.805,1.972,2.039,2.104,2.142,2.218,2.311,2.349,2.374,2.439,2.458,2.533,2.616,2.753,2.82,2.84,3.006,3.088,3.176,3.209,3.484,3.526,3.56,3.589,3.657,3.697,3.766,3.834,3.862,3.888,3.917,4.027,4.059,4.116,4.151,4.184,4.215,4.235,4.284,4.314,4.429,4.509,4.562,4.587,4.63,4.668,4.686,4.701,4.799,4.882,4.951,5.021,5.133,5.151,5.31,5.357,5.394,5.43,5.447,5.474,5.532,5.624,5.674,5.777,5.854,5.883,5.917,6.006,6.031,6.246,6.283,6.34,6.503,6.532,6.678,6.715,6.768,6.807,6.847,6.947,7.013,7.115,7.155,7.292,7.308,7.36,7.457,7.561,7.68,7.75,7.804,7.838,7.901,7.963,8.012,8.056,8.137,8.179,8.255,8.351,8.378,8.568,8.632,8.821,8.971,9.023,9.076,9.12,9.16,9.173,9.288,9.321,9.454,9.596,9.662,9.854,9.915,9.944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.174,0.211,0.25,0.293,0.344,0.386,0.428,0.464,0.655,0.678,0.706,0.881,0.971,1.044,1.312,1.409,1.568,1.62,1.647,1.717,1.763,1.823,1.937,2.071,2.147,2.27,2.317,2.34,2.368,2.434,2.495,2.525,2.583,2.72,2.755,2.81,2.932,2.976,3.034,3.067,3.101,3.178,3.272,3.366,3.39,3.48,3.561,3.576,3.595,3.736,3.759,3.859,3.908,3.982,4.041,4.073,4.105,4.135,4.189,4.235,4.293,4.329,4.368,4.386,4.467,4.507,4.538,4.606,4.791,4.892,4.932,5.013,5.03,5.079,5.129,5.228,5.341,5.375,5.43,5.483,5.521,5.552,5.752,5.77,5.798,5.828,5.925,5.967,6.026,6.2,6.376,6.469,6.489,6.556,6.635,6.653,6.718,6.791,6.813,6.925,6.96,6.988,7.042,7.077,7.165,7.274,7.328,7.463,7.514,7.544,7.572,7.602,7.634,7.672,7.743,7.794,7.873,8.014,8.048,8.133,8.152,8.188,8.263,8.463,8.564,8.737,8.808,8.929,8.987,9.061,9.089,9.137,9.189,9.227,9.254,9.331,9.446,9.495,9.562,9.641,9.682,9.71,9.774,9.862,9.914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.023,0.102,0.125,0.218,0.27,0.304,0.372,0.407,0.47,0.562,0.635,0.724,0.742,0.903,0.921,1.015,1.075,1.334,1.479,1.511,1.583,1.877,1.939,1.971,2.003,2.077,2.087,2.176,2.238,2.306,2.399,2.515,2.667,2.687,2.717,2.757,2.814,2.843,2.895,2.96,3.097,3.125,3.183,3.221,3.261,3.297,3.312,3.352,3.386,3.477,3.507,3.683,3.729,3.784,3.811,3.97,4.004,4.121,4.233,4.353,4.437,4.456,4.51,4.601,4.666,4.697,4.746,4.78,4.8,4.871,4.886,5.025,5.116,5.194,5.214,5.269,5.325,5.378,5.435,5.476,5.568,5.601,5.7,5.83,5.862,5.929,6.057,6.075,6.163,6.21,6.263,6.433,6.506,6.553,6.614,6.672,6.719,6.777,6.986,7.065,7.087,7.142,7.311,7.418,7.453,7.493,7.703,7.779,7.967,8.007,8.06,8.093,8.202,8.23,8.33,8.413,8.468,8.596,8.669,8.685,8.712,8.767,8.787,8.92,8.952,9.022,9.157,9.206,9.283,9.299,9.33,9.381,9.43,9.464,9.486,9.548,9.642,9.68,9.726,9.777,9.876,9.948,9.975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.229,0.359,0.542,0.581,0.706,0.792,0.844,0.891,0.957,0.984,1.092,1.202,1.253,1.373,1.461,1.552,1.664,1.699,1.804,1.815,1.88,2.075,2.12,2.167,2.273,2.297,2.333,2.517,2.572,2.636,2.767,2.828,2.844,2.886,2.902,2.983,3.006,3.207,3.24,3.274,3.361,3.416,3.496,3.551,3.619,3.73,3.768,3.949,4.075,4.099,4.136,4.204,4.229,4.256,4.288,4.393,4.518,4.537,4.572,4.611,4.786,4.834,4.926,5.075,5.098,5.158,5.229,5.318,5.416,5.448,5.488,5.523,5.563,5.646,5.78,5.816,5.931,5.952,5.978,6.0,6.044,6.11,6.206,6.322,6.366,6.441,6.485,6.507,6.548,6.59,6.662,6.806,6.836,6.883,6.922,7.255,7.419,7.498,7.628,7.666,7.733,7.824,7.867,7.939,8.0,8.108,8.198,8.272,8.351,8.393,8.428,8.458,8.675,8.703,8.837,8.96,9.051,9.088,9.273,9.318,9.389,9.451,9.513,9.548,9.632,9.741,9.867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.073,0.102,0.211,0.314,0.547,0.564,0.644,0.668,0.736,0.782,0.92,1.015,1.035,1.106,1.135,1.182,1.207,1.233,1.264,1.305,1.4,1.548,1.625,1.651,1.705,1.74,1.865,2.002,2.065,2.154,2.174,2.313,2.361,2.398,2.493,2.519,2.556,2.585,2.659,2.753,2.773,2.87,2.903,3.017,3.054,3.136,3.237,3.257,3.42,3.46,3.498,3.576,3.649,3.671,3.776,3.811,3.845,3.998,4.032,4.075,4.225,4.282,4.318,4.36,4.403,4.435,4.449,4.558,4.597,4.645,4.688,4.806,5.005,5.029,5.086,5.168,5.213,5.238,5.372,5.407,5.45,5.475,5.527,5.591,5.619,5.704,5.985,6.081,6.108,6.172,6.235,6.452,6.495,6.578,6.637,6.694,6.75,6.781,6.855,6.896,7.166,7.391,7.447,7.522,7.695,7.737,7.866,7.926,7.96,8.017,8.183,8.247,8.281,8.311,8.508,8.542,8.599,8.745,8.81,8.878,8.905,9.005,9.109,9.318,9.394,9.418,9.475,9.524,9.561,9.632,9.682,9.746,9.829,9.888,9.966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.035,0.115,0.143,0.261,0.319,0.345,0.403,0.426,0.473,0.558,0.704,0.858,0.932,0.952,0.976,1.109,1.153,1.175,1.217,1.433,1.646,1.69,1.744,1.799,1.823,1.845,1.871,2.022,2.095,2.239,2.264,2.325,2.373,2.406,2.473,2.533,2.59,2.725,2.926,2.999,3.239,3.278,3.316,3.353,3.469,3.53,3.556,3.624,3.708,3.772,3.857,3.868,4.051,4.115,4.166,4.192,4.227,4.268,4.354,4.373,4.468,4.522,4.538,4.616,4.677,4.839,4.875,4.907,4.933,5.017,5.051,5.114,5.149,5.164,5.208,5.286,5.316,5.351,5.397,5.547,5.598,5.642,5.677,5.721,5.8,5.954,5.985,6.058,6.085,6.144,6.168,6.22,6.255,6.305,6.346,6.377,6.417,6.55,6.599,6.636,6.696,6.777,6.85,7.039,7.064,7.173,7.233,7.374,7.451,7.48,7.61,7.639,7.672,7.71,7.738,7.795,7.841,7.897,8.021,8.066,8.105,8.194,8.242,8.308,8.359,8.418,8.599,8.677,8.751,8.776,8.847,8.914,9.027,9.075,9.123,9.148,9.245,9.282,9.376,9.517,9.55,9.582,9.607,9.647,9.659,9.691,9.717,9.893,9.954,nan,nan,nan,nan,nan,nan,nan
0.039,0.251,0.333,0.447,0.509,0.541,0.567,0.596,0.655,0.771,0.954,0.981,0.999,1.142,1.209,1.228,1.31,1.331,1.418,1.447,1.471,1.522,1.549,1.691,1.724,1.75,1.801,2.047,2.116,2.158,2.194,2.322,2.477,2.532,2.609,2.684,2.721,2.742,2.85,2.867,2.936,3.022,3.251,3.378,3.419,3.452,3.521,3.54,3.572,3.612,3.667,3.762,3.926,4.0,4.018,4.057,4.135,4.278,4.329,4.56,4.621,4.722,4.807,4.942,4.976,5.089,5.109,5.215,5.301,5.42,5.453,5.482,5.518,5.599,5.698,5.724,5.797,6.156,6.201,6.316,6.368,6.432,6.509,6.537,6.634,6.698,6.757,6.856,6.873,6.975,7.006,7.041,7.092,7.126,7.172,7.268,7.283,7.309,7.336,7.419,7.443,7.472,7.501,7.531,7.634,7.713,7.778,7.829,7.862,8.001,8.072,8.14,8.189,8.38,8.413,8.579,8.643,8.748,8.82,9.267,9.366,9.499,9.663,9.806,9.826,9.918,9.945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
