0.255,0.315,0.377,0.419,0.592,0.736,0.766,0.824,0.843,0.895,0.938,0.977,1.014,1.11,1.208,1.247,1.364,1.396,1.417,1.457,1.617,1.692,2.129,2.235,2.258,2.291,2.346,2.359,2.588,2.77,2.792,2.819,2.9,2.922,2.984,3.005,3.072,3.114,3.178,3.227,3.279,3.3,3.398,3.427,3.463,3.5,3.537,3.67,3.718,3.762,3.788,3.809,3.92,3.983,4.014,4.192,4.248,4.383,4.404,4.482,4.607,4.627,4.671,4.69,4.733,4.835,4.866,4.935,5.084,5.137,5.173,5.267,5.318,5.368,5.389,5.46,5.514,5.674,5.722,5.791,5.861,5.919,5.96,5.99,6.017,6.163,6.201,6.241,6.285,6.345,6.405,6.452,6.522,6.601,6.714,6.734,6.756,6.816,6.866,6.899,6.928,6.955,6.987,7.043,7.229,7.303,7.335,7.378,7.447,7.464,7.484,7.532,7.594,7.72,7.752,7.807,7.837,7.865,7.91,7.988,8.05,8.112,8.133,8.219,8.261,8.304,8.387,8.485,8.58,8.648,8.689,8.718,8.755,8.788,8.843,8.909,8.957,9.035,9.162,9.193,9.227,9.286,9.385,9.473,9.509,9.664,9.743,9.798,9.844,9.981,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.378,0.444,0.574,0.633,0.714,0.843,0.945,0.963,1.022,1.2,1.226,1.247,1.487,1.528,1.552,1.706,2.101,2.202,2.223,2.329,2.396,2.482,2.501,2.529,2.561,2.612,2.644,2.787,2.814,2.946,2.994,3.066,3.087,3.153,3.237,3.286,3.451,3.522,3.69,3.771,3.852,3.88,3.972,4.07,4.108,4.154,4.191,4.299,4.322,4.487,4.575,4.692,4.747,4.797,4.867,4.917,5.032,5.087,5.146,5.164,5.334,5.529,5.56,5.581,5.657,5.75,5.86,5.914,5.954,6.009,6.096,6.138,6.394,6.464,6.503,6.682,6.836,6.867,7.111,7.339,7.359,7.396,7.447,7.503,7.636,7.747,7.983,8.115,8.134,8.261,8.298,8.45,8.528,8.644,8.871,8.963,9.153,9.289,9.344,9.356,9.406,9.433,9.459,9.519,9.565,9.596,9.611,9.777,9.81,9.87,9.886,9.914,9.984,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.033,0.079,0.104,0.13,0.263,0.315,0.558,0.655,0.671,0.695,0.744,0.815,0.996,1.013,1.034,1.061,1.131,1.163,1.224,1.251,1.275,1.324,1.402,1.532,1.565,1.586,1.628,1.69,1.82,1.874,1.997,2.025,2.055,2.107,2.153,2.195,2.205,2.309,2.439,2.558,2.623,2.666,2.766,2.804,2.903,2.977,3.024,3.089,3.185,3.291,3.317,3.358,3.397,3.436,3.586,3.678,3.773,3.85,3.908,3.966,4.009,4.074,4.113,4.139,4.183,4.267,4.281,4.321,4.432,4.457,4.542,4.574,4.59,4.654,4.705,4.797,4.868,4.913,5.016,5.267,5.303,5.347,5.448,5.486,5.521,5.58,5.801,5.864,5.892,5.928,5.962,6.001,6.037,6.09,6.117,6.213,6.255,6.285,6.336,6.439,6.59,6.63,6.697,6.743,6.796,6.83,6.867,6.892,6.94,6.993,7.082,7.163,7.204,7.254,7.347,7.384,7.437,7.457,7.533,7.568,7.685,7.754,7.79,7.896,7.966,8.094,8.226,8.336,8.381,8.464,8.525,8.569,8.751,8.775,8.805,8.951,8.972,9.109,9.242,9.277,9.374,9.448,9.548,9.572,9.599,9.624,9.665,9.712,9.745,9.775,9.811,9.837,9.879,9.93,9.989,nan,nan,nan,nan,nan,nan,nan
0.029,0.058,0.132,0.328,0.362,0.424,0.673,0.705,0.747,0.777,0.793,0.805,0.924,0.972,1.03,1.051,1.093,1.157,1.24,1.286,1.39,1.442,1.47,1.492,1.743,1.766,1.872,1.914,2.014,2.048,2.085,2.129,2.272,2.364,2.386,2.465,2.492,2.673,2.707,2.786,2.817,2.851,2.871,2.93,2.954,2.965,3.082,3.102,3.243,3.28,3.335,3.393,3.427,3.475,3.565,3.737,3.798,3.872,3.958,4.126,4.196,4.238,4.308,4.369,4.393,4.517,4.554,4.693,4.776,5.016,5.096,5.227,5.28,5.306,5.389,5.449,5.519,5.553,5.651,5.756,5.885,5.932,5.993,6.019,6.195,6.209,6.244,6.263,6.295,6.376,6.425,6.445,6.496,6.556,6.619,6.642,6.658,6.736,6.763,6.939,6.987,7.052,7.079,7.358,7.412,7.435,7.503,7.58,7.777,7.869,7.923,7.953,7.982,8.013,8.088,8.138,8.188,8.206,8.248,8.268,8.293,8.392,8.477,8.591,8.639,8.706,8.754,9.09,9.224,9.403,9.505,9.584,9.609,9.747,9.8,9.831,9.884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.09,0.141,0.202,0.276,0.327,0.366,0.403,0.446,0.529,0.577,0.69,0.768,0.839,0.932,0.963,1.142,1.166,1.27,1.298,1.368,1.401,1.447,1.543,1.564,1.633,1.654,1.723,1.836,1.87,1.907,1.924,2.016,2.104,2.132,2.287,2.432,2.553,2.611,2.691,2.775,2.876,2.921,2.97,3.122,3.188,3.264,3.405,3.439,3.53,3.582,3.663,3.742,3.796,3.819,3.87,3.927,3.956,3.978,4.035,4.079,4.254,4.292,4.319,4.347,4.383,4.415,4.51,4.575,4.682,4.83,4.873,4.904,5.068,5.101,5.147,5.317,5.402,5.452,5.514,5.589,5.664,5.707,5.746,5.854,6.006,6.046,6.143,6.321,6.344,6.367,6.411,6.439,6.465,6.528,6.575,6.741,6.796,6.851,6.871,6.942,6.978,7.031,7.163,7.253,7.322,7.402,7.427,7.471,7.571,7.691,7.937,8.083,8.166,8.208,8.244,8.311,8.339,8.394,8.444,8.51,8.639,8.828,8.888,9.067,9.114,9.24,9.289,9.451,9.56,9.66,9.696,9.757,9.799,9.872,9.937,9.956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039,0.156,0.303,0.505,0.538,0.658,0.705,0.757,0.84,0.902,0.931,0.974,1.052,1.072,1.122,1.342,1.39,1.552,1.612,1.65,1.879,1.919,1.936,1.97,2.034,2.108,2.149,2.167,2.191,2.226,2.248,2.329,2.358,2.38,2.585,2.727,2.832,2.955,3.055,3.149,3.239,3.272,3.403,3.434,3.457,3.602,3.699,3.826,3.88,3.929,3.993,4.113,4.129,4.158,4.191,4.213,4.284,4.418,4.465,4.535,4.768,4.792,4.834,4.866,4.943,4.965,5.018,5.259,5.323,5.431,5.449,5.55,5.59,5.645,5.755,5.776,5.804,5.825,5.91,5.99,6.006,6.067,6.1,6.126,6.178,6.25,6.286,6.31,6.36,6.591,6.62,6.781,6.809,6.927,6.998,7.028,7.105,7.128,7.195,7.244,7.442,7.542,7.688,7.75,7.809,7.861,7.947,7.969,8.044,8.091,8.118,8.287,8.34,8.402,8.451,8.52,8.601,8.771,8.858,9.006,9.037,9.113,9.211,9.24,9.32,9.479,9.505,9.52,9.812,9.963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.148,0.169,0.233,0.329,0.5,0.533,0.58,0.667,0.691,0.762,0.838,0.866,0.99,1.034,1.068,1.152,1.241,1.282,1.35,1.389,1.454,1.859,1.927,1.946,1.994,2.121,2.186,2.218,2.256,2.491,2.569,2.651,2.684,2.727,2.762,2.919,2.941,3.066,3.166,3.196,3.339,3.388,3.448,3.472,3.53,3.599,3.638,3.671,3.783,3.804,3.85,3.909,4.074,4.102,4.156,4.182,4.2,4.258,4.354,4.424,4.438,4.463,4.494,4.524,4.546,4.61,4.743,4.764,4.823,4.921,5.036,5.058,5.082,5.224,5.261,5.291,5.308,5.358,5.636,5.687,5.731,5.816,5.854,5.969,6.152,6.268,6.437,6.463,6.582,6.617,6.644,6.737,6.78,6.832,6.892,7.001,7.056,7.152,7.173,7.205,7.334,7.376,7.425,7.466,7.532,7.624,7.758,7.82,7.854,7.887,7.956,7.99,8.014,8.053,8.066,8.11,8.188,8.216,8.258,8.396,8.479,8.524,8.596,8.615,8.809,8.851,8.865,8.918,8.96,8.989,9.016,9.048,9.112,9.159,9.197,9.266,9.315,9.435,9.474,9.688,9.731,9.783,9.833,9.893,9.925,9.954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.028,0.058,0.123,0.163,0.314,0.475,0.505,0.637,0.77,0.84,1.074,1.188,1.23,1.267,1.333,1.448,1.483,1.515,1.574,1.64,1.661,1.882,1.915,2.027,2.06,2.13,2.195,2.232,2.28,2.342,2.395,2.441,2.534,2.581,2.61,2.664,2.707,2.766,2.829,3.186,3.229,3.262,3.425,3.467,3.522,3.55,3.577,3.789,3.806,3.836,3.852,3.905,4.017,4.081,4.205,4.276,4.291,4.331,4.402,4.459,4.498,4.639,4.701,4.753,4.807,4.844,4.885,4.917,4.949,5.019,5.097,5.13,5.218,5.251,5.355,5.423,5.454,5.494,5.538,5.688,5.724,5.773,5.84,5.993,6.029,6.181,6.305,6.356,6.388,6.555,6.611,6.808,6.898,6.949,6.979,7.013,7.066,7.15,7.334,7.43,7.607,7.681,7.722,7.765,7.786,7.953,7.99,8.061,8.088,8.181,8.286,8.403,8.496,8.563,8.638,8.704,8.869,9.102,9.15,9.202,9.296,9.329,9.36,9.381,9.417,9.489,9.521,9.544,9.572,9.775,9.87,9.956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.199,0.308,0.371,0.406,0.496,0.682,0.702,0.775,0.857,0.939,1.216,1.296,1.328,1.361,1.396,1.45,1.492,1.53,1.566,1.638,1.673,1.737,1.775,1.802,1.876,1.952,2.013,2.042,2.144,2.226,2.249,2.31,2.36,2.426,2.48,2.646,2.687,2.8,2.87,2.898,2.926,3.005,3.054,3.127,3.142,3.173,3.21,3.294,3.322,3.372,3.433,3.476,3.57,3.611,3.764,3.877,3.938,3.994,4.099,4.139,4.262,4.284,4.361,4.417,4.466,4.505,4.611,4.65,4.771,4.84,4.88,4.918,4.969,5.017,5.078,5.168,5.223,5.387,5.427,5.467,5.609,5.692,5.814,5.837,5.912,5.943,6.069,6.106,6.128,6.244,6.399,6.57,6.692,6.707,6.813,6.839,6.977,7.127,7.176,7.237,7.27,7.298,7.432,7.497,7.546,7.641,7.705,7.744,7.811,7.837,7.997,8.013,8.036,8.073,8.156,8.231,8.256,8.392,8.427,8.608,8.662,8.726,8.986,9.09,9.199,9.26,9.273,9.303,9.32,9.438,9.763,9.832,9.867,9.923,9.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056,0.083,0.118,0.159,0.357,0.415,0.525,0.71,0.772,0.887,0.967,0.993,1.041,1.076,1.237,1.349,1.361,1.468,1.56,1.704,1.82,1.904,1.959,1.976,2.049,2.069,2.25,2.284,2.336,2.386,2.58,2.598,2.621,2.69,2.714,2.749,2.814,2.898,3.015,3.049,3.08,3.183,3.201,3.333,3.406,3.528,3.744,3.877,3.955,3.991,4.045,4.056,4.075,4.123,4.214,4.511,4.629,4.657,4.823,4.839,4.854,4.963,5.005,5.156,5.175,5.219,5.281,5.373,5.472,5.589,5.627,5.698,5.775,5.812,5.837,5.858,5.94,6.063,6.101,6.133,6.19,6.241,6.358,6.47,6.695,6.806,6.845,6.897,6.946,7.111,7.23,7.263,7.408,7.482,7.713,7.763,7.791,7.84,7.953,7.999,8.085,8.147,8.177,8.221,8.302,8.47,8.702,8.76,8.787,8.885,8.905,8.965,9.196,9.319,9.337,9.401,9.435,9.543,9.748,9.77,9.838,9.902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17,0.191,0.368,0.39,0.413,0.58,0.599,0.619,0.669,0.73,0.766,0.793,0.88,0.951,0.994,1.069,1.205,1.282,1.335,1.365,1.393,1.442,1.545,1.577,1.614,1.726,1.752,1.77,1.811,1.872,1.914,2.005,2.069,2.128,2.164,2.414,2.46,2.477,2.782,2.969,3.052,3.273,3.335,3.366,3.429,3.575,3.771,3.79,3.949,3.983,4.124,4.167,4.353,4.57,4.735,4.837,4.855,4.891,4.97,5.223,5.312,5.439,5.492,5.598,5.632,5.655,5.705,5.914,6.011,6.081,6.124,6.208,6.272,6.343,6.396,6.427,6.446,6.467,6.548,6.617,6.778,6.803,6.835,6.884,6.929,7.086,7.27,7.286,7.36,7.417,7.483,7.574,7.644,7.672,7.792,7.85,7.89,7.978,8.038,8.187,8.223,8.426,8.539,8.585,8.639,8.676,8.696,8.803,8.826,8.882,8.922,9.09,9.189,9.272,9.32,9.426,9.524,9.582,9.627,9.661,9.683,9.77,9.803,9.921,9.971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.046,0.112,0.171,0.213,0.436,0.587,0.624,0.651,0.675,0.784,0.93,0.993,1.008,1.026,1.105,1.13,1.3,1.325,1.396,1.435,1.46,1.543,1.615,1.656,1.697,1.725,1.743,1.769,1.817,1.848,2.01,2.176,2.203,2.332,2.378,2.461,2.481,2.522,2.566,2.581,2.607,2.652,2.709,2.738,2.783,2.801,2.857,2.899,2.945,2.977,3.006,3.048,3.215,3.393,3.442,3.488,3.525,3.652,3.888,4.008,4.05,4.106,4.23,4.429,4.471,4.554,4.583,4.654,4.77,4.799,4.877,4.911,4.959,5.049,5.126,5.184,5.225,5.285,5.356,5.374,5.685,5.72,5.823,5.952,6.017,6.031,6.094,6.133,6.293,6.377,6.445,6.491,6.563,6.605,6.637,6.657,6.673,6.763,6.806,6.848,6.889,6.996,7.037,7.093,7.168,7.192,7.225,7.268,7.319,7.407,7.459,7.543,7.607,7.777,7.817,7.875,7.899,7.998,8.015,8.171,8.207,8.315,8.383,8.421,8.597,8.637,8.661,8.797,8.952,9.025,9.101,9.137,9.169,9.289,9.321,9.56,9.604,9.685,9.794,9.846,9.903,9.966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
