0.037,0.094,0.159,0.263,0.332,0.366,0.413,0.497,0.534,0.551,0.595,0.617,0.649,0.725,0.773,0.816,0.898,0.917,0.955,0.991,1.111,1.169,1.307,1.469,1.495,1.518,1.682,1.762,1.855,1.911,1.986,2.007,2.082,2.255,2.288,2.308,2.406,2.447,2.801,2.927,2.966,2.989,3.06,3.12,3.16,3.202,3.307,3.368,3.43,3.465,3.536,3.561,3.622,3.825,3.908,3.947,3.967,4.006,4.036,4.071,4.14,4.221,4.382,4.405,4.449,4.496,4.576,4.734,4.867,4.905,4.963,5.035,5.217,5.265,5.457,5.507,5.545,5.606,5.786,5.894,5.942,5.989,6.027,6.235,6.272,6.329,6.357,6.432,6.525,6.554,6.647,6.722,6.814,6.947,7.019,7.059,7.077,7.248,7.37,7.392,7.498,7.552,7.605,7.628,7.916,8.012,8.033,8.077,8.123,8.154,8.23,8.283,8.307,8.368,8.394,8.41,8.46,8.53,8.548,8.615,8.716,8.778,8.811,8.872,8.931,8.95,9.046,9.064,9.116,9.205,9.321,9.345,9.384,9.421,9.534,9.582,9.679,9.712,9.836,9.868,9.893,9.973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.06,0.121,0.143,0.274,0.367,0.394,0.414,0.445,0.548,0.577,0.63,0.674,0.739,0.781,0.813,0.83,0.88,0.922,1.119,1.184,1.212,1.24,1.364,1.416,1.544,1.666,1.695,1.729,1.817,1.856,1.912,1.962,2.056,2.076,2.112,2.16,2.203,2.272,2.348,2.532,2.554,2.7,2.724,2.799,2.895,3.009,3.104,3.183,3.342,3.439,3.476,3.539,3.65,3.707,3.793,3.849,3.899,3.934,3.982,4.03,4.083,4.171,4.189,4.274,4.347,4.369,4.434,4.481,4.512,4.59,4.635,4.831,4.938,4.97,5.032,5.183,5.235,5.315,5.411,5.442,5.502,5.529,5.591,5.698,5.748,5.786,5.921,5.94,6.06,6.189,6.247,6.275,6.334,6.479,6.536,6.568,6.679,6.817,6.85,6.879,6.999,7.126,7.187,7.205,7.288,7.362,7.381,7.481,7.616,7.724,7.78,7.842,7.895,7.935,7.989,8.026,8.093,8.126,8.303,8.341,8.383,8.588,8.604,8.669,8.76,8.942,9.055,9.069,9.279,9.309,9.413,9.57,9.59,9.648,9.689,9.72,9.789,9.879,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.168,0.22,0.269,0.37,0.392,0.446,0.631,0.692,0.735,0.76,0.83,1.136,1.196,1.229,1.278,1.408,1.461,1.502,1.663,1.691,1.77,1.987,2.168,2.257,2.342,2.389,2.559,2.638,2.711,2.734,2.785,2.838,2.86,2.883,2.941,3.01,3.092,3.175,3.269,3.311,3.336,3.36,3.4,3.44,3.472,3.5,3.587,3.629,3.801,3.851,3.969,3.996,4.113,4.141,4.221,4.253,4.302,4.436,4.462,4.498,4.525,4.656,4.727,4.928,4.992,5.146,5.19,5.232,5.261,5.355,5.442,5.672,5.704,5.783,5.864,5.952,5.979,6.094,6.161,6.249,6.337,6.359,6.384,6.444,6.494,6.678,6.707,6.762,6.825,6.882,7.067,7.112,7.147,7.17,7.188,7.224,7.266,7.334,7.352,7.42,7.465,7.507,7.521,7.624,7.794,7.899,8.022,8.059,8.102,8.352,8.393,8.423,8.528,8.688,8.803,8.863,9.101,9.304,9.33,9.36,9.407,9.467,9.665,9.681,9.901,9.927,9.966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.145,0.178,0.271,0.317,0.383,0.429,0.491,0.6,0.669,0.733,0.847,0.877,0.9,0.985,1.043,1.163,1.216,1.384,1.435,1.449,1.607,1.643,1.86,1.909,2.015,2.095,2.207,2.264,2.296,2.353,2.394,2.442,2.474,2.594,2.626,2.682,2.739,2.83,2.851,2.886,2.935,2.968,3.002,3.021,3.064,3.184,3.316,3.406,3.523,3.558,3.726,3.763,3.837,3.978,4.052,4.083,4.161,4.193,4.284,4.329,4.483,4.573,4.698,4.73,4.752,4.87,4.914,4.972,4.991,5.046,5.139,5.233,5.324,5.384,5.44,5.517,5.652,5.675,5.747,5.789,5.835,5.93,5.954,6.034,6.16,6.181,6.362,6.396,6.424,6.604,6.629,6.654,6.751,6.823,6.848,6.991,7.031,7.054,7.105,7.174,7.251,7.301,7.355,7.426,7.467,7.498,7.51,7.523,7.547,7.601,7.633,7.717,7.744,7.807,7.874,7.939,7.971,8.048,8.128,8.191,8.267,8.314,8.389,8.481,8.522,8.542,8.649,8.784,8.804,8.908,9.106,9.316,9.472,9.536,9.593,9.708,9.735,9.794,9.873,9.892,9.96,9.989,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.057,0.084,0.125,0.175,0.28,0.4,0.521,0.604,0.649,0.686,0.774,0.935,1.006,1.089,1.259,1.376,1.573,1.752,1.793,1.84,1.988,2.124,2.212,2.239,2.266,2.288,2.307,2.35,2.441,2.464,2.75,2.9,2.946,3.04,3.083,3.304,3.382,3.415,3.434,3.451,3.497,3.652,3.69,3.713,3.814,3.981,4.043,4.102,4.154,4.184,4.235,4.287,4.348,4.496,4.541,4.614,4.634,4.708,4.884,4.935,5.005,5.089,5.126,5.176,5.223,5.26,5.311,5.451,5.692,5.717,5.741,5.783,5.803,6.009,6.056,6.075,6.165,6.236,6.377,6.396,6.462,6.533,6.592,6.706,6.826,6.866,7.001,7.059,7.176,7.212,7.269,7.413,7.494,7.609,7.733,7.87,7.958,7.998,8.035,8.075,8.21,8.242,8.265,8.312,8.396,8.489,8.509,8.579,8.602,8.625,8.683,8.719,8.778,8.833,8.867,8.918,9.059,9.093,9.111,9.204,9.265,9.316,9.465,9.513,9.585,9.614,9.646,9.753,9.825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.073,0.115,0.163,0.21,0.305,0.428,0.471,0.63,0.68,0.696,0.779,0.836,0.879,0.934,1.087,1.207,1.265,1.284,1.449,1.493,1.558,1.609,1.703,1.794,1.865,1.885,2.101,2.15,2.235,2.316,2.421,2.441,2.495,2.535,2.747,2.817,2.969,3.101,3.168,3.229,3.467,3.522,3.555,3.597,3.666,3.703,3.854,4.021,4.09,4.178,4.229,4.325,4.352,4.365,4.468,4.493,4.526,4.578,4.726,4.798,4.855,4.945,4.983,5.003,5.108,5.147,5.237,5.303,5.342,5.433,5.459,5.507,5.544,5.582,5.672,5.699,5.743,5.774,6.014,6.042,6.088,6.148,6.301,6.348,6.467,6.498,6.527,6.604,6.64,6.711,6.753,6.801,6.902,6.99,7.062,7.144,7.164,7.218,7.262,7.396,7.46,7.724,7.743,7.796,7.837,7.914,7.93,7.977,8.103,8.162,8.189,8.242,8.29,8.323,8.373,8.412,8.437,8.47,8.555,8.744,8.854,8.88,8.922,9.202,9.248,9.274,9.321,9.373,9.397,9.428,9.477,9.545,9.606,9.73,9.756,9.88,9.905,9.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.092,0.176,0.191,0.29,0.433,0.494,0.552,0.672,0.817,0.888,1.025,1.046,1.084,1.113,1.145,1.185,1.221,1.259,1.324,1.547,1.579,1.657,1.684,1.722,1.738,1.821,1.919,1.948,2.037,2.141,2.181,2.215,2.294,2.337,2.367,2.465,2.497,2.569,2.617,2.641,2.672,2.732,2.839,3.019,3.047,3.159,3.204,3.235,3.344,3.475,3.588,3.62,3.746,3.853,3.975,4.022,4.079,4.109,4.142,4.284,4.407,4.484,4.506,4.617,4.703,4.767,4.831,4.879,4.942,5.052,5.117,5.237,5.342,5.411,5.54,5.62,5.718,5.796,5.836,5.906,6.031,6.111,6.145,6.253,6.321,6.397,6.464,6.604,6.653,6.688,6.737,6.797,6.953,6.973,6.996,7.114,7.135,7.156,7.388,7.476,7.548,7.634,7.703,7.716,7.948,8.023,8.06,8.081,8.193,8.211,8.353,8.394,8.429,8.476,8.535,8.648,8.721,8.814,8.885,8.935,9.011,9.031,9.064,9.163,9.227,9.299,9.381,9.536,9.667,9.698,9.871,9.915,9.975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.056,0.1,0.155,0.23,0.266,0.302,0.358,0.416,0.458,0.488,0.515,0.536,0.639,0.7,0.827,0.85,0.935,0.979,1.026,1.047,1.083,1.15,1.181,1.222,1.265,1.356,1.372,1.429,1.475,1.613,1.647,1.673,1.714,1.803,1.832,1.912,2.046,2.128,2.153,2.199,2.278,2.428,2.454,2.584,2.643,2.664,2.736,2.786,2.826,2.871,2.972,3.025,3.061,3.1,3.148,3.193,3.214,3.236,3.309,3.35,3.403,3.508,3.524,3.564,3.612,3.647,3.687,3.825,3.955,3.992,4.058,4.109,4.199,4.275,4.318,4.442,4.485,4.611,4.658,4.816,4.961,5.026,5.182,5.307,5.337,5.377,5.441,5.452,5.488,5.527,5.561,5.661,5.74,5.766,5.855,5.96,6.081,6.13,6.309,6.436,6.459,6.509,6.537,6.59,6.671,6.764,6.896,7.054,7.121,7.161,7.264,7.341,7.357,7.391,7.483,7.527,7.542,7.662,7.778,7.865,7.911,7.927,8.014,8.053,8.067,8.134,8.208,8.241,8.269,8.429,8.516,8.567,8.642,8.667,8.772,8.808,8.991,9.069,9.192,9.318,9.419,9.474,9.512,9.596,9.655,9.687,9.708,9.956,9.998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.049,0.167,0.225,0.348,0.458,0.552,0.603,0.69,0.746,0.793,0.824,0.887,0.962,1.011,1.063,1.138,1.172,1.297,1.413,1.483,1.556,1.647,1.76,1.864,1.919,1.999,2.029,2.063,2.11,2.152,2.176,2.223,2.282,2.382,2.426,2.53,2.558,2.582,2.629,2.727,2.797,2.86,2.998,3.152,3.179,3.238,3.276,3.308,3.365,3.44,3.468,3.521,3.563,3.627,3.692,3.736,3.761,3.823,3.864,3.973,4.055,4.149,4.172,4.201,4.266,4.364,4.377,4.458,4.606,4.677,4.821,4.928,4.953,4.999,5.044,5.17,5.215,5.444,5.496,5.616,5.708,5.76,5.793,5.894,6.134,6.165,6.227,6.272,6.344,6.369,6.429,6.501,6.67,6.708,6.769,6.816,6.956,7.101,7.12,7.155,7.189,7.223,7.292,7.378,7.417,7.64,7.662,7.724,7.745,7.823,7.993,8.035,8.065,8.199,8.228,8.307,8.35,8.472,8.505,8.601,8.659,8.789,8.805,8.834,8.911,8.945,9.006,9.075,9.119,9.202,9.218,9.251,9.4,9.499,9.589,9.825,9.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02,0.044,0.214,0.324,0.388,0.485,0.561,0.58,0.652,0.708,0.724,0.831,0.844,0.934,1.058,1.111,1.148,1.196,1.241,1.272,1.298,1.368,1.415,1.545,1.794,1.837,1.873,1.952,2.057,2.289,2.393,2.493,2.544,2.581,2.631,2.749,2.884,2.924,2.979,2.996,3.202,3.23,3.331,3.463,3.526,3.586,3.649,3.712,3.78,4.095,4.135,4.171,4.23,4.32,4.361,4.381,4.429,4.593,4.664,4.685,4.773,4.848,4.953,4.972,5.067,5.101,5.126,5.313,5.332,5.37,5.422,5.439,5.459,5.488,5.522,5.548,5.586,5.616,5.766,5.791,5.809,5.85,5.898,5.972,6.105,6.209,6.286,6.362,6.437,6.513,6.587,6.738,6.804,6.855,6.878,6.963,6.986,7.017,7.07,7.184,7.212,7.387,7.779,7.805,7.832,7.853,7.894,8.017,8.057,8.167,8.227,8.277,8.383,8.401,8.507,8.553,8.624,8.673,8.777,8.82,8.883,9.057,9.147,9.273,9.319,9.434,9.499,9.537,9.556,9.581,9.602,9.838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
