0.561,0.846,0.956,1.089,1.122,1.157,1.308,1.405,1.436,1.712,1.83,1.97,2.135,2.185,2.254,2.301,2.424,2.456,2.669,2.896,3.06,3.145,3.8,3.902,4.018,4.194,4.457,4.489,4.512,4.915,4.965,4.999,5.414,5.76,5.792,6.184,6.272,6.369,6.553,7.409,8.168,8.285,8.432,8.552,8.691,8.812,8.923,8.975,9.101,9.281,9.477,9.819,9.908,10.047,10.107,10.693,11.1,11.4,11.788,11.994,12.061,12.137,12.293,12.31,12.337,12.509,12.738,12.782,12.875,12.953,13.066,13.382,13.447,13.576,13.701,13.752,13.797,14.066,14.099,14.221,14.298,14.49,14.702,14.772,15.795,16.037,16.06,16.199,16.562,16.609,16.676,16.736,16.899,16.943,17.016,17.141,17.261,17.333,17.387,17.42,17.609,17.721,17.894,18.035,18.08,18.194,18.421,18.523,18.961,19.039,19.379,19.475,19.671,19.984,nan,nan,nan,nan,nan
0.173,0.271,0.357,1.081,1.317,1.345,1.513,1.81,2.024,2.102,2.56,2.648,2.853,2.889,3.01,3.319,3.66,3.754,4.038,4.202,4.793,4.853,4.917,4.945,5.045,5.146,5.181,5.214,5.77,5.814,6.002,6.079,6.15,6.366,6.472,6.748,7.158,7.445,7.678,7.808,7.893,8.009,8.3,8.492,8.596,8.625,8.827,8.9,8.924,8.991,9.067,9.23,9.356,9.567,9.691,10.284,10.929,11.085,11.127,11.294,11.53,11.815,12.033,12.126,12.205,12.467,12.563,12.814,12.973,13.029,13.114,13.201,13.235,13.45,13.592,13.795,14.201,14.419,14.708,15.54,15.937,16.108,16.338,16.45,16.487,16.534,16.679,17.163,17.346,17.666,17.745,18.317,19.071,19.531,19.613,19.756,19.786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.097,0.134,0.275,0.872,0.951,1.059,1.137,1.196,1.525,1.551,1.588,1.696,2.03,2.116,2.254,2.36,3.199,3.566,3.694,3.727,3.802,3.842,4.036,4.391,4.631,4.744,4.802,4.878,5.116,5.292,5.511,5.568,5.719,5.846,6.034,6.094,6.472,6.539,6.563,6.974,7.131,7.427,7.552,7.644,7.766,8.334,8.507,8.624,8.785,8.863,9.223,9.273,9.363,9.38,9.537,9.809,9.957,10.007,10.12,10.383,10.981,11.773,11.974,12.043,12.106,12.33,12.379,12.41,12.528,12.732,12.753,12.895,12.961,13.068,13.147,13.263,13.309,13.562,13.961,14.03,14.052,14.381,14.447,14.682,14.737,14.983,15.177,15.455,16.447,16.509,16.587,16.646,16.803,16.905,17.051,17.242,17.278,17.827,18.386,18.568,19.226,19.582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.34,0.444,0.74,0.798,0.839,0.886,0.982,1.009,1.447,1.593,1.764,2.063,2.409,2.755,3.379,4.08,4.292,4.341,4.445,4.479,4.705,5.062,5.249,5.332,5.568,5.692,5.82,6.037,6.604,6.647,7.032,7.463,7.745,7.923,8.284,8.348,8.697,8.894,9.091,9.125,9.398,9.431,9.468,9.504,9.653,10.052,10.341,10.629,11.153,11.642,11.749,12.012,12.361,12.414,12.567,12.607,12.72,12.768,12.89,13.348,13.406,13.687,13.915,14.009,14.157,14.376,15.378,15.694,15.727,16.089,16.268,16.31,16.353,16.369,16.419,16.754,17.413,17.576,17.68,17.784,18.04,18.284,18.716,18.814,18.873,19.556,19.682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.172,0.538,0.771,0.803,0.853,1.171,1.38,1.593,1.659,1.782,1.956,2.269,2.488,2.547,3.129,3.823,4.071,4.167,4.273,4.331,4.617,4.736,4.771,4.988,5.03,5.103,5.144,5.213,5.287,5.395,5.45,5.725,5.855,5.911,5.968,6.38,6.414,6.773,7.806,7.886,8.431,8.469,8.547,8.696,8.873,9.126,9.31,9.439,9.604,9.817,10.015,10.634,10.84,11.3,11.866,12.185,12.28,12.323,12.349,12.628,12.738,12.915,12.952,12.981,13.095,13.298,13.345,13.503,13.909,14.016,14.296,14.977,15.204,15.544,15.969,16.016,16.222,16.331,16.367,16.757,16.844,16.896,17.168,17.329,17.477,17.629,17.677,17.724,18.259,18.372,18.42,18.551,18.582,19.191,19.757,19.834,19.899,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.426,0.716,0.765,0.89,1.217,1.289,1.475,1.546,1.63,1.668,1.901,1.957,2.577,2.615,2.986,3.412,3.908,4.077,4.239,4.958,5.013,5.245,5.312,5.36,5.387,5.74,5.833,5.975,6.011,7.133,7.153,7.481,7.562,7.976,8.146,8.481,8.539,8.624,8.923,9.582,10.254,10.358,10.408,10.845,10.883,10.923,11.088,11.352,11.509,11.776,11.818,12.053,12.097,12.227,12.253,12.453,12.481,12.636,12.78,12.844,12.924,12.997,13.225,13.424,13.461,13.583,13.7,13.749,13.855,13.903,14.176,14.225,14.319,15.0,15.246,15.904,15.943,15.984,16.528,16.566,16.592,17.13,17.631,17.713,18.064,18.196,18.33,18.375,18.436,19.134,19.729,19.781,19.84,19.985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.168,0.515,0.847,0.883,0.941,1.073,1.24,1.355,1.47,1.525,1.713,1.87,1.948,2.184,2.493,2.812,3.313,3.69,3.838,3.991,4.079,4.19,4.23,4.298,4.391,4.488,4.572,4.599,4.711,4.787,4.873,5.035,5.121,5.217,6.198,6.466,7.081,7.269,7.307,7.512,7.718,7.913,7.947,8.009,8.041,8.121,8.162,8.254,8.367,8.517,8.933,9.006,9.098,9.135,9.219,9.583,9.643,9.74,9.781,9.819,9.938,10.051,10.078,10.163,10.37,10.419,10.796,11.019,11.407,11.707,11.858,11.919,11.977,12.072,12.136,12.256,12.381,12.528,12.603,12.63,12.665,12.778,12.86,12.932,12.948,13.306,13.341,13.493,13.606,13.662,13.898,14.002,14.416,14.757,14.858,15.014,15.125,15.709,16.082,16.251,16.302,16.99,17.434,17.513,17.712,17.766,17.925,18.1,18.181,18.433,18.454,18.481,18.634,18.88,18.902,19.114,19.15,19.632,19.921
0.061,0.34,0.416,0.536,0.855,0.916,1.012,1.13,2.025,2.102,2.213,2.576,2.853,3.175,3.365,3.82,4.03,4.13,4.164,4.371,4.632,4.652,4.808,4.904,5.209,5.369,5.494,5.651,5.859,5.929,6.015,6.745,6.806,6.91,7.088,7.181,7.604,7.678,7.702,7.844,7.951,8.24,8.33,8.534,8.595,8.664,8.687,8.756,8.795,9.435,9.52,9.557,9.661,9.685,9.762,10.087,10.209,10.332,10.39,10.451,10.601,10.763,11.533,11.583,11.768,12.025,12.076,12.212,12.417,12.495,12.661,12.717,12.928,13.148,13.184,13.235,13.555,13.589,13.653,13.697,13.801,13.954,14.029,14.208,14.338,14.393,14.596,14.718,15.087,15.393,15.584,15.708,15.797,16.119,16.364,16.455,16.879,17.031,17.071,17.113,17.705,17.834,18.075,18.967,19.105,19.503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178,0.33,0.766,0.807,0.843,0.912,0.927,1.031,1.182,1.245,1.324,1.66,2.124,2.282,2.86,3.17,3.221,3.272,3.378,3.711,3.906,4.169,4.413,4.602,4.817,4.984,5.02,5.058,5.36,5.43,5.504,5.61,5.651,5.821,5.866,6.399,6.862,7.061,7.239,7.442,7.522,7.831,8.105,8.336,8.528,9.084,9.281,9.396,9.515,9.663,9.719,9.759,9.854,10.21,10.232,10.397,10.465,11.127,11.524,11.724,11.754,11.989,12.172,12.27,12.334,12.407,12.613,12.789,12.821,12.858,13.001,13.303,13.352,13.4,13.434,13.545,13.614,13.862,14.028,14.155,14.708,14.87,14.944,15.099,15.45,15.77,15.813,16.09,16.336,16.481,16.541,16.605,16.943,17.035,17.118,17.233,17.297,17.349,17.525,17.823,17.953,18.179,18.874,19.305,19.328,19.546,19.748,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.119,0.44,0.477,0.64,0.688,0.758,0.974,1.005,1.042,1.089,1.136,1.241,1.279,1.366,1.416,1.47,1.692,1.731,1.779,1.839,1.865,1.952,2.07,2.264,2.348,2.432,3.437,3.587,3.641,3.969,4.028,4.315,4.509,4.625,4.807,5.064,5.731,6.179,6.204,6.277,7.007,7.434,7.792,8.047,8.136,8.304,8.757,8.789,8.83,8.868,9.033,9.15,9.296,9.413,9.684,9.796,10.008,10.085,10.389,10.441,10.717,10.95,11.014,11.082,11.536,11.591,11.707,11.742,12.04,12.087,12.45,12.603,12.752,12.778,12.853,13.23,13.281,13.295,13.403,13.468,13.545,13.827,13.886,13.908,14.106,14.724,15.503,15.61,15.81,15.922,16.293,16.768,17.167,17.261,17.634,17.697,17.763,17.872,18.321,18.376,18.735,19.295,19.386,19.501,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
