0.754,0.877,0.988,1.041,1.209,1.301,1.37,1.879,2.096,2.159,2.212,2.471,2.65,3.06,3.263,3.637,3.669,4.08,4.148,4.298,4.329,4.52,4.61,4.785,5.028,5.071,5.32,5.388,5.426,5.552,5.612,5.681,5.707,5.75,5.783,5.848,5.998,6.062,6.276,6.401,6.531,6.684,6.876,7.311,8.011,8.065,8.149,8.279,8.513,8.592,8.745,8.81,9.157,9.238,9.455,9.512,9.543,9.819,10.036,10.129,10.243,10.369,10.471,10.631,10.764,11.327,11.346,12.165,12.372,12.505,12.667,12.853,13.364,13.532,13.962,14.124,14.295,14.645,14.743,15.149,15.322,15.426,15.469,15.794,16.069,16.146,16.168,16.312,16.554,16.648,16.701,16.84,17.171,17.297,17.324,17.51,17.539,18.05,18.085,18.287,18.557,18.77,19.217,19.308,19.35,19.541,19.569,19.808,19.923,nan,nan,nan,nan,nan,nan,nan
0.241,0.413,0.64,0.971,1.114,1.622,1.716,1.948,1.991,2.068,2.159,2.381,2.493,2.556,2.684,2.732,2.933,2.972,3.085,3.298,3.709,3.867,4.072,4.112,4.135,4.466,4.866,4.954,5.384,5.611,5.932,6.728,6.77,7.286,7.363,7.447,7.489,7.541,7.61,7.851,7.965,8.384,8.577,8.685,8.786,8.853,8.922,9.073,9.244,9.489,9.617,10.036,10.297,10.362,10.48,10.694,10.845,10.96,11.361,11.769,11.969,12.129,12.281,12.422,12.517,12.57,12.672,12.751,13.364,13.509,13.542,13.755,13.817,14.266,14.299,14.391,14.605,14.824,14.99,15.042,15.107,15.589,15.665,15.814,16.038,16.804,17.027,17.237,17.378,17.583,18.373,18.559,18.696,18.733,19.019,19.471,19.655,19.965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.108,0.176,0.246,0.343,0.569,0.74,1.059,1.507,1.582,1.629,1.922,1.999,2.099,2.208,2.517,3.032,3.137,3.365,3.439,3.518,3.554,3.734,3.883,3.943,4.08,4.192,4.522,4.609,4.661,4.823,5.119,5.275,5.365,6.377,6.586,7.031,7.069,7.236,7.328,7.497,7.775,7.868,7.941,8.118,8.178,8.477,8.562,8.634,8.664,8.826,8.963,9.221,9.31,9.35,9.805,9.928,10.058,10.582,10.617,11.055,11.223,11.257,11.493,11.589,11.754,12.143,12.363,12.465,12.517,12.659,13.127,13.332,13.517,13.628,14.184,14.394,14.756,15.174,15.404,15.448,15.561,15.635,15.738,15.81,16.625,16.656,16.713,16.841,16.93,17.531,17.586,17.726,17.827,17.861,17.967,18.035,18.074,18.929,18.971,19.207,19.267,19.39,19.508,19.609,19.688,19.852,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.221,0.48,0.631,0.927,1.478,1.663,1.996,2.267,2.452,2.496,2.565,2.614,2.763,2.908,3.462,3.58,4.022,4.688,4.845,5.068,5.443,5.576,5.722,6.109,6.28,6.306,6.571,6.83,7.04,7.386,7.467,7.761,8.387,8.58,8.689,8.835,8.882,9.284,9.314,9.558,9.691,9.812,9.884,10.366,10.645,10.758,11.103,11.347,11.462,11.482,11.542,11.663,11.848,12.424,12.463,13.432,13.536,13.747,13.815,13.983,14.019,14.053,14.307,14.432,14.545,14.649,14.847,15.297,15.466,15.548,15.596,15.763,15.795,16.088,16.155,16.199,16.24,16.401,16.439,17.002,17.051,17.071,17.654,17.888,18.737,19.249,19.52,19.619,19.965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.038,0.063,0.192,0.489,0.617,0.68,0.71,0.787,1.343,1.42,1.541,1.622,1.888,1.904,1.982,2.085,2.279,2.32,3.033,3.427,3.541,3.652,3.924,4.162,4.187,4.28,4.461,4.513,4.566,4.64,4.957,5.22,5.354,5.618,5.709,6.181,6.287,6.363,6.44,6.585,7.186,7.514,7.669,7.732,7.983,8.074,8.157,8.25,8.385,8.514,8.988,9.193,9.325,9.689,10.17,10.321,10.556,10.682,10.712,11.074,11.156,11.403,11.537,11.62,11.788,12.092,12.159,12.389,13.024,13.396,13.699,13.833,13.974,14.034,14.083,14.142,14.239,14.35,14.407,14.535,14.615,14.674,14.837,14.878,14.994,15.233,15.307,15.434,15.474,15.784,15.904,16.044,16.158,16.301,16.395,16.615,16.847,16.867,17.271,17.611,17.838,18.231,18.533,18.654,18.744,19.363,19.47,19.534,19.743,19.83,nan,nan,nan,nan,nan,nan
0.203,0.316,0.382,0.7,1.459,1.502,1.757,1.819,2.168,2.241,2.284,2.317,2.379,2.801,2.953,2.997,3.159,3.203,3.265,3.505,3.707,3.825,4.029,4.44,4.599,4.737,4.907,5.09,5.332,5.364,6.237,6.349,6.375,6.629,6.77,7.269,7.455,7.581,7.638,7.73,8.16,8.226,8.66,8.85,8.965,9.19,9.344,9.558,9.715,10.131,10.503,10.526,10.673,10.755,10.917,10.956,11.118,11.3,11.432,11.514,11.644,11.822,11.987,12.02,12.145,12.293,12.825,12.867,12.972,13.037,13.253,13.289,13.428,13.492,13.865,13.898,14.216,14.233,14.472,14.729,14.915,15.127,15.243,15.762,15.921,16.015,16.13,16.368,16.416,16.672,16.698,16.805,17.225,17.282,17.429,17.524,17.618,17.845,17.903,18.103,18.476,18.502,18.757,19.499,19.637,19.767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.059,0.171,0.27,0.475,0.624,0.74,1.126,1.33,1.4,1.635,1.726,1.993,2.054,2.245,2.614,3.542,3.851,3.905,4.123,4.583,4.63,4.717,4.751,5.094,5.226,5.637,5.837,5.872,5.959,6.517,6.731,6.92,7.173,7.213,7.314,7.41,7.632,7.738,7.809,7.978,8.236,8.4,8.75,9.179,9.602,9.806,9.877,10.072,10.39,10.538,10.736,10.924,11.199,11.369,11.423,11.579,11.633,11.988,12.118,12.665,12.702,12.854,12.877,13.009,13.278,13.398,14.776,14.959,14.984,15.063,15.123,15.144,15.606,15.666,15.697,15.816,15.873,15.918,16.008,16.843,17.892,17.994,18.237,18.282,18.321,18.359,18.546,18.681,18.773,18.966,19.43,19.815,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.051,0.195,0.249,0.545,0.769,0.82,1.973,2.047,2.162,2.657,2.77,3.062,3.125,3.269,3.333,3.394,3.482,3.734,3.88,4.048,4.511,4.653,4.764,4.931,5.013,5.155,5.439,5.503,5.643,5.827,6.038,6.206,6.326,6.805,6.978,7.301,7.584,7.807,7.906,7.94,8.32,8.682,8.978,9.051,9.199,9.311,10.123,10.203,10.318,10.515,10.786,11.156,11.461,11.491,11.618,11.825,12.113,12.168,12.337,12.354,12.417,12.481,12.733,12.805,12.996,13.013,13.263,13.517,13.744,14.206,14.25,14.415,14.755,14.808,14.946,15.675,15.73,15.805,16.137,16.772,16.832,16.89,16.908,17.643,18.008,18.047,18.099,18.452,18.531,18.642,18.754,18.946,19.336,19.39,19.713,19.817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.129,0.279,0.684,1.263,1.531,1.701,2.225,2.437,2.631,2.685,3.428,3.491,3.528,4.015,4.447,4.648,4.863,4.961,5.028,5.058,5.098,5.402,5.545,5.571,6.407,6.745,6.776,7.075,7.16,7.521,7.655,7.709,7.746,7.905,8.024,8.085,8.502,8.531,8.76,8.914,8.956,9.03,9.051,9.588,9.623,9.799,9.871,9.983,10.104,10.157,10.233,10.251,10.518,10.893,11.266,11.35,11.779,12.364,12.443,12.486,12.553,13.06,13.563,13.658,13.742,13.971,14.016,14.118,14.311,14.485,14.862,14.918,14.953,15.161,15.333,15.467,15.795,15.902,16.183,16.196,16.247,16.37,16.645,16.824,16.968,17.081,17.353,17.542,17.754,17.786,17.933,18.069,18.134,18.174,18.218,18.25,18.63,18.718,18.782,18.988,19.708,19.825,19.919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.067,0.367,0.74,0.894,0.942,1.007,1.06,1.198,1.305,1.341,1.522,1.553,1.734,1.946,2.135,2.246,2.5,2.543,2.571,2.991,3.263,3.599,4.057,4.109,4.342,4.578,4.668,4.797,4.99,5.14,5.556,5.568,5.787,6.002,6.249,6.811,6.929,7.077,7.139,7.231,7.279,7.508,7.61,7.86,7.919,8.757,8.819,8.854,8.964,9.154,9.772,9.811,10.006,10.081,10.487,10.642,10.823,11.065,11.414,11.483,11.532,11.742,12.117,12.234,12.257,12.428,12.468,12.545,12.616,12.935,12.981,13.193,13.34,13.377,13.799,14.113,14.182,14.247,14.326,14.886,15.202,15.279,15.381,15.548,15.611,15.846,15.891,15.98,16.029,16.223,16.319,16.362,16.426,16.68,16.952,17.298,17.335,18.074,18.243,18.338,18.507,18.745,19.212,19.284,19.809,19.855,19.936,nan,nan,nan,nan,nan,nan,nan,nan,nan
